wl,value
360,0.07757
361,0.07741
362,0.07682
363,0.07661
364,0.07705
365,0.07783
366,0.07703
367,0.07709
368,0.07786
369,0.0775
370,0.0771
371,0.0768
372,0.07682
373,0.0779
374,0.0777
375,0.07687
376,0.07681
377,0.07731
378,0.07744
379,0.07715
380,0.07713
381,0.07733
382,0.07753
383,0.07751
384,0.07711
385,0.07714
386,0.0773
387,0.07709
388,0.07732
389,0.07744
390,0.07747
391,0.07801
392,0.078
393,0.07791
394,0.07813
395,0.07787
396,0.07779
397,0.07784
398,0.07771
399,0.07781
400,0.07791
401,0.07789
402,0.0778
403,0.07774
404,0.07777
405,0.0779
406,0.07807
407,0.07824
408,0.07833
409,0.07827
410,0.07847
411,0.07873
412,0.07885
413,0.07872
414,0.07882
415,0.07908
416,0.07929
417,0.0795
418,0.0796
419,0.0796
420,0.07958
421,0.07975
422,0.0799
423,0.07989
424,0.07995
425,0.08004
426,0.08015
427,0.08023
428,0.08036
429,0.08037
430,0.08028
431,0.08031
432,0.08027
433,0.08022
434,0.08024
435,0.08024
436,0.0802
437,0.0802
438,0.08043
439,0.08069
440,0.08085
441,0.08091
442,0.08103
443,0.0811
444,0.08115
445,0.08123
446,0.08137
447,0.08145
448,0.08146
449,0.08153
450,0.08158
451,0.08164
452,0.08176
453,0.08186
454,0.08196
455,0.08203
456,0.08205
457,0.08209
458,0.08212
459,0.08211
460,0.08213
461,0.08215
462,0.0822
463,0.0823
464,0.0823
465,0.08228
466,0.0823
467,0.08235
468,0.08237
469,0.08237
470,0.0824
471,0.08243
472,0.08244
473,0.08247
474,0.08257
475,0.08264
476,0.08264
477,0.08262
478,0.08269
479,0.08271
480,0.08267
481,0.08262
482,0.08263
483,0.08264
484,0.08261
485,0.08258
486,0.08257
487,0.08257
488,0.08259
489,0.08264
490,0.08274
491,0.08284
492,0.08286
493,0.08293
494,0.08306
495,0.08321
496,0.08333
497,0.08344
498,0.08356
499,0.08375
500,0.08393
501,0.08406
502,0.08417
503,0.08435
504,0.08459
505,0.08487
506,0.08517
507,0.08543
508,0.08572
509,0.08608
510,0.08649
511,0.08695
512,0.08747
513,0.08806
514,0.08866
515,0.08933
516,0.09009
517,0.09095
518,0.09186
519,0.09281
520,0.09384
521,0.09496
522,0.09609
523,0.09724
524,0.09842
525,0.09959
526,0.10073
527,0.10183
528,0.10289
529,0.10392
530,0.10488
531,0.10577
532,0.10658
533,0.10734
534,0.10802
535,0.10858
536,0.10913
537,0.10958
538,0.10991
539,0.11015
540,0.11028
541,0.11033
542,0.11037
543,0.11046
544,0.11062
545,0.11089
546,0.11126
547,0.11165
548,0.11201
549,0.11229
550,0.11249
551,0.11262
552,0.11269
553,0.11269
554,0.11263
555,0.11247
556,0.11219
557,0.11179
558,0.11131
559,0.11076
560,0.11013
561,0.10951
562,0.10882
563,0.10808
564,0.10732
565,0.10653
566,0.10569
567,0.10483
568,0.10397
569,0.10311
570,0.10226
571,0.10144
572,0.10069
573,0.10003
574,0.09942
575,0.09883
576,0.09824
577,0.09768
578,0.09716
579,0.0967
580,0.09629
581,0.09591
582,0.09558
583,0.09523
584,0.09489
585,0.09457
586,0.09427
587,0.09404
588,0.09386
589,0.09372
590,0.09364
591,0.09355
592,0.09342
593,0.0933
594,0.09324
595,0.09319
596,0.09312
597,0.09304
598,0.09297
599,0.09289
600,0.0928
601,0.0927
602,0.09257
603,0.09241
604,0.09222
605,0.09203
606,0.09183
607,0.09158
608,0.09131
609,0.09093
610,0.09041
611,0.08983
612,0.08958
613,0.08951
614,0.08947
615,0.08934
616,0.08919
617,0.08902
618,0.08884
619,0.08864
620,0.08848
621,0.08836
622,0.08823
623,0.08814
624,0.08808
625,0.08803
626,0.08799
627,0.08794
628,0.08791
629,0.08788
630,0.08783
631,0.0878
632,0.08779
633,0.08775
634,0.08771
635,0.08765
636,0.08756
637,0.08743
638,0.08728
639,0.08714
640,0.087
641,0.08681
642,0.08663
643,0.08648
644,0.08633
645,0.08619
646,0.08606
647,0.08594
648,0.08584
649,0.08577
650,0.08573
651,0.0857
652,0.0857
653,0.08571
654,0.08571
655,0.0857
656,0.0857
657,0.0857
658,0.08568
659,0.08567
660,0.08565
661,0.08563
662,0.08564
663,0.08565
664,0.08568
665,0.08574
666,0.0858
667,0.08589
668,0.08601
669,0.08615
670,0.08634
671,0.08654
672,0.08674
673,0.08699
674,0.08726
675,0.08754
676,0.08785
677,0.08819
678,0.08855
679,0.08894
680,0.08931
681,0.08969
682,0.09009
683,0.09052
684,0.09092
685,0.09131
686,0.09168
687,0.09205
688,0.09246
689,0.09294
690,0.09352
691,0.09432
692,0.09536
693,0.09673
694,0.09849
695,0.10076
696,0.10354
697,0.10687
698,0.11081
699,0.11537
700,0.12052
701,0.12624
702,0.1325
703,0.13926
704,0.14649
705,0.15411
706,0.16207
707,0.17039
708,0.17903
709,0.18798
710,0.19724
711,0.20679
712,0.21659
713,0.22663
714,0.2369
715,0.24738
716,0.25802
717,0.26882
718,0.27971
719,0.29068
720,0.30172
721,0.31276
