wl,value
360,0.02671
361,0.0277
362,0.02699
363,0.02648
364,0.02644
365,0.02659
366,0.02639
367,0.02634
368,0.02627
369,0.02567
370,0.02578
371,0.02607
372,0.02612
373,0.0262
374,0.02588
375,0.0255
376,0.02554
377,0.02605
378,0.02615
379,0.02585
380,0.02591
381,0.0259
382,0.02593
383,0.02599
384,0.02558
385,0.02536
386,0.02517
387,0.02481
388,0.02569
389,0.02638
390,0.02622
391,0.02557
392,0.02576
393,0.02602
394,0.02573
395,0.02579
396,0.02585
397,0.02586
398,0.02588
399,0.02597
400,0.02606
401,0.0261
402,0.02607
403,0.02587
404,0.02588
405,0.02627
406,0.02624
407,0.02626
408,0.02642
409,0.02652
410,0.02642
411,0.02642
412,0.02666
413,0.02687
414,0.02697
415,0.02704
416,0.02715
417,0.02708
418,0.02719
419,0.02744
420,0.02747
421,0.02753
422,0.02763
423,0.02774
424,0.02773
425,0.02778
426,0.02789
427,0.02797
428,0.02801
429,0.02814
430,0.02832
431,0.02836
432,0.02833
433,0.02837
434,0.02854
435,0.02854
436,0.02853
437,0.02858
438,0.02873
439,0.02869
440,0.02866
441,0.02878
442,0.02873
443,0.02881
444,0.02897
445,0.02906
446,0.02912
447,0.02913
448,0.02913
449,0.02922
450,0.02931
451,0.02943
452,0.02957
453,0.02957
454,0.02963
455,0.02973
456,0.02974
457,0.02982
458,0.02992
459,0.02997
460,0.03002
461,0.03002
462,0.02998
463,0.02992
464,0.02996
465,0.03006
466,0.03016
467,0.0302
468,0.03014
469,0.03007
470,0.03005
471,0.03011
472,0.03016
473,0.03018
474,0.03018
475,0.03024
476,0.03027
477,0.03025
478,0.03035
479,0.03036
480,0.03036
481,0.03041
482,0.03047
483,0.03051
484,0.03054
485,0.03061
486,0.03068
487,0.03079
488,0.03095
489,0.03097
490,0.03106
491,0.03126
492,0.03148
493,0.03163
494,0.03179
495,0.03202
496,0.03221
497,0.03246
498,0.03276
499,0.0331
500,0.03346
501,0.03384
502,0.03431
503,0.03491
504,0.03547
505,0.03601
506,0.0366
507,0.03737
508,0.03817
509,0.03902
510,0.03998
511,0.04112
512,0.0423
513,0.04348
514,0.0448
515,0.04619
516,0.04767
517,0.04925
518,0.05089
519,0.05255
520,0.05424
521,0.05603
522,0.05784
523,0.05962
524,0.06136
525,0.0631
526,0.06475
527,0.06632
528,0.06783
529,0.06924
530,0.07055
531,0.07177
532,0.0729
533,0.07392
534,0.07486
535,0.07571
536,0.07642
537,0.07706
538,0.07768
539,0.07829
540,0.0789
541,0.0795
542,0.0801
543,0.08062
544,0.08102
545,0.08128
546,0.08141
547,0.08144
548,0.0815
549,0.0816
550,0.08169
551,0.08173
552,0.08174
553,0.0817
554,0.08154
555,0.08124
556,0.08086
557,0.08045
558,0.07992
559,0.0793
560,0.0786
561,0.07782
562,0.07701
563,0.07614
564,0.07522
565,0.07424
566,0.07323
567,0.0722
568,0.07115
569,0.07008
570,0.069
571,0.06793
572,0.0669
573,0.06588
574,0.0649
575,0.06401
576,0.06316
577,0.06235
578,0.0616
579,0.06094
580,0.06028
581,0.05962
582,0.05904
583,0.05854
584,0.05807
585,0.05759
586,0.05711
587,0.05669
588,0.05631
589,0.05593
590,0.05556
591,0.05525
592,0.05496
593,0.05467
594,0.05441
595,0.05421
596,0.05404
597,0.05383
598,0.05365
599,0.05348
600,0.05328
601,0.05304
602,0.05279
603,0.05252
604,0.05222
605,0.05188
606,0.0515
607,0.05113
608,0.05072
609,0.0503
610,0.04993
611,0.04961
612,0.04916
613,0.0486
614,0.04802
615,0.04756
616,0.04709
617,0.04663
618,0.0462
619,0.04585
620,0.04554
621,0.04524
622,0.04501
623,0.04479
624,0.04459
625,0.04444
626,0.04431
627,0.04422
628,0.04416
629,0.04409
630,0.04404
631,0.04397
632,0.04385
633,0.04368
634,0.04349
635,0.04327
636,0.04297
637,0.04263
638,0.04219
639,0.04169
640,0.04121
641,0.04069
642,0.04017
643,0.03965
644,0.0391
645,0.03858
646,0.03811
647,0.03766
648,0.03726
649,0.03692
650,0.03664
651,0.0364
652,0.0362
653,0.03603
654,0.03586
655,0.03568
656,0.0355
657,0.0353
658,0.03505
659,0.03475
660,0.03447
661,0.0342
662,0.03392
663,0.03365
664,0.03339
665,0.03317
666,0.03299
667,0.03285
668,0.03274
669,0.03265
670,0.03263
671,0.03263
672,0.03263
673,0.03269
674,0.03278
675,0.03291
676,0.03308
677,0.03324
678,0.03344
679,0.03367
680,0.03393
681,0.03425
682,0.03461
683,0.03501
684,0.03548
685,0.03607
686,0.03679
687,0.03764
688,0.0387
689,0.04003
690,0.04167
691,0.04367
692,0.04609
693,0.04893
694,0.05221
695,0.05596
696,0.06015
697,0.06477
698,0.06975
699,0.07501
700,0.08055
701,0.0863
702,0.09218
703,0.09817
704,0.10422
705,0.11027
706,0.11634
707,0.12237
708,0.12835
709,0.13432
710,0.14023
711,0.14613
712,0.15201
713,0.15784
714,0.16358
715,0.16929
716,0.17496
717,0.18056
718,0.18607
719,0.1915
720,0.19684
721,0.20204
722,0.2071
723,0.21204
724,0.21682
725,0.22146
726,0.22591
727,0.23017
728,0.23425
729,0.23814
730,0.24186
731,0.24538
732,0.24874
733,0.2519
734,0.25485
735,0.25763
736,0.26026
737,0.26271
738,0.26499
739,0.26717
740,0.26918
741,0.27103
742,0.27276
743,0.27435
744,0.27579
745,0.27711
746,0.27831
747,0.2794
748,0.28041
749,0.28135
750,0.28219
751,0.28294
752,0.28362
753,0.28423
754,0.28478
755,0.28528
756,0.28575
757,0.28618
758,0.28657
759,0.28691
760,0.28721
761,0.2875
762,0.28773
763,0.28794
764,0.28816
765,0.2883
766,0.28845
767,0.28862
768,0.28875
769,0.28885
770,0.28895
771,0.28906
772,0.28916
773,0.28922
774,0.28929
775,0.2894
776,0.28948
777,0.28953
778,0.28958
779,0.28964
780,0.28969
781,0.28975
782,0.28979
783,0.28982
784,0.28988
785,0.28993
786,0.28996
787,0.28999
788,0.29002
789,0.29004
790,0.29004
791,0.29007
792,0.29008
793,0.29007
794,0.29011
795,0.2901
796,0.29007
797,0.29005
798,0.29003
799,0.29001
800,0.28999
801,0.28993
802,0.28988
803,0.28983
804,0.28979
805,0.28976
806,0.28971
807,0.28964
808,0.28957
809,0.28951
810,0.28946
811,0.28939
812,0.28929
813,0.28923
814,0.28914
815,0.28904
816,0.28896
817,0.2889
818,0.28882
819,0.28872
820,0.28863
821,0.28854
822,0.28848
823,0.28842
824,0.28834
825,0.28824
826,0.28816
827,0.28808
828,0.28798
829,0.2879
830,0.28785
