wl,value
360,0.03896
361,0.03774
362,0.03824
363,0.03869
364,0.03859
365,0.03812
366,0.03857
367,0.03862
368,0.03851
369,0.03937
370,0.03917
371,0.03855
372,0.0381
373,0.0376
374,0.03757
375,0.03774
376,0.03768
377,0.03771
378,0.03763
379,0.03757
380,0.03792
381,0.03786
382,0.03777
383,0.03789
384,0.03749
385,0.03767
386,0.03794
387,0.03754
388,0.03767
389,0.03772
390,0.03749
391,0.0373
392,0.03744
393,0.03763
394,0.03759
395,0.03739
396,0.03738
397,0.03748
398,0.03748
399,0.03754
400,0.03742
401,0.03716
402,0.03727
403,0.0374
404,0.03756
405,0.03773
406,0.03764
407,0.03763
408,0.03771
409,0.03765
410,0.03762
411,0.03768
412,0.03786
413,0.03812
414,0.03823
415,0.0382
416,0.03818
417,0.0384
418,0.03847
419,0.03837
420,0.03848
421,0.03848
422,0.03852
423,0.03872
424,0.03893
425,0.03898
426,0.03895
427,0.03907
428,0.03922
429,0.03927
430,0.03923
431,0.03933
432,0.03932
433,0.03931
434,0.03944
435,0.03946
436,0.03945
437,0.03951
438,0.0397
439,0.03983
440,0.03988
441,0.03987
442,0.04001
443,0.04011
444,0.04021
445,0.04044
446,0.04048
447,0.04055
448,0.04072
449,0.04081
450,0.04093
451,0.04104
452,0.04112
453,0.0413
454,0.04142
455,0.0415
456,0.04165
457,0.04174
458,0.04181
459,0.04192
460,0.04204
461,0.04206
462,0.04206
463,0.04216
464,0.04216
465,0.04213
466,0.04215
467,0.04223
468,0.04229
469,0.04234
470,0.04239
471,0.04235
472,0.04236
473,0.04241
474,0.04244
475,0.04244
476,0.04245
477,0.0425
478,0.04257
479,0.04259
480,0.04256
481,0.04256
482,0.04263
483,0.04267
484,0.0427
485,0.04283
486,0.04296
487,0.04308
488,0.04319
489,0.04334
490,0.04349
491,0.04366
492,0.04393
493,0.04414
494,0.04436
495,0.04463
496,0.04498
497,0.04531
498,0.04565
499,0.04605
500,0.04654
501,0.04707
502,0.0476
503,0.04814
504,0.04874
505,0.04941
506,0.05016
507,0.05098
508,0.05184
509,0.05274
510,0.05373
511,0.05478
512,0.05594
513,0.0572
514,0.05853
515,0.05995
516,0.06145
517,0.063
518,0.06458
519,0.06625
520,0.068
521,0.06979
522,0.07163
523,0.07345
524,0.0752
525,0.07696
