wl,value
360,0.11425
361,0.11419
362,0.11388
363,0.11362
364,0.11323
365,0.11268
366,0.11279
367,0.11333
368,0.11353
369,0.11252
370,0.11249
371,0.11291
372,0.11302
373,0.11245
374,0.11222
375,0.11223
376,0.11211
377,0.11198
378,0.11185
379,0.11187
380,0.1123
381,0.11241
382,0.11214
383,0.11174
384,0.11184
385,0.11187
386,0.11155
387,0.11094
388,0.11127
389,0.11181
390,0.11197
391,0.11155
392,0.11124
393,0.11122
394,0.11137
395,0.11123
396,0.11101
397,0.11084
398,0.11077
399,0.11087
400,0.11067
401,0.11016
402,0.11002
403,0.1101
404,0.11014
405,0.10996
406,0.1099
407,0.10997
408,0.11011
409,0.1102
410,0.11034
411,0.1104
412,0.11034
413,0.11037
414,0.11031
415,0.11018
416,0.11008
417,0.11034
418,0.11043
419,0.11025
420,0.11016
421,0.11
422,0.11002
423,0.11027
424,0.11009
425,0.10994
426,0.10987
427,0.10978
428,0.1098
429,0.10979
430,0.10962
431,0.10921
432,0.10884
433,0.10846
434,0.10801
435,0.10774
436,0.10769
437,0.10787
438,0.10829
439,0.10874
440,0.10918
441,0.10957
442,0.10989
443,0.11004
444,0.11011
445,0.11023
446,0.11021
447,0.11031
448,0.11052
449,0.11047
450,0.11044
451,0.11053
452,0.11071
453,0.11072
454,0.11074
455,0.11085
456,0.11096
457,0.11093
458,0.11094
459,0.11109
460,0.11119
461,0.11122
462,0.11123
463,0.11127
464,0.11134
465,0.11142
466,0.11149
467,0.11152
468,0.11155
469,0.11159
470,0.11164
471,0.11177
472,0.11184
473,0.11186
474,0.11191
475,0.11189
476,0.11191
477,0.112
478,0.11207
479,0.11206
480,0.11202
481,0.112
482,0.11192
483,0.11176
484,0.11155
485,0.1114
486,0.11131
487,0.11125
488,0.1112
489,0.11133
490,0.11157
491,0.11186
492,0.11209
493,0.11243
494,0.1128
495,0.11316
496,0.11356
497,0.11399
498,0.11448
499,0.11505
500,0.11571
501,0.11636
502,0.11704
503,0.11785
504,0.11879
505,0.11984
506,0.12099
507,0.12216
508,0.12352
509,0.12509
510,0.12681
511,0.12867
512,0.13072
513,0.13295
514,0.13537
515,0.13793
516,0.14065
517,0.14355
518,0.14656
519,0.14967
520,0.15282
521,0.15594
522,0.15907
523,0.16217
524,0.16518
525,0.16801
526,0.17075
527,0.17336
528,0.17578
529,0.17796
530,0.17996
531,0.18179
532,0.18338
533,0.18483
534,0.18613
535,0.18727
536,0.18814
537,0.18884
538,0.18934
539,0.18955
540,0.18938
541,0.18884
542,0.18812
543,0.18775
544,0.18789
545,0.18858
546,0.18971
547,0.19106
548,0.19231
549,0.19323
550,0.19373
551,0.19409
552,0.19435
553,0.1945
554,0.19451
555,0.19427
556,0.19379
557,0.19309
558,0.19218
559,0.19111
560,0.18994
561,0.18867
562,0.18732
563,0.18589
564,0.18434
565,0.18276
566,0.18107
567,0.17928
568,0.17745
569,0.17557
570,0.17366
571,0.17175
572,0.16993
573,0.16827
574,0.16672
575,0.1652
576,0.16365
577,0.16213
578,0.1607
579,0.15939
580,0.15823
581,0.15717
582,0.15614
583,0.1551
584,0.15412
585,0.15324
586,0.15245
587,0.1517
588,0.15107
589,0.15058
590,0.1501
591,0.14954
592,0.14897
593,0.1485
594,0.14826
595,0.14813
596,0.148
597,0.14778
598,0.14744
599,0.14707
600,0.14677
601,0.14647
602,0.14615
603,0.14578
604,0.14531
605,0.14475
606,0.14411
607,0.14338
608,0.14265
609,0.14147
610,0.13966
611,0.13746
612,0.13672
613,0.13684
614,0.13706
615,0.13677
616,0.13638
617,0.13594
618,0.1354
619,0.13483
620,0.13426
621,0.13379
622,0.13349
623,0.13327
624,0.13308
625,0.13292
626,0.13284
627,0.13279
628,0.13271
629,0.13257
630,0.13242
631,0.13229
632,0.1322
633,0.13215
634,0.13192
635,0.13153
636,0.13104
637,0.13044
638,0.12974
639,0.12898
640,0.12815
641,0.1273
642,0.12649
643,0.12572
644,0.12493
645,0.12413
646,0.12338
647,0.12273
648,0.12218
649,0.12169
650,0.12127
651,0.12099
652,0.12083
653,0.12073
654,0.12061
655,0.12051
656,0.1204
657,0.12029
658,0.12019
659,0.12009
660,0.11999
661,0.11988
662,0.11976
663,0.1197
664,0.11968
665,0.11969
666,0.11973
667,0.11984
668,0.12002
669,0.12022
670,0.12049
671,0.12081
672,0.12116
673,0.12163
674,0.12213
675,0.12267
676,0.12329
677,0.12397
678,0.1247
679,0.12548
680,0.12635
681,0.12727
682,0.12822
683,0.1292
684,0.13026
685,0.13137
686,0.13259
687,0.13399
688,0.13578
689,0.13806
690,0.14099
691,0.14478
692,0.14953
693,0.15528
694,0.1621
695,0.1701
696,0.17909
697,0.18892
698,0.19946
699,0.21068
700,0.22239
701,0.23444
702,0.24669
703,0.25902
704,0.27129
705,0.28345
706,0.29547
707,0.30736
708,0.31909
709,0.33067
710,0.34216
711,0.3535
712,0.36464
713,0.37563
714,0.38654
715,0.3973
716,0.40784
717,0.41822
718,0.4284
719,0.43836
720,0.44812
721,0.45763
722,0.46689
723,0.47588
724,0.48458
725,0.49295
726,0.50099
727,0.50873
728,0.51615
729,0.52324
730,0.53
731,0.53642
732,0.5425
733,0.54825
734,0.55366
735,0.55872
736,0.56349
737,0.56797
738,0.57214
739,0.57601
740,0.57959
741,0.58289
742,0.58593
743,0.58866
744,0.59112
745,0.59335
746,0.59535
747,0.59711
748,0.59868
749,0.60008
750,0.60133
751,0.60239
752,0.60331
753,0.60414
754,0.60484
755,0.60545
756,0.60598
757,0.60646
758,0.60686
759,0.60721
760,0.60751
761,0.60776
762,0.60798
763,0.60815
764,0.60824
765,0.60829
766,0.60832
767,0.60833
768,0.60831
769,0.60825
770,0.60818
771,0.60813
772,0.6081
773,0.60804
774,0.60797
775,0.60792
776,0.60788
777,0.60785
778,0.60781
779,0.60777
780,0.60776
781,0.60778
782,0.60778
783,0.60777
784,0.60775
785,0.60772
786,0.6077
787,0.60774
788,0.60776
789,0.60773
790,0.60767
791,0.60766
792,0.60766
793,0.60765
794,0.6076
795,0.60758
796,0.60755
797,0.60752
798,0.60747
799,0.60742
800,0.60736
801,0.60733
802,0.60726
803,0.6072
804,0.60715
805,0.60706
806,0.607
807,0.60693
808,0.60684
809,0.60673
810,0.60665
811,0.60656
812,0.60645
813,0.60638
814,0.60628
815,0.60618
816,0.60609
817,0.60598
818,0.60588
819,0.60579
820,0.60568
821,0.60559
822,0.60548
823,0.60533
824,0.60518
825,0.6051
826,0.60502
827,0.6049
828,0.60475
829,0.60463
830,0.6045
