wl,value
360,0.05818
361,0.05926
362,0.05868
363,0.05832
364,0.0584
365,0.05853
366,0.05773
367,0.0577
368,0.0583
369,0.05821
370,0.058
371,0.05752
372,0.05697
373,0.05744
374,0.05789
375,0.05805
376,0.05802
377,0.05824
378,0.0582
379,0.05777
380,0.05716
381,0.05694
382,0.05726
383,0.05776
384,0.057
385,0.05685
386,0.05718
387,0.05717
388,0.05696
389,0.05696
390,0.05714
391,0.05694
392,0.05668
393,0.0565
394,0.05649
395,0.05666
396,0.05656
397,0.05631
398,0.0563
399,0.05657
400,0.05679
401,0.05682
402,0.05677
403,0.05675
404,0.05671
405,0.05657
406,0.05653
407,0.05652
408,0.05651
409,0.05656
410,0.05669
411,0.0568
412,0.05678
413,0.05663
414,0.05674
415,0.05695
416,0.05694
417,0.05698
418,0.057
419,0.05706
420,0.05726
421,0.05732
422,0.05743
423,0.05767
424,0.05772
425,0.05783
426,0.05797
427,0.05803
428,0.05816
429,0.05833
430,0.05851
431,0.05875
432,0.05907
433,0.05936
434,0.05955
435,0.05975
436,0.05984
437,0.05984
438,0.05986
439,0.05978
440,0.0597
441,0.05972
442,0.05981
443,0.05995
444,0.06003
445,0.05993
446,0.05995
447,0.05998
448,0.06003
449,0.06023
450,0.06031
451,0.0603
452,0.06033
453,0.0604
454,0.0604
455,0.06038
456,0.06047
457,0.06047
458,0.06047
459,0.06053
460,0.06054
461,0.06053
462,0.06052
463,0.06054
464,0.06056
465,0.06061
466,0.06068
467,0.06065
468,0.06069
469,0.06075
470,0.06076
471,0.06072
472,0.06072
473,0.06076
474,0.06076
475,0.06073
476,0.06076
477,0.06084
478,0.06081
479,0.06086
480,0.06095
481,0.06099
482,0.06097
483,0.06103
484,0.06118
485,0.06127
486,0.06136
487,0.06148
488,0.0616
489,0.06158
490,0.06163
491,0.06171
492,0.0617
493,0.06175
494,0.06181
495,0.06186
496,0.062
497,0.06213
498,0.06223
499,0.06233
500,0.06246
501,0.06267
502,0.06294
503,0.0632
504,0.06353
505,0.06388
506,0.06423
507,0.06465
508,0.06514
509,0.06567
510,0.06622
511,0.06685
512,0.06752
513,0.06825
514,0.06911
515,0.07004
516,0.07101
517,0.07203
518,0.07313
519,0.07428
520,0.07548
521,0.07676
522,0.07806
523,0.07937
524,0.08069
525,0.08198
526,0.08325
527,0.08449
528,0.08568
529,0.08676
530,0.08777
531,0.08874
532,0.08962
533,0.09042
534,0.09113
535,0.09178
536,0.09238
537,0.09294
538,0.09347
539,0.09399
540,0.09458
541,0.09529
542,0.09604
543,0.09659
544,0.09692
545,0.09703
546,0.09697
547,0.09675
548,0.09661
549,0.09665
550,0.09676
551,0.09686
552,0.0969
553,0.09686
554,0.09671
555,0.0965
556,0.09623
557,0.09585
558,0.09541
559,0.09489
560,0.09427
561,0.09353
562,0.0927
563,0.09182
564,0.09092
565,0.09002
566,0.08913
567,0.08828
568,0.08746
569,0.08663
570,0.08584
571,0.08511
572,0.0843
573,0.08348
574,0.0827
575,0.08196
576,0.08133
577,0.08077
578,0.08024
579,0.07973
580,0.07922
581,0.07872
582,0.0783
583,0.078
584,0.07783
585,0.0777
586,0.07754
587,0.07733
588,0.07703
589,0.07661
590,0.07623
591,0.07588
592,0.07557
593,0.07529
594,0.07498
595,0.07473
596,0.07458
597,0.07451
598,0.07447
599,0.07441
600,0.07434
601,0.07416
602,0.07397
603,0.07378
604,0.07357
605,0.07332
606,0.07305
607,0.07279
608,0.07248
609,0.07228
610,0.07225
611,0.07233
612,0.072
613,0.07143
614,0.07084
615,0.07048
616,0.07013
617,0.06982
618,0.06957
619,0.06937
620,0.0692
621,0.06903
622,0.06885
623,0.06869
624,0.06856
625,0.06846
626,0.06839
627,0.06835
628,0.06832
629,0.06828
630,0.06827
631,0.06825
632,0.06818
633,0.06804
634,0.06794
635,0.06781
636,0.06762
637,0.06743
638,0.06723
639,0.06703
640,0.06683
641,0.06656
642,0.06628
643,0.06604
644,0.06582
645,0.06556
646,0.06531
647,0.06512
648,0.06494
649,0.06477
650,0.06463
651,0.06454
652,0.06444
653,0.06435
654,0.06427
655,0.06418
656,0.06407
657,0.06394
658,0.06379
659,0.06366
660,0.06352
661,0.06338
662,0.06325
663,0.06311
664,0.06297
665,0.06284
666,0.06276
667,0.06271
668,0.06268
669,0.06265
670,0.06264
671,0.06267
672,0.06273
673,0.06279
674,0.06287
675,0.06298
676,0.06311
677,0.06325
678,0.0634
679,0.06357
680,0.06378
681,0.06402
682,0.06428
683,0.06458
684,0.06493
685,0.06535
686,0.06585
687,0.06641
688,0.06702
689,0.06777
690,0.06871
691,0.06988
692,0.0713
693,0.07302
694,0.07512
695,0.07767
696,0.08062
697,0.08402
698,0.08797
699,0.09246
700,0.09743
701,0.10288
702,0.10879
703,0.1151
704,0.12174
705,0.1287
706,0.13596
707,0.14346
708,0.15118
709,0.15912
710,0.16724
711,0.1756
712,0.18419
713,0.19294
714,0.20184
715,0.21093
716,0.22018
717,0.22959
718,0.23912
719,0.24875
720,0.25848
721,0.26822
722,0.27798
723,0.28775
724,0.29747
725,0.30708
726,0.31655
727,0.32588
728,0.33498
729,0.34387
730,0.35252
731,0.36092
732,0.36903
733,0.37687
734,0.38441
735,0.39164
736,0.39857
737,0.40517
738,0.41145
739,0.41741
740,0.42307
741,0.42843
742,0.43348
743,0.4382
744,0.44259
745,0.44668
746,0.45054
747,0.45411
748,0.45742
749,0.46048
750,0.46328
751,0.46587
752,0.46828
753,0.4705
754,0.47256
755,0.47438
756,0.47601
757,0.47752
758,0.47888
759,0.48014
760,0.48131
761,0.48241
762,0.48335
763,0.48418
764,0.48497
765,0.48572
766,0.48639
767,0.48695
768,0.48745
769,0.48792
770,0.48833
771,0.48868
772,0.48902
773,0.48936
774,0.48967
775,0.48992
776,0.49021
777,0.49049
778,0.49071
779,0.49088
780,0.49109
781,0.49128
782,0.49144
783,0.49157
784,0.4917
785,0.49186
786,0.49203
787,0.49215
788,0.49223
789,0.4923
790,0.4924
791,0.49253
792,0.49265
793,0.49274
794,0.49282
795,0.49292
796,0.493
797,0.49304
798,0.49308
799,0.49314
800,0.49317
801,0.49319
802,0.49326
803,0.49332
804,0.49336
805,0.49345
806,0.49352
807,0.49358
808,0.4936
809,0.49363
810,0.49363
811,0.49368
812,0.49378
813,0.4938
814,0.49379
815,0.49377
816,0.4938
817,0.4939
818,0.49399
819,0.49404
820,0.49407
821,0.49412
822,0.49415
823,0.49417
824,0.49419
825,0.49427
826,0.49435
827,0.49438
828,0.49443
829,0.49444
830,0.49444
