wl,value
360,0.06152
361,0.06082
362,0.05942
363,0.05922
364,0.05953
365,0.05922
366,0.05822
367,0.05808
368,0.05833
369,0.05736
370,0.05754
371,0.05764
372,0.05717
373,0.05781
374,0.05795
375,0.05764
376,0.05738
377,0.0568
378,0.05698
379,0.05744
380,0.05654
381,0.05626
382,0.05672
383,0.05737
384,0.05685
385,0.05644
386,0.05636
387,0.05638
388,0.05654
389,0.05628
390,0.05581
391,0.05607
392,0.05617
393,0.05617
394,0.05619
395,0.05609
396,0.05596
397,0.05581
398,0.05562
399,0.0558
400,0.05595
401,0.05588
402,0.05578
403,0.05588
404,0.05609
405,0.05624
406,0.0563
407,0.05636
408,0.05644
409,0.05653
410,0.05691
411,0.05712
412,0.05706
413,0.0574
414,0.05761
415,0.05781
416,0.05823
417,0.05878
418,0.05916
419,0.05936
420,0.05962
421,0.06003
422,0.06047
423,0.06085
424,0.06123
425,0.06155
426,0.06187
427,0.06229
428,0.06275
429,0.06316
430,0.06353
431,0.06392
432,0.06435
433,0.06473
434,0.06496
435,0.06532
436,0.0657
437,0.06603
438,0.06632
439,0.06655
440,0.0668
441,0.06711
442,0.06734
443,0.06763
444,0.06803
445,0.06852
446,0.06894
447,0.06927
448,0.0696
449,0.07011
450,0.07053
451,0.07091
452,0.07131
453,0.0716
454,0.07194
455,0.0723
456,0.07253
457,0.07268
458,0.07284
459,0.07304
460,0.07318
461,0.07333
462,0.07343
463,0.07344
464,0.07353
465,0.07362
466,0.07368
467,0.07372
468,0.0738
469,0.07382
470,0.07377
471,0.07378
472,0.07382
473,0.07385
474,0.07381
475,0.07382
476,0.07385
477,0.07388
478,0.07392
479,0.074
480,0.07406
481,0.07411
482,0.07418
483,0.07428
484,0.07441
485,0.07453
486,0.07479
487,0.07509
488,0.07536
489,0.07568
490,0.07605
491,0.07649
492,0.07699
493,0.07756
494,0.07823
495,0.07899
496,0.07977
497,0.08063
498,0.08156
499,0.08254
500,0.08366
501,0.0849
502,0.08622
503,0.08762
504,0.08911
505,0.0907
506,0.09242
507,0.09427
508,0.09618
509,0.09813
510,0.10015
511,0.10228
512,0.10448
513,0.10676
514,0.10913
