wl,value
360,0.02978
361,0.02982
362,0.02914
363,0.02948
364,0.0297
365,0.02878
366,0.02911
367,0.02947
368,0.0292
369,0.02822
370,0.02878
371,0.02939
372,0.02914
373,0.02922
374,0.02891
375,0.02838
376,0.02813
377,0.02865
378,0.02887
379,0.02872
380,0.02902
381,0.02925
382,0.02927
383,0.02907
384,0.02871
385,0.02821
386,0.02801
387,0.02851
388,0.02893
389,0.02925
390,0.02941
391,0.02925
392,0.02881
393,0.02858
394,0.02881
395,0.029
396,0.02914
397,0.02929
398,0.02954
399,0.02949
400,0.02949
401,0.02964
402,0.02968
403,0.02991
404,0.02996
405,0.02959
406,0.02957
407,0.02969
408,0.02984
409,0.02998
410,0.03019
411,0.03035
412,0.0304
413,0.03037
414,0.03033
415,0.0304
416,0.03062
417,0.03083
418,0.03104
419,0.0312
420,0.03128
421,0.0313
422,0.03135
423,0.0315
424,0.03173
425,0.03187
426,0.03195
427,0.03209
428,0.03221
429,0.03236
430,0.03251
431,0.03254
432,0.03273
433,0.03296
434,0.03306
435,0.03314
436,0.03335
437,0.03362
438,0.03372
439,0.03387
440,0.03406
441,0.03425
442,0.03443
443,0.03463
444,0.03484
445,0.03501
446,0.03524
447,0.0355
448,0.03578
449,0.03606
450,0.03634
451,0.03659
452,0.03678
453,0.0369
454,0.03705
455,0.03731
456,0.03766
457,0.03784
458,0.03795
459,0.0381
460,0.03833
461,0.03852
462,0.03869
463,0.0389
464,0.03904
465,0.03911
466,0.03918
467,0.03936
468,0.03949
469,0.03961
470,0.03975
471,0.03986
472,0.03998
473,0.04012
474,0.04027
475,0.04035
476,0.04045
477,0.04057
478,0.04068
479,0.04071
480,0.04076
481,0.04092
482,0.04108
483,0.04127
484,0.04147
485,0.04165
486,0.04178
487,0.04196
488,0.04221
489,0.04239
490,0.04261
491,0.04287
492,0.04312
493,0.04342
494,0.04378
495,0.04419
496,0.04458
497,0.04503
498,0.04552
499,0.04602
500,0.04658
501,0.04721
502,0.04788
503,0.0486
504,0.04936
505,0.05017
506,0.05106
507,0.05208
508,0.05315
509,0.05424
510,0.05537
511,0.05668
512,0.0581
513,0.05957
514,0.06107
515,0.06266
516,0.06433
517,0.06606
518,0.06796
519,0.06987
520,0.07176
521,0.07372
522,0.07568
523,0.07762
524,0.07953
525,0.0814
526,0.08319
527,0.08489
528,0.08648
529,0.08799
530,0.08941
531,0.09072
532,0.09193
533,0.09304
534,0.09405
535,0.09499
536,0.09581
537,0.09653
538,0.09722
539,0.09792
540,0.09867
541,0.09945
542,0.10019
543,0.1008
544,0.10125
545,0.10155
546,0.10171
547,0.10177
548,0.10182
549,0.10189
550,0.10199
551,0.10207
552,0.10209
553,0.10201
554,0.10177
555,0.10144
556,0.10104
557,0.10056
558,0.09997
559,0.09932
560,0.09862
561,0.09787
562,0.09707
563,0.09623
564,0.09535
565,0.09445
566,0.0935
567,0.09249
568,0.09144
569,0.09037
570,0.08929
571,0.08818
572,0.08707
573,0.08602
574,0.08504
575,0.08415
576,0.0833
577,0.0825
578,0.08176
579,0.08105
580,0.08036
581,0.07969
582,0.07909
583,0.07856
584,0.07805
585,0.07752
586,0.07707
587,0.07662
588,0.07617
589,0.07573
590,0.07533
591,0.07502
592,0.07478
593,0.07453
594,0.0743
595,0.07407
596,0.07385
597,0.07366
598,0.07347
599,0.07327
600,0.07303
601,0.07281
602,0.07254
603,0.07221
604,0.07185
605,0.07146
606,0.07102
607,0.07055
608,0.07007
609,0.06962
610,0.06924
611,0.06891
612,0.06836
613,0.06768
614,0.06696
615,0.06634
616,0.06575
617,0.06522
618,0.06479
619,0.06438
620,0.06403
621,0.06372
622,0.06342
623,0.06316
624,0.06293
625,0.06271
626,0.06257
627,0.06246
628,0.06238
629,0.06233
630,0.06229
631,0.06224
632,0.06215
633,0.06198
634,0.06178
635,0.06152
636,0.06121
637,0.06088
638,0.06045
639,0.05995
640,0.05943
641,0.0589
642,0.05835
643,0.05777
644,0.05719
645,0.0566
646,0.05603
647,0.05549
648,0.05502
649,0.05459
650,0.05422
651,0.05393
652,0.05365
653,0.05339
654,0.05314
655,0.05289
656,0.0526
657,0.05227
658,0.05191
659,0.05146
660,0.05102
661,0.0506
662,0.05015
663,0.04971
664,0.04933
665,0.049
666,0.04872
667,0.04848
668,0.04829
669,0.04818
670,0.04813
671,0.04815
672,0.04822
673,0.04836
674,0.04854
675,0.04877
676,0.04905
677,0.04938
678,0.04975
679,0.05018
680,0.05067
681,0.05126
682,0.05193
683,0.05267
684,0.05351
685,0.05447
686,0.05558
687,0.05685
688,0.0583
689,0.06002
690,0.06207
691,0.0645
692,0.06734
693,0.07066
694,0.07448
695,0.07876
696,0.08351
697,0.08873
698,0.09436
699,0.10036
700,0.10666
701,0.11324
702,0.12004
703,0.12703
704,0.13418
705,0.14146
706,0.14883
707,0.15632
708,0.16388
709,0.17149
710,0.17918
711,0.18696
712,0.19484
713,0.20278
714,0.21076
715,0.21878
716,0.22684
717,0.23494
718,0.24302
719,0.25107
720,0.25913
721,0.26709
722,0.27496
723,0.28271
724,0.29029
725,0.29773
726,0.30497
727,0.31198
728,0.31878
729,0.32533
730,0.33162
731,0.33764
732,0.34342
733,0.3489
734,0.35408
735,0.35901
736,0.36369
737,0.3681
738,0.37224
739,0.37613
740,0.37976
741,0.38316
742,0.38633
743,0.38929
744,0.39201
745,0.39451
746,0.39683
747,0.39895
748,0.40089
749,0.40267
750,0.4043
751,0.40579
752,0.40715
753,0.40838
754,0.40952
755,0.41059
756,0.41156
757,0.41242
758,0.41325
759,0.41403
760,0.41474
761,0.41536
762,0.41595
763,0.4165
764,0.417
765,0.41745
766,0.41788
767,0.41829
768,0.41864
769,0.419
770,0.41934
771,0.41965
772,0.41993
773,0.42021
774,0.42051
775,0.42078
776,0.42103
777,0.4213
778,0.42158
779,0.42182
780,0.42205
781,0.42227
782,0.42249
783,0.42271
784,0.42296
785,0.42319
786,0.42338
787,0.42358
788,0.42376
789,0.42394
790,0.42413
791,0.4243
792,0.42445
793,0.42459
794,0.42472
795,0.42484
796,0.42497
797,0.4251
798,0.42518
799,0.42524
800,0.4253
801,0.42538
802,0.42547
803,0.42553
804,0.42559
805,0.42564
806,0.42567
807,0.42567
808,0.42566
809,0.4257
810,0.42572
811,0.42573
812,0.42573
813,0.42571
814,0.42567
815,0.42563
816,0.42562
817,0.42559
818,0.42556
819,0.42555
820,0.42554
821,0.42549
822,0.42543
823,0.42537
824,0.42532
825,0.42527
826,0.42522
827,0.42515
828,0.42508
829,0.42502
830,0.42495
