wl,value
360,0.07351
361,0.07329
362,0.07407
363,0.07339
364,0.07209
365,0.07157
366,0.07187
367,0.07236
368,0.07255
369,0.07226
370,0.07263
371,0.07283
372,0.07237
373,0.07192
374,0.07228
375,0.07276
376,0.0725
377,0.07236
378,0.0722
379,0.07206
380,0.07215
381,0.07233
382,0.07223
383,0.07187
384,0.07211
385,0.07239
386,0.07257
387,0.07265
388,0.07229
389,0.07205
390,0.07206
391,0.07199
392,0.07229
393,0.07237
394,0.07198
395,0.07231
396,0.07246
397,0.07232
398,0.07218
399,0.07239
400,0.07246
401,0.07233
402,0.07257
403,0.07252
404,0.07242
405,0.07253
406,0.07252
407,0.0726
408,0.07274
409,0.07281
410,0.07287
411,0.073
412,0.0732
413,0.07332
414,0.07362
415,0.0739
416,0.07388
417,0.07382
418,0.07395
419,0.07419
420,0.07419
421,0.07438
422,0.07455
423,0.07456
424,0.07469
425,0.07492
426,0.07508
427,0.07503
428,0.07507
429,0.07516
430,0.07527
431,0.0753
432,0.07528
433,0.07526
434,0.07525
435,0.0753
436,0.07534
437,0.0754
438,0.07559
439,0.07567
440,0.07579
441,0.076
442,0.07609
443,0.07613
444,0.0762
445,0.07631
446,0.07642
447,0.07646
448,0.07648
449,0.0766
450,0.07672
451,0.07677
452,0.07672
453,0.0768
454,0.07688
455,0.07693
456,0.07698
457,0.07705
458,0.07712
459,0.07718
460,0.07711
461,0.07713
462,0.07719
463,0.07718
464,0.07717
465,0.07723
466,0.07732
467,0.07731
468,0.07727
469,0.07726
470,0.0773
471,0.07731
472,0.07731
473,0.07733
474,0.07741
475,0.07738
476,0.07734
477,0.07735
478,0.07736
479,0.07738
480,0.07741
481,0.07744
482,0.07741
483,0.07742
484,0.07745
485,0.07733
486,0.0773
487,0.07734
488,0.07735
489,0.07736
490,0.07746
491,0.0776
492,0.07765
493,0.0777
494,0.07779
495,0.07791
496,0.07798
497,0.07805
498,0.07817
499,0.07832
500,0.07847
501,0.07862
502,0.07878
503,0.079
504,0.0792
505,0.07938
506,0.07956
507,0.07986
508,0.08014
509,0.08041
510,0.08074
511,0.08107
512,0.08149
513,0.08202
514,0.08258
515,0.0832
516,0.08383
517,0.08448
518,0.08519
519,0.08599
520,0.08685
521,0.08776
522,0.0887
523,0.08969
524,0.09072
525,0.09173
526,0.09271
527,0.09366
528,0.0946
529,0.09549
530,0.09632
531,0.0971
532,0.09784
533,0.09851
534,0.09912
535,0.09968
536,0.10017
537,0.10057
538,0.1009
539,0.10116
540,0.10138
541,0.10151
542,0.10157
543,0.10167
544,0.10183
545,0.10208
546,0.1024
547,0.10269
548,0.10297
549,0.10324
550,0.1034
551,0.1035
552,0.10355
553,0.10354
554,0.10346
555,0.10328
556,0.10299
557,0.10262
558,0.10213
559,0.10156
560,0.10097
561,0.10035
562,0.09971
563,0.09905
564,0.09837
565,0.09771
566,0.09705
567,0.0964
568,0.09575
569,0.09508
570,0.09441
571,0.09375
572,0.09308
573,0.09244
574,0.09184
575,0.09124
576,0.09068
577,0.09015
578,0.08965
579,0.08916
580,0.08871
581,0.08833
582,0.08802
583,0.08776
584,0.08753
585,0.08729
586,0.08697
587,0.0867
588,0.08652
589,0.08647
590,0.08639
591,0.08626
592,0.08611
593,0.086
594,0.08592
595,0.08584
596,0.08572
597,0.08558
598,0.08543
599,0.08529
600,0.08513
601,0.08498
602,0.08484
603,0.0847
604,0.08457
605,0.0844
606,0.08424
607,0.0841
608,0.0839
609,0.08361
610,0.08323
611,0.0828
612,0.0826
613,0.08253
614,0.08249
615,0.08234
616,0.08219
617,0.08204
618,0.08185
619,0.08168
620,0.08155
621,0.08144
622,0.08132
623,0.08124
624,0.08119
625,0.08115
626,0.08109
627,0.08104
628,0.081
629,0.08097
630,0.08091
631,0.08086
632,0.08084
633,0.08081
634,0.08077
635,0.08068
636,0.08055
637,0.08039
638,0.08022
639,0.08005
640,0.0799
641,0.07972
642,0.07953
643,0.07935
644,0.07915
645,0.07899
646,0.07888
647,0.07877
648,0.07865
649,0.07858
650,0.07855
651,0.07852
652,0.07851
653,0.07853
654,0.07854
655,0.07852
656,0.07852
657,0.07853
658,0.07853
659,0.07851
660,0.07849
661,0.07846
662,0.07847
663,0.07851
664,0.07856
665,0.07861
666,0.07869
667,0.07878
668,0.07889
669,0.07902
670,0.0792
671,0.07941
672,0.07964
673,0.07988
674,0.08017
675,0.08048
676,0.08079
677,0.08113
678,0.08154
679,0.08198
680,0.0824
