wl,value
360,0.06664
361,0.06629
362,0.06546
363,0.06547
364,0.06566
365,0.06529
366,0.0653
367,0.06569
368,0.0658
369,0.06472
370,0.06459
371,0.06471
372,0.06465
373,0.06524
374,0.06517
375,0.06478
376,0.06476
377,0.06462
378,0.06468
379,0.06483
380,0.0646
381,0.0643
382,0.06419
383,0.06437
384,0.06452
385,0.06467
386,0.06471
387,0.06457
388,0.06454
389,0.06433
390,0.06404
391,0.06419
392,0.0641
393,0.06419
394,0.06462
395,0.06433
396,0.0642
397,0.06429
398,0.06432
399,0.06437
400,0.06441
401,0.06437
402,0.06422
403,0.06423
404,0.06431
405,0.06433
406,0.06433
407,0.06439
408,0.06448
409,0.06459
410,0.06481
411,0.06493
412,0.0649
413,0.06501
414,0.06507
415,0.06505
416,0.06501
417,0.06515
418,0.06532
419,0.06546
420,0.06558
421,0.06562
422,0.06563
423,0.06566
424,0.06556
425,0.06561
426,0.06574
427,0.06574
428,0.06575
429,0.06577
430,0.06575
431,0.06564
432,0.06556
433,0.06544
434,0.06527
435,0.06524
436,0.06529
437,0.0654
438,0.06554
439,0.06572
440,0.06595
441,0.06617
442,0.06616
443,0.0662
444,0.0663
445,0.06636
446,0.06638
447,0.06645
448,0.06658
449,0.06669
450,0.06675
451,0.06683
452,0.06699
453,0.06707
454,0.0671
455,0.0671
456,0.06708
457,0.06725
458,0.06737
459,0.06735
460,0.06739
461,0.06743
462,0.06743
463,0.06741
464,0.06741
465,0.06745
466,0.06752
467,0.06755
468,0.06758
469,0.06762
470,0.06768
471,0.0677
472,0.06771
473,0.06771
474,0.06773
475,0.06774
476,0.06779
477,0.06789
478,0.06794
479,0.06791
480,0.06791
481,0.06804
482,0.06804
483,0.06799
484,0.06796
485,0.06796
486,0.06798
487,0.06806
488,0.06818
489,0.06826
490,0.06834
491,0.06845
492,0.06858
493,0.0688
494,0.06901
495,0.06918
496,0.06944
497,0.06971
498,0.07
499,0.07036
500,0.0707
501,0.07113
502,0.07163
503,0.07212
504,0.07271
505,0.07338
506,0.07411
507,0.07496
508,0.07592
509,0.07702
510,0.07824
511,0.07955
512,0.08096
513,0.08252
514,0.08432
515,0.08625
516,0.08829
517,0.09044
518,0.09273
519,0.09515
520,0.09766
521,0.10019
522,0.10277
523,0.10539
524,0.10801
525,0.11045
526,0.11285
527,0.11516
528,0.11729
529,0.11931
530,0.12119
531,0.12292
532,0.12449
533,0.12588
534,0.12717
535,0.12837
536,0.12938
537,0.13022
538,0.13096
539,0.13165
540,0.13214
541,0.13254
542,0.13292
543,0.1333
544,0.13376
545,0.1343
546,0.13487
547,0.13546
548,0.13598
549,0.13636
550,0.13665
551,0.13683
552,0.1369
553,0.13683
554,0.13664
555,0.13628
556,0.13571
557,0.13496
558,0.13408
559,0.13307
560,0.13194
561,0.13073
562,0.12944
563,0.12809
564,0.1267
565,0.12524
566,0.12372
567,0.12216
568,0.12052
569,0.11886
570,0.11718
571,0.11551
572,0.11382
573,0.11221
574,0.11074
575,0.10942
576,0.10822
577,0.10705
578,0.10586
579,0.1047
580,0.10368
581,0.10279
582,0.10197
583,0.10119
584,0.10042
585,0.09966
586,0.0989
587,0.09822
588,0.09763
589,0.09713
590,0.09668
591,0.0963
592,0.09595
593,0.09558
594,0.09529
595,0.09507
596,0.09488
597,0.09461
598,0.0943
599,0.09396
600,0.0936
601,0.09327
602,0.09291
603,0.09251
604,0.09209
605,0.0916
606,0.09106
607,0.0905
608,0.08988
609,0.08914
610,0.08826
611,0.08728
612,0.08668
613,0.08624
614,0.08577
615,0.08521
616,0.08464
617,0.08411
618,0.08362
619,0.08312
620,0.08266
621,0.08229
622,0.08197
623,0.08171
624,0.08149
625,0.08131
626,0.08118
627,0.08106
628,0.08096
629,0.08086
630,0.08075
631,0.08065
632,0.08054
633,0.08041
634,0.08021
635,0.07994
636,0.07961
637,0.07917
638,0.07871
639,0.0782
640,0.07763
641,0.07706
642,0.07647
643,0.07586
644,0.0753
645,0.07474
646,0.07421
647,0.07373
648,0.0733
649,0.07292
650,0.07259
651,0.07238
652,0.0722
653,0.07204
654,0.07189
655,0.07175
656,0.07155
657,0.07134
658,0.07117
659,0.07095
660,0.07072
661,0.0705
662,0.0703
663,0.07015
664,0.07002
665,0.06991
666,0.06986
667,0.06984
668,0.06985
669,0.06992
670,0.07
671,0.07012
672,0.07028
673,0.07044
674,0.07067
675,0.07092
676,0.07117
677,0.07144
678,0.07178
679,0.07217
680,0.07258
681,0.07298
682,0.07341
683,0.07391
684,0.07443
685,0.075
686,0.07566
687,0.07645
688,0.07745
689,0.07876
690,0.08047
691,0.08273
692,0.0856
693,0.0892
694,0.09361
695,0.09892
696,0.10507
697,0.11204
698,0.1198
699,0.12828
700,0.13735
701,0.14692
702,0.15687
703,0.16708
704,0.17748
705,0.18797
706,0.19849
707,0.20902
708,0.21952
709,0.23
710,0.24041
711,0.2508
712,0.26114
713,0.2714
714,0.2816
715,0.29173
716,0.30176
717,0.31166
718,0.32143
719,0.33108
720,0.34061
721,0.34995
722,0.3591
723,0.36803
724,0.37673
725,0.38516
726,0.39333
727,0.40125
728,0.40885
729,0.41612
730,0.42308
731,0.42976
732,0.43612
733,0.44216
734,0.44789
735,0.45333
736,0.45848
737,0.46332
738,0.46784
739,0.47211
740,0.47612
741,0.47987
742,0.48334
743,0.48656
744,0.48956
745,0.49233
746,0.49488
747,0.49723
748,0.49938
749,0.50132
750,0.50311
751,0.50479
752,0.50631
753,0.50764
754,0.50886
755,0.50999
756,0.51104
757,0.51196
758,0.51279
759,0.51356
760,0.51427
761,0.51493
762,0.51553
763,0.51604
764,0.51649
765,0.51692
766,0.51731
767,0.51767
768,0.518
769,0.51831
770,0.51857
771,0.51878
772,0.51905
773,0.51927
774,0.51946
775,0.51966
776,0.51986
777,0.52004
778,0.52019
779,0.52035
780,0.52053
781,0.52069
782,0.52082
783,0.52093
784,0.52106
785,0.52119
786,0.52132
787,0.52141
788,0.5215
789,0.5216
790,0.52171
791,0.52178
792,0.52185
793,0.52191
794,0.52197
795,0.52203
796,0.52207
797,0.52208
798,0.5221
799,0.52211
800,0.5221
801,0.52208
802,0.52209
803,0.5221
804,0.52207
805,0.52199
806,0.52198
807,0.52196
808,0.5219
809,0.52185
810,0.5218
811,0.52173
812,0.52163
813,0.52159
814,0.52149
815,0.52139
816,0.52133
817,0.52131
818,0.52124
819,0.52116
820,0.52111
821,0.52101
822,0.5209
823,0.52081
824,0.52071
825,0.52061
826,0.52051
827,0.52042
828,0.52033
829,0.52026
830,0.52018
