wl,value
360,0.03043
361,0.02989
362,0.02962
363,0.02966
364,0.02991
365,0.03021
366,0.03034
367,0.02962
368,0.02884
369,0.0296
370,0.03021
371,0.03016
372,0.0296
373,0.02949
374,0.02988
375,0.03033
376,0.03031
377,0.02957
378,0.02898
379,0.02896
380,0.02945
381,0.02962
382,0.02973
383,0.02992
384,0.02937
385,0.02918
386,0.02916
387,0.02881
388,0.02926
389,0.02953
390,0.02924
391,0.02876
392,0.0291
393,0.02916
394,0.02836
395,0.02855
396,0.02898
397,0.02934
398,0.02951
399,0.0291
400,0.02881
401,0.02897
402,0.02938
403,0.02943
404,0.02936
405,0.02948
406,0.02937
407,0.02968
408,0.03017
409,0.03008
410,0.03015
411,0.03036
412,0.0306
413,0.03074
414,0.031
415,0.03139
416,0.03183
417,0.03212
418,0.03236
419,0.03265
420,0.03313
421,0.0335
422,0.03384
423,0.03423
424,0.03458
425,0.03498
426,0.03539
427,0.03569
428,0.03599
429,0.0363
430,0.03661
431,0.0369
432,0.03732
433,0.03771
434,0.03792
435,0.03821
436,0.0385
437,0.03875
438,0.03896
439,0.03922
440,0.03954
441,0.03986
442,0.0401
443,0.04027
444,0.04047
445,0.0408
446,0.04107
447,0.04136
448,0.04166
449,0.04187
450,0.0421
451,0.04233
452,0.04254
453,0.04275
454,0.04298
455,0.04323
456,0.04344
457,0.04354
458,0.04358
459,0.04366
460,0.04379
461,0.04385
462,0.04391
463,0.04406
464,0.04413
465,0.04414
466,0.04416
467,0.04426
468,0.04434
469,0.04438
470,0.04439
471,0.04441
472,0.04446
473,0.04454
474,0.04462
475,0.04464
476,0.04467
477,0.04472
478,0.0448
479,0.04487
480,0.04492
481,0.04497
482,0.04508
483,0.04513
484,0.04516
485,0.04531
486,0.04545
487,0.04555
488,0.04564
489,0.04575
490,0.04589
491,0.04607
492,0.04626
493,0.04647
494,0.04669
495,0.04692
496,0.04714
497,0.04746
498,0.04784
499,0.04817
500,0.04849
501,0.04884
502,0.04927
503,0.04978
504,0.05026
505,0.05076
506,0.05133
507,0.05192
508,0.05256
509,0.05324
510,0.05394
511,0.05469
512,0.05551
513,0.05639
514,0.05728
515,0.05832
516,0.05941
517,0.06049
518,0.06163
519,0.06284
520,0.06411
521,0.06542
522,0.06679
523,0.06816
524,0.06949
525,0.0708
526,0.07211
527,0.0734
528,0.07463
529,0.07578
530,0.07685
531,0.07783
532,0.07873
533,0.07956
534,0.08032
535,0.08101
536,0.08163
537,0.08217
538,0.08264
539,0.08311
540,0.08357
541,0.08405
542,0.08454
543,0.08491
544,0.08518
545,0.08536
546,0.08546
547,0.08551
548,0.08556
549,0.08563
550,0.08572
551,0.08577
552,0.08574
553,0.0856
554,0.0854
555,0.08512
556,0.08476
557,0.08432
558,0.08383
559,0.08328
560,0.08267
561,0.08202
562,0.08134
563,0.08063
564,0.07987
565,0.07909
566,0.07828
567,0.07744
568,0.07659
569,0.07571
570,0.07483
571,0.07401
572,0.07318
573,0.0724
574,0.07169
575,0.07104
576,0.07046
577,0.06991
578,0.06938
579,0.06891
580,0.06848
581,0.06807
582,0.06765
583,0.06726
584,0.06686
585,0.06647
586,0.06608
587,0.0657
588,0.06536
589,0.06506
590,0.06481
591,0.06459
592,0.06442
593,0.06425
594,0.06407
595,0.06392
596,0.06379
597,0.06366
598,0.06352
599,0.06337
600,0.06322
601,0.06303
602,0.06284
603,0.06264
604,0.0624
605,0.06212
606,0.06183
607,0.06153
608,0.06119
609,0.06088
610,0.06062
611,0.06041
612,0.06004
613,0.05957
614,0.05909
615,0.05871
616,0.05834
617,0.05799
618,0.05772
619,0.05748
620,0.05724
621,0.05702
622,0.05685
623,0.05668
624,0.05653
625,0.05641
626,0.05632
627,0.05625
628,0.05619
629,0.05614
630,0.0561
631,0.05606
632,0.05599
633,0.05587
634,0.05575
635,0.05559
636,0.05539
637,0.05515
638,0.05487
639,0.05457
640,0.05426
641,0.05395
642,0.05359
643,0.05321
644,0.05288
645,0.05254
646,0.05219
647,0.05186
648,0.05159
649,0.05137
650,0.05117
651,0.05097
652,0.05081
653,0.05066
654,0.05052
655,0.05037
656,0.05021
657,0.05003
658,0.04981
659,0.04954
660,0.04927
661,0.04901
662,0.04874
663,0.0485
664,0.04829
665,0.0481
666,0.04793
667,0.04779
