wl,value
360,0.03466
361,0.03417
362,0.03363
363,0.03378
364,0.03388
365,0.03326
366,0.03278
367,0.03277
368,0.03299
369,0.03292
370,0.03326
371,0.03325
372,0.03267
373,0.03252
374,0.0326
375,0.03274
376,0.03279
377,0.03277
378,0.03225
379,0.03173
380,0.03234
381,0.03267
382,0.03259
383,0.03228
384,0.03219
385,0.03223
386,0.03226
387,0.03217
388,0.03207
389,0.03199
390,0.032
391,0.03221
392,0.03217
393,0.03198
394,0.03185
395,0.03193
396,0.03206
397,0.03212
398,0.03206
399,0.0319
400,0.03204
401,0.03239
402,0.03224
403,0.03209
404,0.03203
405,0.03207
406,0.03213
407,0.03216
408,0.03217
409,0.0322
410,0.0323
411,0.0324
412,0.03245
413,0.03247
414,0.03254
415,0.03265
416,0.03279
417,0.03283
418,0.03283
419,0.03286
420,0.03292
421,0.03302
422,0.03307
423,0.03305
424,0.0332
425,0.03324
426,0.03322
427,0.03332
428,0.03334
429,0.0333
430,0.03325
431,0.03332
432,0.03334
433,0.03337
434,0.03347
435,0.03348
436,0.0335
437,0.03351
438,0.03344
439,0.03343
440,0.03348
441,0.0335
442,0.03343
443,0.03343
444,0.03348
445,0.03355
446,0.03357
447,0.03354
448,0.0335
449,0.03352
450,0.03358
451,0.03367
452,0.03373
453,0.0337
454,0.03375
455,0.03384
456,0.0338
457,0.03376
458,0.03375
459,0.03376
460,0.0338
461,0.0338
462,0.03378
463,0.03379
464,0.0338
465,0.03378
466,0.03373
467,0.03368
468,0.03364
469,0.03364
470,0.0337
471,0.03367
472,0.03361
473,0.03358
474,0.03361
475,0.03362
476,0.03363
477,0.03364
478,0.03366
479,0.03365
480,0.03361
481,0.03359
482,0.03363
483,0.03365
484,0.03366
485,0.0337
486,0.03372
487,0.03376
488,0.03384
489,0.03375
490,0.03374
491,0.03381
492,0.03386
493,0.0339
494,0.03397
495,0.03405
496,0.03405
497,0.03414
498,0.03426
499,0.03436
500,0.03443
501,0.03456
502,0.03473
503,0.0349
504,0.03511
505,0.03533
506,0.03558
507,0.03594
508,0.03632
509,0.03671
510,0.03718
511,0.03775
512,0.03839
513,0.03908
514,0.03988
515,0.04072
516,0.04164
517,0.04271
518,0.04388
519,0.04512
520,0.04646
521,0.04787
522,0.0493
523,0.05076
524,0.05224
525,0.05369
526,0.05515
527,0.05658
528,0.05791
529,0.05917
530,0.06036
531,0.06146
532,0.06248
533,0.06343
534,0.06425
535,0.06493
536,0.06554
537,0.06609
538,0.0666
539,0.06704
540,0.06748
541,0.06789
542,0.06826
543,0.06862
544,0.06889
545,0.06909
546,0.06923
547,0.0693
548,0.06937
549,0.06945
550,0.06953
551,0.06957
552,0.06953
553,0.06939
554,0.0692
555,0.06892
556,0.06853
557,0.06802
558,0.06745
559,0.06681
560,0.06606
561,0.06523
562,0.06438
563,0.06351
564,0.06259
565,0.06162
566,0.06062
567,0.05962
568,0.0586
569,0.05758
570,0.05656
571,0.05556
572,0.05455
573,0.0536
574,0.05274
575,0.05197
576,0.05126
577,0.05059
578,0.04996
579,0.04936
580,0.04877
581,0.04824
582,0.0478
583,0.04742
584,0.04704
585,0.04665
586,0.04628
587,0.04592
588,0.04556
589,0.04523
590,0.04495
591,0.0447
592,0.04447
