wl,value
360,0.04716
361,0.04629
362,0.04573
363,0.04532
364,0.04541
365,0.0461
366,0.04629
367,0.0457
368,0.045
369,0.04535
370,0.04612
371,0.04628
372,0.04563
373,0.04546
374,0.04528
375,0.04515
376,0.04521
377,0.04555
378,0.04546
379,0.04505
380,0.04511
381,0.04453
382,0.04447
383,0.04527
384,0.0447
385,0.04447
386,0.04462
387,0.0446
388,0.04463
389,0.04468
390,0.04473
391,0.04484
392,0.04456
393,0.04426
394,0.04429
395,0.04441
396,0.04449
397,0.04447
398,0.04437
399,0.04416
400,0.04407
401,0.04409
402,0.04385
403,0.04389
404,0.04404
405,0.04404
406,0.04371
407,0.04371
408,0.04396
409,0.04396
410,0.0441
411,0.04411
412,0.04395
413,0.04407
414,0.04404
415,0.04397
416,0.04405
417,0.04415
418,0.04423
419,0.04429
420,0.04438
421,0.04448
422,0.04453
423,0.04449
424,0.04441
425,0.04441
426,0.04446
427,0.04448
428,0.04449
429,0.0445
430,0.04449
431,0.04444
432,0.04422
433,0.04403
434,0.04407
435,0.04411
436,0.04414
437,0.04417
438,0.04418
439,0.04425
440,0.04432
441,0.04436
442,0.04451
443,0.04454
444,0.04455
445,0.04468
446,0.04478
447,0.04475
448,0.04469
449,0.04489
450,0.04494
451,0.04496
452,0.04511
453,0.04516
454,0.04516
455,0.04517
456,0.04528
457,0.04538
458,0.04538
459,0.04531
460,0.04535
461,0.04536
462,0.04536
463,0.04539
464,0.04541
465,0.04541
466,0.0454
467,0.0454
468,0.04538
469,0.04539
470,0.04544
471,0.04549
472,0.04549
473,0.04545
474,0.04549
475,0.04557
476,0.04562
477,0.04562
478,0.04567
479,0.04571
480,0.04574
481,0.04574
482,0.04569
483,0.04571
484,0.04577
485,0.04575
486,0.04577
487,0.04581
488,0.04585
489,0.04593
490,0.04602
491,0.04612
492,0.04628
493,0.04642
494,0.04656
495,0.04672
496,0.04693
497,0.04723
498,0.04754
499,0.0478
500,0.04814
501,0.04851
502,0.04892
503,0.04942
504,0.04996
505,0.05056
506,0.05126
507,0.05205
508,0.05289
509,0.0538
510,0.05484
511,0.05599
512,0.05723
513,0.0586
514,0.06013
515,0.06174
516,0.06347
517,0.06534
518,0.06732
519,0.06933
520,0.07141
521,0.07359
522,0.07577
523,0.07797
524,0.08016
525,0.08228
526,0.08431
527,0.08626
528,0.08814
529,0.08988
530,0.09148
531,0.09293
532,0.09426
533,0.09547
534,0.09658
535,0.09755
536,0.09837
537,0.09909
538,0.09972
539,0.10025
540,0.10073
541,0.10117
542,0.1016
543,0.10196
544,0.10229
545,0.10261
546,0.10294
547,0.10326
548,0.10355
549,0.10379
550,0.10398
551,0.10409
552,0.10411
553,0.10401
554,0.10382
555,0.10347
556,0.10297
557,0.10233
558,0.10157
559,0.10072
560,0.09979
561,0.09874
562,0.09763
563,0.0965
564,0.09533
565,0.09415
566,0.09292
567,0.09164
568,0.09034
569,0.08899
570,0.08761
571,0.08626
572,0.08493
573,0.08363
574,0.08237
575,0.08119
576,0.08014
577,0.07915
578,0.07819
579,0.07731
580,0.07646
581,0.07565
582,0.07493
583,0.0743
584,0.07373
585,0.07319
586,0.07265
587,0.07212
588,0.07162
589,0.07119
590,0.07081
591,0.07043
592,0.07007
593,0.06978
594,0.06954
595,0.06933
596,0.06913
597,0.06886
598,0.0686
599,0.06838
600,0.06819
601,0.06798
602,0.06772
603,0.0674
604,0.06705
605,0.06664
606,0.06617
607,0.06566
608,0.06513
609,0.06455
610,0.0639
611,0.0632
612,0.06266
613,0.0622
614,0.06171
615,0.06121
616,0.06074
617,0.06029
618,0.05986
619,0.05946
620,0.0591
621,0.05879
622,0.05852
623,0.05828
624,0.05809
625,0.05796
626,0.05784
627,0.05775
628,0.05768
629,0.05763
630,0.05756
631,0.0575
632,0.05743
633,0.05732
634,0.05716
635,0.05694
636,0.05664
637,0.05626
638,0.05582
639,0.05536
640,0.05489
641,0.05436
642,0.05383
643,0.05331
644,0.05279
645,0.05227
646,0.0518
647,0.05142
648,0.05107
649,0.05077
650,0.05052
651,0.0503
652,0.05016
653,0.05005
654,0.04993
655,0.04979
656,0.04965
657,0.04947
658,0.04926
659,0.04907
660,0.04886
661,0.04864
662,0.04845
663,0.04829
664,0.04816
665,0.04806
666,0.04803
667,0.048
668,0.04801
669,0.04807
670,0.04818
671,0.04832
672,0.0485
673,0.04874
674,0.04896
675,0.0492
676,0.04949
677,0.04983
678,0.05021
679,0.05062
680,0.05101
681,0.05147
682,0.05197
683,0.0525
684,0.05305
685,0.05366
686,0.05436
687,0.05517
688,0.05618
689,0.05745
