wl,value
360,0.04358
361,0.04285
362,0.03643
363,0.03741
364,0.04212
365,0.04381
366,0.04179
367,0.03732
368,0.03614
369,0.04514
370,0.04843
371,0.04236
372,0.03229
373,0.03852
374,0.04271
375,0.04196
376,0.03934
377,0.04091
378,0.03967
379,0.03794
380,0.04507
381,0.04602
382,0.04662
383,0.05009
384,0.04579
385,0.04385
386,0.04157
387,0.03476
388,0.03963
389,0.04448
390,0.04421
391,0.04241
392,0.04476
393,0.04571
394,0.0421
395,0.04274
396,0.04337
397,0.04218
398,0.03936
399,0.04037
400,0.04346
401,0.04545
402,0.04237
403,0.04132
404,0.04144
405,0.0411
406,0.04411
407,0.04286
408,0.03992
409,0.04356
410,0.04665
411,0.04631
412,0.04319
413,0.04289
414,0.04284
415,0.04274
416,0.04281
417,0.04258
418,0.04243
419,0.04279
420,0.04398
421,0.04419
422,0.04418
423,0.04467
424,0.04505
425,0.0446
426,0.04426
427,0.04532
428,0.0455
429,0.04499
430,0.04461
431,0.04566
432,0.04594
433,0.04538
434,0.04463
435,0.04473
436,0.04518
437,0.04543
438,0.04509
439,0.04532
440,0.04598
441,0.04657
442,0.04617
443,0.04583
444,0.04562
445,0.04535
446,0.04589
447,0.04629
448,0.04644
449,0.0473
450,0.04771
451,0.04712
452,0.04581
453,0.04603
454,0.04646
455,0.04658
456,0.04646
457,0.04662
458,0.04707
459,0.04749
460,0.04714
461,0.04654
462,0.04665
463,0.04796
464,0.04776
465,0.04732
466,0.04743
467,0.04821
468,0.04874
469,0.04884
470,0.04849
471,0.04735
472,0.04757
473,0.04841
474,0.0479
475,0.04816
476,0.04877
477,0.04907
478,0.04846
479,0.04801
480,0.0476
481,0.04704
482,0.04776
483,0.0483
484,0.04818
485,0.04792
486,0.0487
487,0.04932
488,0.049
489,0.04919
490,0.04889
491,0.04864
492,0.04944
493,0.04999
494,0.05014
495,0.0501
496,0.05042
497,0.05065
498,0.05102
499,0.05175
500,0.05259
501,0.05337
502,0.05398
503,0.05434
504,0.05508
505,0.05631
506,0.05772
507,0.05806
508,0.0591
509,0.06076
510,0.06222
511,0.06367
512,0.06554
513,0.06783
514,0.06994
515,0.0722
516,0.07434
517,0.0763
518,0.0792
519,0.08198
520,0.08458
521,0.08769
522,0.09096
523,0.09383
524,0.09617
525,0.09858
526,0.10141
527,0.10422
528,0.10638
529,0.10842
530,0.11045
531,0.11246
532,0.11429
533,0.11578
534,0.11713
535,0.11849
536,0.11944
537,0.12054
538,0.12189
539,0.1232
540,0.1242
541,0.1251
542,0.12604
543,0.12697
544,0.12776
545,0.1283
546,0.12857
547,0.1288
548,0.12875
549,0.12859
550,0.12909
551,0.12945
552,0.12957
553,0.12954
554,0.12939
555,0.12899
556,0.12841
557,0.12788
558,0.12724
559,0.12645
560,0.12552
