wl,value
360,0.09304
361,0.09323
362,0.09322
363,0.09378
364,0.09385
365,0.09268
366,0.0924
367,0.09248
368,0.09256
369,0.0925
370,0.0925
371,0.09262
372,0.09277
373,0.09253
374,0.09257
375,0.0925
376,0.09194
377,0.0918
378,0.09225
379,0.09276
380,0.09231
381,0.09224
382,0.09199
383,0.09135
384,0.09157
385,0.09177
386,0.09177
387,0.09166
388,0.0917
389,0.09197
390,0.09227
391,0.09218
392,0.09201
393,0.09207
394,0.09234
395,0.09183
396,0.09181
397,0.09204
398,0.09171
399,0.09164
400,0.09171
401,0.09172
402,0.09152
403,0.09148
404,0.09161
405,0.09178
406,0.09176
407,0.09188
408,0.09212
409,0.09223
410,0.0923
411,0.09236
412,0.09243
413,0.09251
414,0.09263
415,0.09267
416,0.09254
417,0.09262
418,0.09262
419,0.09254
420,0.09267
421,0.09267
422,0.0926
423,0.09258
424,0.09263
425,0.09263
426,0.09254
427,0.09242
428,0.09244
429,0.09244
430,0.09234
431,0.09219
432,0.09194
433,0.09166
434,0.0914
435,0.09124
436,0.09122
437,0.09132
438,0.09153
439,0.09176
440,0.09202
441,0.09228
442,0.09246
443,0.09256
444,0.09261
445,0.09263
446,0.09266
447,0.09269
448,0.09274
449,0.09281
450,0.09288
451,0.09292
452,0.09291
453,0.093
454,0.09306
455,0.09307
456,0.09309
457,0.09311
458,0.09312
459,0.09315
460,0.09323
461,0.09324
462,0.09321
463,0.09325
464,0.09325
465,0.09322
466,0.09323
467,0.09332
468,0.09331
469,0.09326
470,0.09327
471,0.09334
472,0.09342
473,0.09345
474,0.09342
475,0.09344
476,0.0935
477,0.09355
478,0.09355
479,0.09359
480,0.09363
481,0.09358
482,0.09349
483,0.09338
484,0.09329
485,0.09331
486,0.09326
487,0.09321
488,0.09323
489,0.09335
490,0.09345
491,0.09355
492,0.0937
493,0.0939
494,0.09412
495,0.09433
496,0.0946
497,0.09484
498,0.09509
499,0.0954
500,0.09575
501,0.09613
502,0.09656
503,0.09699
504,0.09743
505,0.09797
506,0.09865
507,0.09932
508,0.10009
509,0.10094
510,0.10186
511,0.1029
512,0.10409
513,0.1054
514,0.10678
515,0.10825
516,0.10983
517,0.11155
518,0.11336
519,0.11523
520,0.11715
521,0.11913
522,0.12113
523,0.1231
524,0.12503
525,0.12693
526,0.12875
527,0.13046
528,0.13203
529,0.13346
530,0.13478
531,0.13601
532,0.13709
533,0.13804
534,0.13888
535,0.13959
536,0.14015
537,0.14062
538,0.141
539,0.14119
540,0.14118
541,0.14101
542,0.14077
543,0.14064
544,0.14074
545,0.14108
546,0.14159
547,0.14215
548,0.14266
549,0.14301
550,0.14318
551,0.14325
552,0.14327
553,0.14323
554,0.14312
555,0.14287
556,0.14248
557,0.14194
558,0.14123
559,0.14041
560,0.13949
561,0.13845
562,0.13733
563,0.13619
564,0.13501
565,0.13382
566,0.13261
567,0.13142
568,0.13026
569,0.12903
570,0.12778
571,0.12657
572,0.12541
573,0.12429
574,0.12323
575,0.12226
576,0.12131
577,0.12039
578,0.11948
579,0.11854
580,0.11772
581,0.11703
582,0.11642
583,0.11587
584,0.11535
585,0.11484
586,0.11439
587,0.11393
588,0.11356
589,0.11336
590,0.11317
591,0.11294
592,0.11265
593,0.11236
594,0.11217
595,0.11205
596,0.11192
597,0.11172
598,0.11148
599,0.11123
600,0.11099
601,0.11077
602,0.11054
603,0.11027
604,0.10998
605,0.10965
606,0.10927
607,0.10886
608,0.10837
609,0.10767
610,0.10668
611,0.1055
612,0.10505
613,0.10503
614,0.10506
615,0.10484
616,0.10457
617,0.10427
618,0.10394
619,0.10357
620,0.10322
621,0.10292
622,0.10272
623,0.10255
624,0.10241
625,0.10229
626,0.10219
627,0.10212
628,0.10205
629,0.10194
630,0.1018
631,0.1017
632,0.10164
633,0.1016
634,0.10147
635,0.10128
636,0.10104
637,0.10073
638,0.10039
639,0.10003
640,0.09964
641,0.09925
642,0.09884
643,0.09844
644,0.09806
645,0.09771
646,0.09738
647,0.09708
648,0.09683
649,0.09662
650,0.09646
651,0.09633
652,0.09628
653,0.09625
654,0.09621
655,0.09617
656,0.09612
657,0.09606
658,0.096
659,0.09589
660,0.09579
661,0.09571
662,0.09562
663,0.09555
664,0.0955
665,0.09549
666,0.09553
667,0.09558
668,0.09564
669,0.09574
670,0.09591
671,0.0961
672,0.0963
673,0.09651
674,0.09677
675,0.09707
676,0.09736
677,0.09768
678,0.09803
679,0.09841
680,0.09883
681,0.09925
682,0.09969
683,0.10017
684,0.10062
685,0.10109
686,0.10161
687,0.10218
688,0.10288
689,0.10374
690,0.10482
691,0.10623
692,0.10797
693,0.11011
694,0.11273
695,0.11596
696,0.11976
697,0.12411
698,0.12903
699,0.13448
700,0.1404
701,0.1467
702,0.15332
703,0.16016
704,0.16718
705,0.17432
706,0.18153
707,0.18876
708,0.19601
709,0.20332
710,0.21063
711,0.21793
712,0.22521
713,0.23248
714,0.23973
715,0.24696
716,0.25414
717,0.2613
718,0.26839
719,0.27542
720,0.28239
721,0.28926
722,0.29604
723,0.3027
724,0.30925
725,0.31565
726,0.32189
727,0.32795
728,0.33384
729,0.33955
730,0.34506
731,0.35035
732,0.35545
733,0.36036
734,0.36505
735,0.36952
736,0.37377
737,0.3778
738,0.38161
739,0.38521
740,0.38859
741,0.39178
742,0.39476
743,0.39752
744,0.40009
745,0.40246
746,0.40463
747,0.40665
748,0.4085
749,0.41019
750,0.41171
751,0.41309
752,0.41437
753,0.41554
754,0.41661
755,0.41755
756,0.41839
757,0.41917
758,0.41984
759,0.42045
760,0.42102
761,0.42152
762,0.42196
763,0.42236
764,0.42272
765,0.42302
766,0.42328
767,0.42349
768,0.42369
769,0.42385
770,0.424
771,0.42412
772,0.42422
773,0.42432
774,0.42439
775,0.42444
776,0.42451
777,0.42457
778,0.42461
779,0.42466
780,0.42469
781,0.4247
782,0.42471
783,0.42472
784,0.42472
785,0.42471
786,0.4247
787,0.42466
788,0.42462
789,0.42459
790,0.42456
791,0.4245
792,0.42444
793,0.42438
794,0.42427
795,0.42418
796,0.42409
797,0.424
798,0.42391
799,0.42377
800,0.42362
801,0.4235
802,0.42337
803,0.42322
804,0.42306
805,0.42292
806,0.42279
807,0.42263
808,0.42243
