wl,value
360,0.03604
361,0.0367
362,0.03694
363,0.03655
364,0.03605
365,0.03596
366,0.03579
367,0.03607
368,0.03655
369,0.03653
370,0.03605
371,0.03576
372,0.03586
373,0.03559
374,0.03539
375,0.0352
376,0.03501
377,0.03566
378,0.03578
379,0.03519
380,0.03485
381,0.03518
382,0.03532
383,0.03487
384,0.03494
385,0.035
386,0.03503
387,0.03511
388,0.03514
389,0.03497
390,0.0347
391,0.0347
392,0.03455
393,0.03448
394,0.03465
395,0.03474
396,0.03479
397,0.03476
398,0.03465
399,0.03447
400,0.03427
401,0.03419
402,0.03455
403,0.0348
404,0.03478
405,0.03452
406,0.0343
407,0.0342
408,0.03432
409,0.03467
410,0.03475
411,0.03473
412,0.03477
413,0.03488
414,0.035
415,0.03512
416,0.03524
417,0.03534
418,0.03551
419,0.03578
420,0.03608
421,0.03636
422,0.03656
423,0.03666
424,0.03689
425,0.0372
426,0.03749
427,0.03769
428,0.03793
429,0.03823
430,0.0386
431,0.03894
432,0.03927
433,0.03956
434,0.0398
435,0.04004
436,0.0403
437,0.04055
438,0.04076
439,0.04093
440,0.04114
441,0.04142
442,0.04167
443,0.04192
444,0.04214
445,0.04231
446,0.0425
447,0.04273
448,0.04298
449,0.04322
450,0.04337
451,0.04354
452,0.04379
453,0.04397
454,0.04409
455,0.0442
456,0.04433
457,0.04447
458,0.0446
459,0.04471
460,0.04476
461,0.04484
462,0.04494
463,0.04502
464,0.04509
465,0.04515
466,0.0452
467,0.04521
468,0.04519
469,0.0452
470,0.04527
471,0.04534
472,0.04541
473,0.04544
474,0.0454
475,0.04537
476,0.04539
477,0.04547
478,0.04553
479,0.04561
480,0.04566
481,0.04565
482,0.04573
483,0.04582
484,0.04588
485,0.04594
486,0.04603
487,0.04616
488,0.04631
489,0.0464
490,0.04654
491,0.04672
492,0.0469
493,0.04709
494,0.04727
495,0.04747
496,0.04775
497,0.04808
498,0.0484
499,0.04868
500,0.04904
501,0.04944
502,0.04989
503,0.05037
504,0.05093
505,0.05153
506,0.05213
507,0.05277
508,0.05352
509,0.05437
510,0.05527
511,0.05625
512,0.05733
513,0.05851
514,0.05975
515,0.06113
516,0.06261
517,0.06416
518,0.06584
519,0.06763
520,0.0695
521,0.07139
522,0.07336
523,0.07537
524,0.07735
525,0.07932
526,0.08124
527,0.08307
528,0.08481
529,0.08646
530,0.08799
531,0.08939
532,0.09066
533,0.09185
534,0.09292
535,0.09385
536,0.09467
537,0.09539
538,0.09602
539,0.09666
540,0.09732
541,0.09799
542,0.09862
543,0.09916
544,0.09957
545,0.09983
546,0.09995
547,0.10003
548,0.10011
549,0.10021
550,0.10029
551,0.10031
552,0.10024
553,0.10008
554,0.09974
555,0.09929
556,0.09875
557,0.09813
558,0.09738
559,0.09656
560,0.09568
561,0.09474
562,0.09374
