wl,value
360,0.0607
361,0.06036
362,0.06013
363,0.05934
364,0.05884
365,0.05923
366,0.05885
367,0.05888
368,0.05922
369,0.05896
370,0.05858
371,0.05845
372,0.05866
373,0.05888
374,0.05889
375,0.05861
376,0.05822
377,0.05845
378,0.05867
379,0.05874
380,0.05891
381,0.05876
382,0.05835
383,0.0579
384,0.05775
385,0.05769
386,0.05775
387,0.05793
388,0.05734
389,0.05735
390,0.05791
391,0.05753
392,0.05724
393,0.05721
394,0.05732
395,0.05725
396,0.05729
397,0.05728
398,0.05699
399,0.05717
400,0.05726
401,0.05711
402,0.05717
403,0.05718
404,0.05723
405,0.05741
406,0.05758
407,0.05782
408,0.05802
409,0.05805
410,0.05839
411,0.05875
412,0.0589
413,0.05896
414,0.05931
415,0.05988
416,0.06038
417,0.06043
418,0.06084
419,0.06161
420,0.06205
421,0.06239
422,0.06283
423,0.06336
424,0.06342
425,0.06367
426,0.06414
427,0.0646
428,0.06504
429,0.0654
430,0.06564
431,0.06578
432,0.06605
433,0.06636
434,0.06657
435,0.06658
436,0.06669
437,0.06696
438,0.06727
439,0.06737
440,0.06752
441,0.06785
442,0.06802
443,0.06806
444,0.06814
445,0.06845
446,0.06865
447,0.0688
448,0.06893
449,0.069
450,0.06927
451,0.06947
452,0.06942
453,0.06961
454,0.06976
455,0.0698
456,0.06985
457,0.06988
458,0.06994
459,0.07001
460,0.07
461,0.07002
462,0.07008
463,0.07015
464,0.0702
465,0.07011
466,0.06998
467,0.07005
468,0.07011
469,0.07013
470,0.07013
471,0.07006
472,0.0701
473,0.07015
474,0.07004
475,0.06999
476,0.06995
477,0.06994
478,0.07012
479,0.07017
480,0.07013
481,0.07014
482,0.07014
483,0.07019
484,0.07024
485,0.07022
486,0.07016
487,0.0702
488,0.0704
489,0.07059
490,0.07078
491,0.07096
492,0.07115
493,0.07138
494,0.07172
495,0.07215
496,0.07244
497,0.07285
498,0.07337
499,0.07395
500,0.0747
501,0.07546
502,0.07624
503,0.07716
504,0.07814
505,0.07918
506,0.08034
507,0.08177
508,0.08328
509,0.08487
510,0.08662
511,0.08851
512,0.09057
513,0.0928
514,0.09517
515,0.09767
516,0.10027
517,0.10299
518,0.10587
519,0.10879
520,0.11172
521,0.11468
522,0.11768
523,0.12064
524,0.1235
525,0.12627
526,0.12889
527,0.13136
528,0.1337
529,0.13586
530,0.1379
531,0.13977
532,0.14134
533,0.14284
534,0.14425
535,0.14549
536,0.14662
537,0.14759
538,0.14843
539,0.14922
540,0.14988
541,0.15046
542,0.15099
543,0.1515
544,0.15204
545,0.15258
546,0.1531
547,0.15366
548,0.15416
549,0.15455
550,0.15488
551,0.15515
552,0.15531
553,0.15532
554,0.15522
555,0.15497
556,0.15457
557,0.15396
558,0.15324
559,0.15238
560,0.15139
561,0.15028
562,0.14906
563,0.14771
564,0.14621
565,0.14464
566,0.14306
567,0.14143
568,0.13968
569,0.13786
570,0.13602
571,0.1342
572,0.13244
573,0.13076
574,0.12913
575,0.12749
576,0.12592
577,0.12445
578,0.12312
579,0.12206
580,0.12105
581,0.12006
582,0.1191
583,0.11816
584,0.11725
585,0.11637
586,0.11553
587,0.11483
588,0.11421
589,0.11361
590,0.11297
591,0.11233
592,0.11172
593,0.11115
594,0.11072
595,0.11035
596,0.10995
597,0.10955
598,0.10912
599,0.10869
600,0.1083
601,0.10784
602,0.10733
603,0.10679
604,0.10622
605,0.10557
606,0.10487
607,0.10415
608,0.10339
609,0.10258
610,0.10169
611,0.10075
612,0.09998
613,0.09925
614,0.09848
615,0.09765
616,0.0969
617,0.09621
618,0.09554
619,0.09492
620,0.09435
621,0.09385
622,0.09342
623,0.09307
624,0.09277
