wl,value
360,0.05616
361,0.05451
362,0.05439
363,0.05514
364,0.05518
365,0.05361
366,0.05282
367,0.05274
368,0.05313
369,0.05362
370,0.05387
371,0.05409
372,0.0543
373,0.05397
374,0.05336
375,0.05305
376,0.05344
377,0.05378
378,0.05407
379,0.0541
380,0.05358
381,0.05312
382,0.0532
383,0.05367
384,0.05311
385,0.0528
386,0.05293
387,0.05323
388,0.05316
389,0.05308
390,0.05297
391,0.05243
392,0.05218
393,0.0525
394,0.05316
395,0.05292
396,0.05313
397,0.05366
398,0.05369
399,0.0534
400,0.05322
401,0.05338
402,0.05384
403,0.05372
404,0.0538
405,0.05468
406,0.05487
407,0.05502
408,0.0553
409,0.05554
410,0.05603
411,0.05668
412,0.05731
413,0.0576
414,0.05825
415,0.05909
416,0.05973
417,0.06046
418,0.06119
419,0.06194
420,0.06285
421,0.06361
422,0.06436
423,0.06524
424,0.0661
425,0.06703
426,0.0679
427,0.06857
428,0.06938
429,0.07021
430,0.07095
431,0.07156
432,0.07222
433,0.07282
434,0.07326
435,0.07384
436,0.07437
437,0.07483
438,0.0753
439,0.07592
440,0.07661
441,0.07724
442,0.07748
443,0.07782
444,0.07827
445,0.07865
446,0.07902
447,0.07937
448,0.07973
449,0.08023
450,0.08056
451,0.08076
452,0.08096
453,0.08121
454,0.08149
455,0.08174
456,0.0819
457,0.08206
458,0.08219
459,0.08233
460,0.08252
461,0.08269
462,0.08288
463,0.08309
464,0.08303
465,0.08302
466,0.0832
467,0.0835
468,0.0835
469,0.08348
470,0.08364
471,0.08361
472,0.08371
473,0.08387
474,0.08385
475,0.08388
476,0.08391
477,0.08393
478,0.084
479,0.08404
480,0.08407
481,0.08412
482,0.08416
483,0.08424
484,0.08434
485,0.08436
486,0.08438
487,0.08443
488,0.08451
489,0.08459
490,0.08478
491,0.08504
492,0.08527
493,0.08544
494,0.08569
495,0.08603
496,0.08631
497,0.08665
498,0.08703
499,0.08741
500,0.0878
501,0.08832
502,0.08894
503,0.08953
504,0.09026
505,0.09106
506,0.09184
507,0.09262
508,0.09354
509,0.09461
510,0.09575
511,0.09693
512,0.09818
513,0.09952
514,0.10097
515,0.10251
516,0.10411
517,0.10573
518,0.10748
519,0.10926
520,0.11105
521,0.11292
522,0.11477
523,0.11656
524,0.11828
525,0.11997
526,0.1216
527,0.12314
528,0.12455
529,0.12585
530,0.12706
531,0.12817
532,0.12916
533,0.13008
534,0.13093
535,0.13168
536,0.13234
537,0.13287
538,0.13327
539,0.13358
540,0.13391
541,0.13414
542,0.13424
543,0.13443
544,0.13468
545,0.13497
546,0.13528
547,0.13584
548,0.13639
549,0.13676
550,0.13694
551,0.1371
552,0.13719
553,0.13716
554,0.13704
555,0.13681
556,0.13647
557,0.13603
558,0.13548
559,0.1348
560,0.13404
561,0.13327
562,0.13242
563,0.13148
564,0.1305
565,0.12947
566,0.12847
567,0.1275
568,0.12646
569,0.12539
570,0.12428
571,0.12313
572,0.122
573,0.12086
574,0.11971
575,0.11862
576,0.11774
577,0.11699
578,0.1163
579,0.11566
580,0.11505
581,0.11444
582,0.11379
583,0.11319
584,0.11265
585,0.11217
586,0.11171
587,0.11124
588,0.1108
589,0.11042
590,0.1101
591,0.10972
592,0.10929
593,0.10895
594,0.10868
595,0.10851
596,0.10843
597,0.10828
598,0.10819
599,0.1081
600,0.1079
601,0.10771
602,0.10749
603,0.10721
604,0.10687
605,0.10647
606,0.10602
607,0.10554
608,0.10498
609,0.10433
610,0.10357
611,0.10276
612,0.1022
613,0.10182
614,0.10148
615,0.10101
616,0.10056
617,0.10014
618,0.09975
619,0.0994
620,0.09905
621,0.09873
622,0.09852
623,0.09836
624,0.0982
625,0.09804
626,0.09789
627,0.0978
628,0.09775
629,0.0977
630,0.09768
631,0.09766
632,0.09761
633,0.09756
634,0.09744
635,0.09725
636,0.097
637,0.09669
638,0.09633
639,0.09591
640,0.09547
641,0.09499
642,0.09446
643,0.09392
644,0.09342
645,0.09289
646,0.09235
647,0.09183
648,0.0914
649,0.09097
650,0.09057
651,0.09028
652,0.08997
653,0.08967
654,0.08939
655,0.08912
656,0.08875
657,0.08833
658,0.08793
659,0.08748
660,0.08702
661,0.08658
662,0.08619
663,0.08577
664,0.08539
665,0.08509
666,0.08479
667,0.08453
668,0.08435
669,0.08426
670,0.08417
671,0.08415
672,0.08421
673,0.08427
674,0.08436
675,0.0845
676,0.08471
677,0.08491
678,0.08519
679,0.08552
680,0.08585
