wl,value
360,0.06001
361,0.05932
362,0.06227
363,0.06214
364,0.06047
365,0.06
366,0.05951
367,0.0594
368,0.05981
369,0.06058
370,0.06059
371,0.06013
372,0.05977
373,0.06039
374,0.05971
375,0.05903
376,0.05999
377,0.05966
378,0.05885
379,0.05849
380,0.05932
381,0.05871
382,0.05844
383,0.05932
384,0.05829
385,0.05725
386,0.0572
387,0.05836
388,0.05865
389,0.05903
390,0.05935
391,0.05826
392,0.0582
393,0.05829
394,0.05767
395,0.05732
396,0.05779
397,0.05849
398,0.05843
399,0.05817
400,0.05839
401,0.05895
402,0.05869
403,0.05819
404,0.05818
405,0.05895
406,0.05952
407,0.05954
408,0.05931
409,0.05953
410,0.06026
411,0.06095
412,0.06125
413,0.06133
414,0.06162
415,0.06218
416,0.06286
417,0.0634
418,0.06373
419,0.06407
420,0.06488
421,0.06516
422,0.06537
423,0.06594
424,0.06648
425,0.06676
426,0.06696
427,0.06745
428,0.06813
429,0.06852
430,0.06859
431,0.06891
432,0.06921
433,0.06921
434,0.0689
435,0.06919
436,0.06974
437,0.07021
438,0.07033
439,0.07058
440,0.07085
441,0.07102
442,0.07118
443,0.07128
444,0.0714
445,0.07167
446,0.07205
447,0.07233
448,0.07248
449,0.0728
450,0.07275
451,0.07279
452,0.07331
453,0.0736
454,0.07367
455,0.07368
456,0.07385
457,0.07391
458,0.0739
459,0.07394
460,0.07423
461,0.07426
462,0.07414
463,0.07414
464,0.07414
465,0.07418
466,0.07424
467,0.07424
468,0.07424
469,0.07432
470,0.07443
471,0.07425
472,0.07415
473,0.07424
474,0.07442
475,0.07425
476,0.07414
477,0.07425
478,0.07429
479,0.07427
480,0.07424
481,0.07431
482,0.07456
483,0.07467
484,0.07459
485,0.07456
486,0.07462
487,0.0747
488,0.07482
489,0.0752
490,0.07554
491,0.07584
492,0.07626
493,0.07648
494,0.07674
495,0.07718
496,0.07777
497,0.07831
498,0.07885
499,0.07955
500,0.08051
501,0.08135
502,0.08209
503,0.0831
504,0.0843
505,0.08559
506,0.08694
507,0.08848
508,0.0901
509,0.09183
510,0.09376
511,0.09581
512,0.09791
513,0.1001
514,0.10257
515,0.10511
516,0.10773
517,0.11048
518,0.11333
519,0.11618
520,0.11899
521,0.12178
522,0.1246
523,0.12737
524,0.12999
525,0.13244
526,0.13479
527,0.13703
528,0.13906
529,0.14086
530,0.14251
531,0.14405
532,0.14542
533,0.14665
534,0.14776
535,0.14873
536,0.14955
537,0.15031
538,0.15101
539,0.15158
540,0.15198
541,0.15229
542,0.15263
543,0.15307
544,0.15351
545,0.15392
546,0.15435
547,0.15505
548,0.15563
549,0.15596
550,0.15628
551,0.15649
552,0.15659
553,0.15661
554,0.15647
555,0.15614
556,0.15562
557,0.15497
558,0.15426
559,0.15342
560,0.15241
561,0.15137
562,0.15019
563,0.14891
564,0.14757
565,0.14617
566,0.14471
567,0.14318
568,0.14156
569,0.1398
570,0.138
571,0.13626
572,0.13467
573,0.13316
574,0.13168
575,0.13019
576,0.12876
577,0.12752
578,0.12645
579,0.12534
580,0.12439
581,0.12352
582,0.12263
583,0.12182
584,0.12103
585,0.12027
586,0.11954
587,0.11885
588,0.1182
589,0.11761
590,0.11701
591,0.11651
592,0.11609
593,0.11567
594,0.11535
595,0.11508
596,0.11482
597,0.11462
598,0.11438
599,0.1141
600,0.11382
601,0.11353
602,0.11317
603,0.11271
604,0.11215
605,0.11155
606,0.11089
607,0.11016
608,0.10939
609,0.10847
610,0.10742
611,0.10642
612,0.10562
613,0.10498
614,0.10437
615,0.10353
616,0.10281
617,0.10216
618,0.10147
619,0.10096
620,0.10042
621,0.09987
622,0.09949
623,0.09917
624,0.09888
625,0.09863
626,0.09841
627,0.09826
628,0.09816
629,0.09807
630,0.09796
631,0.09782
632,0.09766
633,0.09749
634,0.09727
635,0.09691
636,0.09638
637,0.09575
638,0.09499
639,0.09418
640,0.09337
641,0.09249
642,0.09156
643,0.09058
644,0.08961
645,0.08862
646,0.08767
647,0.08684
648,0.08605
649,0.08529
650,0.08463
651,0.08417
652,0.08372
653,0.08328
654,0.08286
655,0.08241
656,0.08197
657,0.08148
658,0.08087
659,0.08022
660,0.07957
661,0.07893
662,0.0783
663,0.07769
664,0.07713
665,0.07665
666,0.07626
667,0.07591
668,0.07561
669,0.0754
670,0.07524
671,0.07515
672,0.07515
673,0.07521
674,0.07528
675,0.07542
676,0.07564
677,0.07584
678,0.07609
679,0.07642
680,0.07681
681,0.07732
682,0.07791
683,0.0786
684,0.07953
685,0.08064
686,0.08198
687,0.08365
688,0.08582
689,0.08851
690,0.09176
691,0.09566
692,0.10022
693,0.10546
694,0.11139
695,0.11788
696,0.12492
697,0.13245
698,0.1404
699,0.14878
700,0.15751
701,0.16652
702,0.17573
703,0.18503
704,0.19442
705,0.20386
706,0.21333
707,0.22288
708,0.23244
709,0.24194
710,0.25143
711,0.26097
712,0.27051
713,0.27991
714,0.28935
715,0.29874
716,0.30799
717,0.31716
718,0.32629
719,0.33533
720,0.34418
721,0.35285
722,0.36137
723,0.36975
724,0.37786
725,0.38576
726,0.39342
727,0.40081
728,0.40776
729,0.41461
730,0.42125
731,0.42742
732,0.4332
733,0.43878
734,0.4442
735,0.44934
736,0.45401
737,0.45847
738,0.46284
739,0.46671
740,0.47046
741,0.47406
742,0.47732
743,0.48043
744,0.48324
745,0.4858
746,0.4883
747,0.4906
748,0.49262
749,0.49443
750,0.49634
751,0.49792
752,0.49924
753,0.50053
754,0.50189
755,0.50299
756,0.50391
757,0.50502
758,0.50569
759,0.50642
760,0.50738
761,0.50791
762,0.50842
763,0.50895
764,0.50943
765,0.50996
766,0.51049
767,0.5109
768,0.51108
769,0.51145
770,0.51183
771,0.51213
772,0.51251
773,0.51288
774,0.51314
775,0.5133
776,0.51356
777,0.51378
778,0.514
779,0.51429
780,0.51451
781,0.51474
782,0.51498
783,0.51512
784,0.51522
785,0.5155
786,0.51594
787,0.51606
788,0.51624
789,0.51646
790,0.51657
791,0.51664
792,0.51679
793,0.51703
794,0.51731
795,0.51759
796,0.51769
797,0.51763
798,0.51773
799,0.51788
800,0.51806
801,0.5182
802,0.51814
803,0.51807
804,0.51814
805,0.51838
806,0.51831
807,0.51839
808,0.51862
