wl,value
360,0.07449
361,0.075
362,0.07397
363,0.0732
364,0.07355
365,0.07485
366,0.07421
367,0.07418
368,0.07482
369,0.07456
370,0.0742
371,0.0738
372,0.07362
373,0.07456
374,0.07428
375,0.07352
376,0.07368
377,0.07403
378,0.07402
379,0.07367
380,0.07348
381,0.07371
382,0.07399
383,0.07399
384,0.0737
385,0.07366
386,0.07378
387,0.07381
388,0.07404
389,0.07414
390,0.07426
391,0.07496
392,0.07497
393,0.0749
394,0.07527
395,0.0752
396,0.07517
397,0.07524
398,0.07533
399,0.0757
400,0.07567
401,0.0752
402,0.07517
403,0.07523
404,0.07533
405,0.07546
406,0.07555
407,0.07574
408,0.07593
409,0.0759
410,0.07607
411,0.07638
412,0.07666
413,0.07656
414,0.07651
415,0.0766
416,0.07674
417,0.07678
418,0.07684
419,0.07688
420,0.07673
421,0.0768
422,0.07685
423,0.07669
424,0.07674
425,0.0768
426,0.07677
427,0.07668
428,0.07667
429,0.07663
430,0.0765
431,0.07632
432,0.0761
433,0.07593
434,0.07588
435,0.07576
436,0.07563
437,0.07561
438,0.07583
439,0.07609
440,0.07627
441,0.07636
442,0.07644
443,0.07649
444,0.07655
445,0.07667
446,0.07677
447,0.07681
448,0.07685
449,0.07694
450,0.07701
451,0.07706
452,0.0771
453,0.07721
454,0.07726
455,0.07729
456,0.07738
457,0.07745
458,0.07747
459,0.07745
460,0.0774
461,0.07739
462,0.07743
463,0.0775
464,0.07749
465,0.07746
466,0.07745
467,0.07749
468,0.07752
469,0.07755
470,0.07759
471,0.07757
472,0.07751
473,0.0775
474,0.0776
475,0.07768
476,0.07772
477,0.07774
478,0.07773
479,0.07773
480,0.07772
481,0.07767
482,0.07765
483,0.07761
484,0.07757
485,0.07756
486,0.07753
487,0.07752
488,0.07758
489,0.07768
490,0.07789
491,0.07811
492,0.0782
493,0.07837
494,0.07866
495,0.07905
496,0.07939
497,0.07973
498,0.08012
499,0.0806
500,0.08118
501,0.08177
502,0.0824
503,0.08317
504,0.08406
505,0.08503
506,0.08609
507,0.08724
508,0.08852
509,0.08997
510,0.09159
511,0.09327
512,0.09509
513,0.09706
514,0.0991
515,0.10124
516,0.10348
517,0.10584
518,0.10819
519,0.11057
520,0.11296
521,0.11532
522,0.11759
523,0.11977
524,0.12187
525,0.12383
526,0.12564
527,0.12728
528,0.12877
529,0.13009
530,0.13125
531,0.13227
532,0.13314
533,0.13391
534,0.13457
535,0.13511
536,0.13559
537,0.13595
538,0.13616
539,0.13622
540,0.13616
541,0.13602
542,0.13588
543,0.13585
544,0.13591
545,0.13612
546,0.13648
547,0.13688
548,0.13724
549,0.13753
550,0.13767
551,0.13776
552,0.13777
553,0.13766
554,0.1375
555,0.1372
556,0.1367
557,0.13603
558,0.13525
559,0.13434
560,0.1333
561,0.1322
562,0.13101
563,0.12974
564,0.12843
565,0.1271
566,0.12575
567,0.12437
