wl,value
360,0.01776
361,0.01777
362,0.0175
363,0.01821
364,0.01862
365,0.01767
366,0.01748
367,0.01758
368,0.01771
369,0.01779
370,0.01781
371,0.01771
372,0.01754
373,0.01757
374,0.01788
375,0.01798
376,0.01749
377,0.01725
378,0.01733
379,0.01752
380,0.01739
381,0.01748
382,0.0178
383,0.01807
384,0.0177
385,0.01745
386,0.01741
387,0.01744
388,0.01758
389,0.01767
390,0.01767
391,0.01769
392,0.01803
393,0.01827
394,0.01813
395,0.01801
396,0.0179
397,0.018
398,0.01848
399,0.01886
400,0.01906
401,0.01914
402,0.01926
403,0.01905
404,0.01883
405,0.019
406,0.01944
407,0.01985
408,0.0201
409,0.02022
410,0.02049
411,0.02072
412,0.02084
413,0.02106
414,0.02136
415,0.02172
416,0.02212
417,0.02242
418,0.02279
419,0.02319
420,0.02345
421,0.02367
422,0.02394
423,0.02429
424,0.02467
425,0.025
426,0.02529
427,0.02558
428,0.02586
429,0.02621
430,0.02662
431,0.02691
432,0.02716
433,0.02741
434,0.02768
435,0.02796
436,0.02818
437,0.02832
438,0.02839
439,0.02851
440,0.0286
441,0.02862
442,0.02871
443,0.02886
444,0.02898
445,0.02901
446,0.02915
447,0.02929
448,0.0294
449,0.0296
450,0.02974
451,0.02982
452,0.02987
453,0.02995
454,0.03001
455,0.03006
456,0.03014
457,0.03019
458,0.0302
459,0.03023
460,0.03031
461,0.03037
462,0.03038
463,0.03035
464,0.03032
465,0.03025
466,0.03019
467,0.03029
468,0.03032
469,0.03028
470,0.03025
471,0.03025
472,0.03023
473,0.03021
474,0.03023
475,0.03027
476,0.03025
477,0.03017
478,0.03011
479,0.03008
480,0.03011
481,0.03018
482,0.03023
483,0.03025
484,0.03028
485,0.03035
486,0.03041
487,0.03047
488,0.03054
489,0.03057
490,0.03063
491,0.03072
492,0.03079
493,0.03081
494,0.03082
495,0.03088
496,0.03103
497,0.03119
498,0.03132
499,0.0314
500,0.03153
501,0.03171
502,0.03194
503,0.03222
504,0.03247
505,0.03275
506,0.03309
507,0.03344
508,0.03384
509,0.03429
510,0.03477
511,0.03524
512,0.03579
513,0.03641
514,0.03704
515,0.03774
516,0.03849
517,0.03925
518,0.0401
519,0.04099
520,0.04191
521,0.04284
522,0.04373
523,0.04464
524,0.04563
525,0.04658
526,0.04745
527,0.04828
528,0.04911
529,0.04988
530,0.05057
531,0.0512
532,0.05177
533,0.0523
534,0.05276
535,0.05317
536,0.05356
537,0.05394
538,0.0543
539,0.05468
540,0.05518
541,0.05579
542,0.0564
543,0.05686
544,0.0571
545,0.05713
546,0.05697
547,0.05672
548,0.05645
549,0.05626
550,0.05619
551,0.05614
552,0.05604
553,0.05586
554,0.0556
555,0.0553
556,0.05495
557,0.05457
558,0.05416
559,0.05373
560,0.0533
561,0.05285
562,0.05236
563,0.05185
564,0.05133
565,0.05076
566,0.05018
567,0.04959
568,0.04896
569,0.04829
570,0.04762
571,0.04699
572,0.04635
573,0.04576
574,0.04519
575,0.04463
576,0.04412
577,0.04366
578,0.04329
579,0.04298
580,0.04268
581,0.04236
582,0.042
583,0.04166
584,0.04133
585,0.04102
586,0.04076
587,0.04057
588,0.04037
589,0.04013
590,0.03988
591,0.03965
592,0.03945
593,0.03927
594,0.03911
595,0.03897
596,0.03884
597,0.03873
598,0.03864
599,0.03853
600,0.03838
601,0.03822
602,0.03804
603,0.03784
604,0.03765
605,0.03744
606,0.03719
607,0.03695
608,0.03672
609,0.03656
610,0.03651
611,0.03657
612,0.03629
613,0.03579
614,0.03526
615,0.03492
616,0.03458
617,0.03427
618,0.03402
619,0.03385
620,0.03367
621,0.03349
622,0.03332
623,0.03317
624,0.03305
625,0.03295
626,0.03281
627,0.03272
628,0.03267
629,0.03265
630,0.03263
631,0.0326
632,0.03254
633,0.03244
634,0.03233
635,0.03221
636,0.03208
637,0.03191
638,0.03171
639,0.03149
640,0.03129
641,0.03105
642,0.03081
643,0.03059
644,0.03034
645,0.03007
646,0.02982
647,0.02961
648,0.02938
649,0.02919
650,0.02903
651,0.02886
652,0.02874
653,0.02861
654,0.02846
655,0.02834
656,0.02821
657,0.02805
658,0.02787
659,0.02768
660,0.02747
661,0.02726
662,0.02709
663,0.02693
664,0.02676
665,0.02661
666,0.02649
667,0.0264
668,0.02635
669,0.02632
670,0.02631
671,0.02632
672,0.02636
673,0.02645
674,0.02655
675,0.02666
676,0.02682
677,0.02701
678,0.02724
679,0.02748
680,0.02771
681,0.02798
682,0.02829
683,0.02863
684,0.02897
685,0.02936
686,0.02979
687,0.03022
688,0.03074
689,0.03137
690,0.03212
691,0.033
692,0.0341
693,0.03543
694,0.03701
695,0.03883
696,0.0409
697,0.04322
698,0.04578
699,0.04857
700,0.05161
701,0.0549
702,0.05837
703,0.06203
704,0.06587
705,0.06987
706,0.07401
707,0.07832
708,0.08277
709,0.08736
710,0.09205
711,0.09692
712,0.10197
713,0.10712
714,0.11242
715,0.11787
716,0.12347
717,0.12919
718,0.13502
719,0.14094
720,0.14692
721,0.15297
722,0.15905
723,0.16514
724,0.17122
725,0.17726
726,0.18324
727,0.18911
728,0.19487
729,0.20049
730,0.20596
731,0.21123
732,0.21636
733,0.2213
734,0.22604
735,0.23053
736,0.23481
737,0.23887
738,0.24271
739,0.24635
740,0.24973
741,0.25288
742,0.25584
743,0.25857
744,0.26109
745,0.2634
746,0.26554
747,0.26746
748,0.26922
749,0.27086
750,0.27231
751,0.2736
752,0.27477
753,0.27585
754,0.27681
755,0.27766
756,0.27842
757,0.27912
758,0.27977
759,0.28036
760,0.28086
761,0.28129
762,0.28166
763,0.28198
764,0.28226
765,0.28251
766,0.28275
767,0.28298
768,0.28316
769,0.2833
770,0.28343
771,0.28356
772,0.28365
773,0.28372
774,0.2838
775,0.28389
776,0.28395
777,0.284
778,0.28408
779,0.28417
780,0.28427
781,0.28434
782,0.28438
783,0.28442
784,0.28447
785,0.28453
786,0.28457
787,0.28461
788,0.28466
789,0.28471
790,0.28473
791,0.28476
792,0.28478
793,0.28479
794,0.28482
795,0.28487
796,0.28491
797,0.28492
798,0.28492
799,0.28493
800,0.28495
801,0.28496
802,0.28494
803,0.28494
804,0.28493
805,0.28491
806,0.2849
807,0.2849
808,0.2849
809,0.28487
810,0.28483
811,0.2848
812,0.28479
813,0.28478
814,0.28472
815,0.28466
816,0.28465
