wl,value
360,0.04946
361,0.04958
362,0.05234
363,0.05205
364,0.04984
365,0.04846
366,0.04973
367,0.05074
368,0.05095
369,0.05143
370,0.05088
371,0.05037
372,0.0505
373,0.0506
374,0.05028
375,0.04977
376,0.04945
377,0.04948
378,0.04888
379,0.04824
380,0.04927
381,0.04947
382,0.04942
383,0.04957
384,0.04892
385,0.04838
386,0.04841
387,0.04902
388,0.04914
389,0.04961
390,0.05004
391,0.04874
392,0.04878
393,0.04918
394,0.04879
395,0.04818
396,0.04862
397,0.04926
398,0.04859
399,0.04868
400,0.04894
401,0.04905
402,0.04926
403,0.04884
404,0.04865
405,0.04931
406,0.04956
407,0.04932
408,0.04885
409,0.04861
410,0.04917
411,0.04959
412,0.04942
413,0.04929
414,0.04935
415,0.04954
416,0.04971
417,0.04984
418,0.0498
419,0.04973
420,0.04999
421,0.04996
422,0.04992
423,0.05011
424,0.05012
425,0.04998
426,0.04989
427,0.05011
428,0.05041
429,0.05052
430,0.05037
431,0.05025
432,0.05062
433,0.05083
434,0.05045
435,0.05087
436,0.05123
437,0.0512
438,0.05096
439,0.05077
440,0.05063
441,0.0505
442,0.05049
443,0.0504
444,0.05037
445,0.05057
446,0.0508
447,0.05097
448,0.05109
449,0.05119
450,0.05107
451,0.05108
452,0.05146
453,0.05159
454,0.05165
455,0.0517
456,0.05174
457,0.05175
458,0.05177
459,0.05183
460,0.05191
461,0.05194
462,0.0519
463,0.05182
464,0.05182
465,0.05189
466,0.05199
467,0.05203
468,0.05202
469,0.0521
470,0.05225
471,0.05206
472,0.05196
473,0.05207
474,0.05226
475,0.0522
476,0.05219
477,0.05233
478,0.05225
479,0.05225
480,0.05235
481,0.05246
482,0.05264
483,0.05274
484,0.05276
485,0.05278
486,0.05291
487,0.05304
488,0.05313
489,0.05353
490,0.05381
491,0.05401
492,0.05437
493,0.05463
494,0.05486
495,0.05519
496,0.05575
497,0.0563
498,0.05684
499,0.05749
500,0.05833
501,0.05916
502,0.06002
503,0.06111
504,0.06238
505,0.06375
506,0.06522
507,0.06697
508,0.06888
509,0.07098
510,0.07334
511,0.07585
512,0.07847
513,0.08127
514,0.08437
515,0.08763
516,0.09105
517,0.09466
518,0.09844
519,0.1023
520,0.10617
521,0.11001
522,0.11385
523,0.11765
524,0.12133
525,0.12475
526,0.12802
527,0.13115
528,0.13407
529,0.13663
530,0.13899
531,0.14118
532,0.14309
533,0.14479
534,0.14634
535,0.14774
536,0.14881
537,0.1498
