wl,value
360,0.09393
361,0.09434
362,0.0934
363,0.09275
364,0.09256
365,0.09262
366,0.09306
367,0.09287
368,0.09245
369,0.09294
370,0.0934
371,0.09364
372,0.09353
373,0.09274
374,0.09203
375,0.09171
376,0.09191
377,0.09271
378,0.09307
379,0.09275
380,0.09231
381,0.0921
382,0.09219
383,0.09237
384,0.09214
385,0.09226
386,0.09252
387,0.0924
388,0.0919
389,0.09184
390,0.09228
391,0.0925
392,0.09251
393,0.09245
394,0.09237
395,0.09214
396,0.0922
397,0.09235
398,0.09221
399,0.09254
400,0.09237
401,0.0917
402,0.09188
403,0.09223
404,0.09244
405,0.09244
406,0.09253
407,0.09262
408,0.09269
409,0.09276
410,0.09279
411,0.09278
412,0.09278
413,0.0929
414,0.09307
415,0.09323
416,0.09332
417,0.09336
418,0.09329
419,0.09316
420,0.09314
421,0.09314
422,0.09314
423,0.09314
424,0.09317
425,0.09317
426,0.09312
427,0.09305
428,0.09301
429,0.09293
430,0.09278
431,0.09257
432,0.09238
433,0.09217
434,0.09191
435,0.09182
436,0.09184
437,0.09195
438,0.09216
439,0.09236
440,0.09257
441,0.09281
442,0.09298
443,0.09308
444,0.09314
445,0.09323
446,0.09335
447,0.09339
448,0.09338
449,0.09343
450,0.09351
451,0.09358
452,0.09363
453,0.09367
454,0.09374
455,0.09381
456,0.09375
457,0.09378
458,0.09386
459,0.09393
460,0.0939
461,0.09386
462,0.09387
463,0.09389
464,0.09386
465,0.09386
466,0.09391
467,0.09392
468,0.09388
469,0.09385
470,0.09388
471,0.09396
472,0.094
473,0.09398
474,0.09395
475,0.09405
476,0.09415
477,0.09418
478,0.09416
479,0.0941
480,0.09407
481,0.09412
482,0.09411
483,0.094
484,0.09385
485,0.09378
486,0.09374
487,0.09372
488,0.09374
489,0.09385
490,0.09393
491,0.09403
492,0.09428
493,0.09447
494,0.09467
495,0.0949
496,0.09511
497,0.09537
498,0.09569
499,0.09604
500,0.09643
501,0.0968
502,0.09718
503,0.09768
504,0.09821
505,0.09878
506,0.09942
507,0.10011
508,0.10091
509,0.10181
510,0.10279
511,0.10385
512,0.10504
513,0.10635
514,0.10772
515,0.10924
516,0.11089
517,0.11262
518,0.11452
519,0.11649
520,0.1185
521,0.12056
522,0.12262
523,0.12468
524,0.12674
525,0.1287
526,0.13059
527,0.13239
528,0.13409
529,0.13563
530,0.13706
531,0.13839
532,0.13954
533,0.14058
534,0.14151
535,0.14228
536,0.1429
537,0.1434
538,0.14378
539,0.144
540,0.14394
541,0.14369
542,0.1434
543,0.14323
544,0.14331
545,0.14368
546,0.14429
547,0.14499
548,0.14559
549,0.14599
550,0.14621
551,0.14633
552,0.14639
553,0.14637
554,0.14628
555,0.14605
556,0.14565
557,0.14508
558,0.14434
559,0.14351
560,0.1426
561,0.14156
562,0.14044
563,0.13927
564,0.13804
565,0.13674
566,0.13544
567,0.13418
568,0.13292
569,0.13166
570,0.1304
571,0.12916
572,0.12794
573,0.1268
574,0.12574
575,0.12468
576,0.12362
577,0.12262
578,0.12169
579,0.1208
580,0.12002
581,0.11933
582,0.11868
583,0.11804
584,0.11742
585,0.11688
586,0.1164
587,0.11592
588,0.11555
589,0.11534
590,0.1151
591,0.11483
592,0.11453
593,0.11421
594,0.11399
595,0.11383
596,0.11369
597,0.11352
598,0.11332
599,0.1131
600,0.11287
601,0.11266
602,0.11242
603,0.11212
604,0.11179
605,0.1114
606,0.11099
607,0.11055
608,0.11005
609,0.10929
610,0.10819
611,0.10691
612,0.10645
613,0.10645
614,0.1065
615,0.1063
616,0.10604
617,0.10573
618,0.10536
619,0.10497
620,0.10461
621,0.1043
622,0.10409
623,0.1039
624,0.10375
625,0.10365
626,0.10355
627,0.10348
628,0.1034
629,0.10331
630,0.10316
631,0.10305
632,0.103
633,0.10296
634,0.10281
635,0.10259
636,0.10232
637,0.102
638,0.10162
639,0.10119
640,0.10076
641,0.10032
642,0.09988
643,0.09943
644,0.09901
645,0.09861
646,0.09825
647,0.09795
648,0.09767
649,0.09744
650,0.09726
651,0.09711
652,0.09704
653,0.09702
654,0.09699
655,0.09698
656,0.09695
657,0.09688
658,0.09679
659,0.0967
660,0.0966
661,0.0965
662,0.0964
663,0.09632
664,0.09628
665,0.09629
666,0.0963
667,0.09635
668,0.09643
669,0.09657
670,0.09673
671,0.09692
672,0.09714
673,0.09739
674,0.09767
675,0.09798
676,0.0983
677,0.09867
678,0.09907
679,0.09949
680,0.09993
681,0.10041
682,0.10092
683,0.10143
684,0.10195
685,0.10247
686,0.10301
687,0.10362
688,0.10437
689,0.10532
690,0.10652
691,0.10804
692,0.10999
693,0.11242
694,0.11537
695,0.11893
696,0.1231
697,0.12788
698,0.13325
699,0.13916
700,0.14551
701,0.15221
702,0.15922
703,0.16635
704,0.17359
705,0.18092
706,0.18823
707,0.19553
708,0.20281
709,0.21008
710,0.21732
711,0.22452
712,0.23167
713,0.23878
714,0.2459
715,0.25299
716,0.26
717,0.26696
718,0.27386
719,0.28069
720,0.28746
721,0.29414
722,0.30075
723,0.30726
724,0.31362
725,0.31982
726,0.32589
727,0.33182
728,0.33755
729,0.34309
730,0.34845
731,0.35363
732,0.35859
733,0.36334
734,0.36788
735,0.37222
736,0.37633
737,0.38023
738,0.38392
739,0.3874
740,0.39068
741,0.39375
742,0.3966
743,0.39926
744,0.40171
745,0.40396
746,0.40604
747,0.40793
748,0.40966
749,0.41125
750,0.41269
751,0.41398
752,0.41516
753,0.41623
754,0.41715
755,0.41798
756,0.41874
757,0.41943
758,0.42006
759,0.42062
760,0.4211
761,0.42153
762,0.42192
763,0.42226
764,0.42255
765,0.42279
766,0.42298
767,0.42314
768,0.42329
769,0.42343
770,0.42352
771,0.42357
772,0.42366
773,0.42373
774,0.42378
775,0.42381
776,0.42384
777,0.42387
778,0.42389
779,0.42388
780,0.42391
781,0.42394
782,0.42395
783,0.42395
784,0.42394
785,0.42393
786,0.42391
787,0.42388
788,0.42385
789,0.42381
790,0.42375
791,0.4237
792,0.42364
793,0.42359
794,0.42355
795,0.42347
796,0.42337
797,0.42326
798,0.42316
799,0.42303
800,0.4229
801,0.42281
802,0.4227
803,0.42257
804,0.42244
805,0.42233
806,0.4222
807,0.42203
808,0.42185
809,0.42171
810,0.42154
811,0.42137
812,0.4212
813,0.42102
814,0.42085
815,0.42069
816,0.42051
817,0.42033
818,0.42014
819,0.41995
820,0.41978
821,0.41961
822,0.41944
823,0.41928
824,0.41907
825,0.41887
826,0.41872
827,0.41857
828,0.41839
829,0.41823
830,0.41807
