wl,value
360,0.06639
361,0.06637
362,0.06612
363,0.06595
364,0.06592
365,0.06594
366,0.06576
367,0.06554
368,0.06544
369,0.06561
370,0.06551
371,0.06526
372,0.06509
373,0.0652
374,0.06535
375,0.06553
376,0.06567
377,0.065
378,0.06433
379,0.06408
380,0.06425
381,0.06464
382,0.06478
383,0.06452
384,0.06433
385,0.06434
386,0.06451
387,0.06472
388,0.0647
389,0.06458
390,0.06448
391,0.06453
392,0.06437
393,0.06428
394,0.06445
395,0.06441
396,0.06449
397,0.06456
398,0.06437
399,0.06431
400,0.06426
401,0.06421
402,0.06442
403,0.06443
404,0.0645
405,0.06484
406,0.06482
407,0.06495
408,0.06517
409,0.06508
410,0.06513
411,0.06525
412,0.06536
413,0.06553
414,0.06552
415,0.06555
416,0.06581
417,0.06577
418,0.0658
419,0.06598
420,0.06614
421,0.06613
422,0.06612
423,0.06623
424,0.06642
425,0.06645
426,0.06638
427,0.0664
428,0.06649
429,0.06656
430,0.06655
431,0.06649
432,0.06638
433,0.06629
434,0.06625
435,0.06616
436,0.06617
437,0.06631
438,0.06644
439,0.06652
440,0.06663
441,0.06678
442,0.06691
443,0.06698
444,0.06703
445,0.06713
446,0.06713
447,0.06719
448,0.0673
449,0.06732
450,0.0674
451,0.06749
452,0.06753
453,0.06754
454,0.06762
455,0.06773
456,0.06774
457,0.06776
458,0.06779
459,0.06779
460,0.06782
461,0.06788
462,0.06789
463,0.06782
464,0.06786
465,0.06792
466,0.06797
467,0.06799
468,0.06798
469,0.06793
470,0.06788
471,0.06794
472,0.06798
473,0.06797
474,0.0679
475,0.06788
476,0.06795
477,0.06805
478,0.068
479,0.06801
480,0.06805
481,0.06806
482,0.06798
483,0.06792
484,0.06792
485,0.06792
486,0.06793
487,0.06796
488,0.06803
489,0.0681
490,0.06816
491,0.06827
492,0.06843
493,0.06857
494,0.06873
495,0.06893
496,0.06914
497,0.06938
498,0.06962
499,0.06987
500,0.07015
501,0.07047
502,0.07083
503,0.0712
504,0.07168
505,0.07219
506,0.0727
507,0.07333
508,0.07403
509,0.07478
510,0.07559
511,0.07654
512,0.07759
513,0.07872
514,0.07995
515,0.08124
516,0.08265
517,0.08419
518,0.08583
519,0.08756
520,0.08933
521,0.09114
522,0.093
523,0.09488
524,0.09672
525,0.0985
526,0.10024
527,0.10192
528,0.10348
529,0.10497
530,0.10637
531,0.10766
532,0.10881
533,0.10983
534,0.11077
535,0.11161
536,0.11237
537,0.11301
538,0.11354
539,0.11398
540,0.11431
541,0.11456
542,0.11478
543,0.11504
544,0.11536
545,0.11574
546,0.11618
547,0.11666
548,0.11711
549,0.11748
550,0.11776
551,0.11797
552,0.11809
553,0.11809
554,0.11797
555,0.11772
556,0.11734
557,0.11683
558,0.11621
559,0.11546
560,0.11459
561,0.11367
562,0.11273
563,0.11173
564,0.11066
565,0.10959
566,0.10844
567,0.1072
568,0.10594
569,0.10464
570,0.10335
571,0.10209
572,0.10087
573,0.0997
574,0.09861
575,0.09765
576,0.09682
577,0.09606
578,0.09531
579,0.0945
580,0.0938
581,0.0932
582,0.09262
583,0.09203
584,0.09148
585,0.09096
586,0.09043
587,0.0899
588,0.0894
589,0.08896
590,0.08854
591,0.0882
592,0.08794
593,0.08774
594,0.08761
595,0.08751
596,0.08739
597,0.08727
598,0.08714
599,0.087
600,0.08682
601,0.08662
602,0.08641
603,0.08618
604,0.08587
605,0.0855
606,0.08508
607,0.08461
608,0.08406
609,0.08343
610,0.08268
611,0.08187
612,0.08135
613,0.08099
614,0.08067
615,0.08028
616,0.07991
617,0.07955
618,0.07916
619,0.07885
620,0.07855
621,0.07827
622,0.07806
623,0.07787
624,0.07769
625,0.07754
626,0.07747
627,0.07741
628,0.07734
629,0.07728
630,0.07722
631,0.07717
632,0.07712
633,0.07706
634,0.07698
635,0.07684
636,0.07664
637,0.07638
638,0.07607
639,0.07571
640,0.07534
641,0.07497
642,0.07459
643,0.07419
644,0.07379
645,0.0734
646,0.07302
647,0.07268
648,0.07239
649,0.07211
650,0.07184
651,0.07165
652,0.07151
653,0.07138
654,0.07121
655,0.07103
656,0.07085
657,0.07066
658,0.07045
659,0.07024
660,0.07002
661,0.0698
662,0.06958
663,0.0694
664,0.06924
665,0.06912
666,0.06902
667,0.06895
668,0.06891
669,0.06892
670,0.06897
671,0.06905
672,0.06914
673,0.06928
674,0.06943
675,0.0696
676,0.06979
677,0.07003
678,0.07029
679,0.07058
680,0.07089
681,0.07124
682,0.07162
683,0.07203
684,0.07249
685,0.07301
686,0.07358
687,0.07421
688,0.07496
689,0.0759
690,0.07713
691,0.07871
692,0.08068
693,0.0831
694,0.08606
695,0.08959
696,0.09372
697,0.09844
698,0.10371
699,0.10953
700,0.11583
701,0.12254
702,0.12958
703,0.13688
704,0.14438
705,0.15203
706,0.15976
707,0.16754
708,0.17537
709,0.18327
710,0.19122
711,0.19919
712,0.20717
713,0.21514
714,0.22314
715,0.23113
716,0.23908
717,0.24702
718,0.25489
719,0.26267
720,0.27035
721,0.27794
722,0.28541
723,0.29272
724,0.29984
725,0.30678
726,0.31352
727,0.32003
728,0.32628
729,0.33231
730,0.3381
731,0.34358
732,0.34883
733,0.35385
734,0.35861
735,0.36307
736,0.36731
737,0.37132
738,0.37508
739,0.37863
740,0.38194
741,0.38502
742,0.38787
743,0.39054
744,0.393
745,0.39525
746,0.39732
747,0.39924
748,0.40099
749,0.40258
750,0.40404
751,0.40538
752,0.4066
753,0.40769
754,0.40866
755,0.40955
756,0.41037
757,0.4111
758,0.41173
759,0.41232
760,0.41288
761,0.41336
762,0.4138
763,0.41419
764,0.41451
765,0.41479
766,0.41505
767,0.4153
768,0.41552
769,0.4157
770,0.41588
771,0.41605
772,0.41619
773,0.41633
774,0.41645
775,0.41654
776,0.41664
777,0.41672
778,0.4168
779,0.41689
780,0.41697
781,0.41706
782,0.41714
783,0.4172
784,0.41725
785,0.41731
786,0.41737
787,0.4174
788,0.41744
789,0.4175
790,0.41756
791,0.4176
792,0.41763
793,0.41765
794,0.41768
795,0.41771
796,0.41773
797,0.41771
798,0.41772
799,0.41772
800,0.41772
801,0.41774
802,0.41774
803,0.41775
804,0.41776
805,0.41777
806,0.41775
807,0.41773
808,0.41771
809,0.41766
810,0.41764
811,0.41762
812,0.41758
813,0.41756
814,0.41753
815,0.41748
816,0.41745
817,0.41742
818,0.41742
819,0.41743
820,0.41741
821,0.41735
822,0.41731
823,0.41728
824,0.41722
825,0.41719
826,0.41717
827,0.41714
828,0.41711
829,0.41705
830,0.41701
