wl,value
360,0.03769
361,0.03713
362,0.03549
363,0.03544
364,0.03598
365,0.03581
366,0.03615
367,0.03661
368,0.03642
369,0.03495
370,0.03561
371,0.03625
372,0.03579
373,0.03652
374,0.03661
375,0.0362
376,0.03597
377,0.03592
378,0.03595
379,0.03596
380,0.03586
381,0.03594
382,0.03573
383,0.03523
384,0.03588
385,0.03576
386,0.0354
387,0.03582
388,0.03533
389,0.03488
390,0.03507
391,0.03593
392,0.03499
393,0.03394
394,0.03442
395,0.03584
396,0.03621
397,0.0355
398,0.03475
399,0.03491
400,0.03521
401,0.03526
402,0.03538
403,0.03518
404,0.03517
405,0.03568
406,0.0358
407,0.03588
408,0.036
409,0.03606
410,0.03604
411,0.03611
412,0.03629
413,0.03635
414,0.03638
415,0.03658
416,0.03703
417,0.03699
418,0.03689
419,0.03697
420,0.03713
421,0.03725
422,0.03743
423,0.0377
424,0.03768
425,0.03789
426,0.03821
427,0.03824
428,0.03824
429,0.03836
430,0.0386
431,0.03873
432,0.03881
433,0.03891
434,0.0391
435,0.03925
436,0.03936
437,0.03944
438,0.0395
439,0.03938
440,0.03933
441,0.03944
442,0.0393
443,0.03932
444,0.03951
445,0.03973
446,0.03967
447,0.03975
448,0.04002
449,0.04004
450,0.03997
451,0.04001
452,0.04022
453,0.04032
454,0.04036
455,0.04039
456,0.04044
457,0.04046
458,0.04049
459,0.04057
460,0.04067
461,0.04061
462,0.04052
463,0.0406
464,0.04084
465,0.04091
466,0.04078
467,0.04082
468,0.0408
469,0.04075
470,0.04078
471,0.04095
472,0.04094
473,0.04086
474,0.04098
475,0.04094
476,0.04095
477,0.04103
478,0.04095
479,0.0409
480,0.04093
481,0.04101
482,0.04097
483,0.04096
484,0.04104
485,0.04114
486,0.04116
487,0.04121
488,0.04137
489,0.04139
490,0.04151
491,0.0417
492,0.04185
493,0.04208
494,0.04228
495,0.04242
496,0.0426
497,0.04285
498,0.04307
499,0.04319
500,0.04351
501,0.04386
502,0.0442
503,0.04462
504,0.04513
505,0.04561
506,0.04605
507,0.0467
508,0.04738
509,0.04807
510,0.04887
511,0.04979
512,0.05084
513,0.05195
514,0.05296
515,0.05416
516,0.05557
517,0.0571
518,0.05862
519,0.0603
520,0.06212
521,0.06392
522,0.06575
523,0.0676
524,0.06946
525,0.07134
526,0.07316
527,0.07492
528,0.07659
529,0.07823
530,0.07975
531,0.08113
532,0.08242
533,0.08371
534,0.08488
535,0.08584
536,0.08677
537,0.08763
538,0.08842
539,0.08916
540,0.08987
541,0.09058
542,0.09127
543,0.09194
544,0.09252
545,0.09302
546,0.09349
547,0.09379
548,0.09405
549,0.09436
550,0.09471
551,0.09492
552,0.09501
553,0.09501
554,0.0949
555,0.09471
556,0.0944
557,0.09394
558,0.0934
559,0.09276
560,0.09203
561,0.09126
562,0.09045
563,0.08959
564,0.08864
565,0.08758
566,0.08646
567,0.0853
568,0.08411
569,0.08291
570,0.08168
571,0.08041
572,0.07914
573,0.07794
574,0.07684
575,0.07589
576,0.07502
577,0.07425
578,0.07355
579,0.07277
580,0.072
581,0.0713
582,0.07066
583,0.07005
584,0.06942
585,0.06879
586,0.06821
587,0.0677
588,0.06725
589,0.06687
590,0.06663
591,0.06639
592,0.06614
593,0.06594
594,0.06567
595,0.0654
596,0.06519
597,0.06497
598,0.06478
599,0.06456
600,0.06428
601,0.06402
602,0.06374
603,0.06344
604,0.06309
605,0.06267
606,0.06221
607,0.06175
608,0.06124
609,0.06073
610,0.06027
611,0.05987
612,0.05928
613,0.05863
614,0.05805
615,0.05747
616,0.05694
617,0.05646
618,0.05603
619,0.05568
620,0.05536
621,0.05506
622,0.0548
623,0.05458
624,0.05438
625,0.0542
626,0.05408
627,0.05402
628,0.05396
629,0.05387
630,0.05386
631,0.05384
632,0.05376
633,0.05367
634,0.05356
635,0.05341
636,0.0532
637,0.05293
638,0.0526
639,0.05225
640,0.05187
641,0.05147
642,0.05102
643,0.05053
644,0.05004
645,0.04954
646,0.04906
647,0.04864
648,0.04826
649,0.0479
650,0.04757
651,0.04728
652,0.04697
653,0.0467
654,0.04647
655,0.04614
656,0.04583
657,0.04553
658,0.04518
659,0.04482
660,0.04445
661,0.04407
662,0.04374
663,0.04342
664,0.0431
665,0.0428
666,0.04258
667,0.04241
668,0.04227
669,0.04214
670,0.04213
671,0.04215
672,0.04217
673,0.04216
674,0.04222
675,0.04232
676,0.04246
677,0.04265
678,0.04283
679,0.04303
680,0.04331
681,0.04363
682,0.04399
683,0.0444
684,0.04488
685,0.04548
686,0.04617
687,0.04697
688,0.04794
689,0.04916
690,0.05068
691,0.05253
692,0.05482
693,0.05762
694,0.06097
695,0.06488
696,0.06946
697,0.0747
698,0.08058
699,0.08705
700,0.09405
701,0.10154
702,0.10947
703,0.11773
704,0.12623
705,0.13487
706,0.14357
707,0.15232
708,0.16109
709,0.16982
710,0.1785
711,0.18711
712,0.19565
713,0.2041
714,0.21238
715,0.22053
716,0.22859
717,0.23647
718,0.24415
719,0.25165
720,0.259
721,0.26615
722,0.27307
723,0.27976
724,0.2862
725,0.29239
726,0.29833
727,0.30399
728,0.3094
729,0.31458
730,0.3195
731,0.32416
732,0.3286
733,0.33279
734,0.33672
735,0.34039
736,0.34392
737,0.34724
738,0.35031
739,0.35326
740,0.35599
741,0.35851
742,0.36089
743,0.36312
744,0.36518
745,0.36706
746,0.36877
747,0.37038
748,0.37186
749,0.3732
750,0.37446
751,0.37557
752,0.37656
753,0.37748
754,0.37835
755,0.37915
756,0.37988
757,0.38057
758,0.38113
759,0.38164
760,0.38215
761,0.38261
762,0.38301
763,0.38337
764,0.38369
765,0.384
766,0.38427
767,0.3845
768,0.38472
769,0.3849
770,0.38506
771,0.38523
772,0.38539
773,0.38555
774,0.38568
775,0.3858
776,0.38599
777,0.38612
778,0.38621
779,0.38634
780,0.38646
781,0.38658
782,0.38669
783,0.38676
784,0.38687
785,0.38696
786,0.38701
787,0.38717
788,0.38724
789,0.38729
790,0.38742
791,0.38754
792,0.38762
793,0.38769
794,0.38781
795,0.38792
796,0.38799
797,0.38804
798,0.38812
799,0.38822
800,0.38831
801,0.38838
802,0.38847
803,0.38853
804,0.38856
805,0.3886
806,0.38869
807,0.38876
808,0.38879
809,0.38882
810,0.38891
811,0.389
812,0.38903
813,0.38906
814,0.38911
815,0.38918
816,0.38924
817,0.38931
818,0.38936
819,0.38939
820,0.38944
821,0.38956
822,0.3897
823,0.3898
824,0.38984
825,0.38984
826,0.38991
827,0.39004
828,0.39004
829,0.39013
830,0.3902
