wl,value
360,0.04647
361,0.04672
362,0.0462
363,0.04622
364,0.0465
365,0.04639
366,0.04545
367,0.0456
368,0.04654
369,0.04654
370,0.047
371,0.04694
372,0.04618
373,0.04649
374,0.04775
375,0.0482
376,0.04664
377,0.04706
378,0.04702
379,0.04664
380,0.04814
381,0.04769
382,0.0474
383,0.04845
384,0.04768
385,0.04762
386,0.04815
387,0.04829
388,0.04807
389,0.04828
390,0.04889
391,0.0489
392,0.04887
393,0.04897
394,0.04918
395,0.04909
396,0.04912
397,0.04941
398,0.04988
399,0.0501
400,0.05045
401,0.05101
402,0.05139
403,0.05117
404,0.05103
405,0.05156
406,0.05223
407,0.05244
408,0.05249
409,0.05309
410,0.05328
411,0.05349
412,0.05395
413,0.05414
414,0.05451
415,0.05506
416,0.05568
417,0.0562
418,0.05672
419,0.05717
420,0.05732
421,0.05769
422,0.05817
423,0.05863
424,0.05923
425,0.05973
426,0.06007
427,0.06034
428,0.0608
429,0.06129
430,0.06173
431,0.06228
432,0.06262
433,0.06295
434,0.06348
435,0.06386
436,0.0642
437,0.0645
438,0.06469
439,0.06474
440,0.06496
441,0.06542
442,0.06551
443,0.0656
444,0.0658
445,0.06613
446,0.0665
447,0.06669
448,0.06674
449,0.06698
450,0.0672
451,0.06738
452,0.06752
453,0.06771
454,0.06786
455,0.06797
456,0.06808
457,0.06828
458,0.06847
459,0.06858
460,0.06863
461,0.06872
462,0.06881
463,0.06884
464,0.06885
465,0.06898
466,0.06916
467,0.06919
468,0.06926
469,0.06936
470,0.06944
471,0.06944
472,0.0694
473,0.06943
474,0.06963
475,0.06959
476,0.06962
477,0.06981
478,0.06975
479,0.06988
480,0.07007
481,0.07006
482,0.07015
483,0.07027
484,0.07036
485,0.07043
486,0.07054
487,0.07068
488,0.07085
489,0.07093
490,0.07106
491,0.07125
492,0.0714
493,0.07151
494,0.07173
495,0.07207
496,0.0723
497,0.07254
498,0.07283
499,0.07317
500,0.07349
501,0.07391
502,0.07446
503,0.07502
504,0.07562
505,0.07629
506,0.07704
507,0.07793
508,0.07889
509,0.07995
510,0.08117
511,0.08244
512,0.0838
513,0.08528
514,0.08698
515,0.08872
516,0.0906
517,0.09269
518,0.09491
519,0.09709
520,0.09926
521,0.10157
522,0.10388
523,0.10619
524,0.1085
525,0.11078
526,0.11289
527,0.11485
528,0.11671
529,0.1185
530,0.12014
531,0.12163
532,0.12301
533,0.12432
534,0.12548
535,0.12643
536,0.12727
537,0.1281
538,0.12891
539,0.1296
540,0.13027
541,0.13095
542,0.13165
543,0.13225
544,0.13288
545,0.13353
546,0.1341
547,0.1343
548,0.13451
549,0.13488
550,0.13519
551,0.13536
552,0.13545
553,0.13548
554,0.13527
555,0.13495
556,0.13454
557,0.13402
558,0.13336
559,0.13259
560,0.13174
561,0.13083
562,0.12984
563,0.12878
564,0.12763
565,0.12639
566,0.12511
567,0.12382
568,0.12249
569,0.12113
570,0.1197
571,0.11822
572,0.11683
573,0.11546
574,0.11413
575,0.1129
576,0.11176
577,0.11065
578,0.10957
579,0.10859
580,0.10767
581,0.1068
582,0.10597
583,0.10527
584,0.10465
585,0.10407
586,0.10349
587,0.10301
588,0.10259
589,0.10219
590,0.10186
591,0.10154
592,0.1012
593,0.10087
594,0.10058
595,0.10033
596,0.10012
597,0.09993
598,0.09972
599,0.09947
600,0.09915
601,0.09882
602,0.09841
603,0.09796
604,0.09752
605,0.09701
606,0.09645
607,0.09586
608,0.09522
609,0.09457
610,0.09397
611,0.09347
612,0.09281
613,0.09205
614,0.09126
615,0.09055
616,0.09
617,0.0895
618,0.08898
619,0.08858
620,0.08822
621,0.08789
622,0.08766
623,0.08743
624,0.08723
625,0.0871
626,0.08698
627,0.08691
628,0.08687
629,0.0868
630,0.08683
631,0.08688
632,0.08688
633,0.08683
634,0.08673
635,0.08662
636,0.08647
637,0.08624
638,0.08594
639,0.08557
640,0.08517
641,0.08474
642,0.08424
643,0.08369
644,0.08317
645,0.08265
646,0.08213
647,0.08164
648,0.08117
649,0.08076
650,0.08041
651,0.08008
652,0.07972
653,0.07935
654,0.07902
655,0.07879
656,0.07845
657,0.07806
658,0.07775
659,0.07742
660,0.07707
661,0.07672
662,0.07641
663,0.07617
664,0.07599
665,0.07587
