wl,value
360,0.08674
361,0.08602
362,0.08568
363,0.08538
364,0.08537
365,0.08579
366,0.08608
367,0.08605
368,0.086
369,0.08643
370,0.08566
371,0.085
372,0.08509
373,0.08463
374,0.08441
375,0.08445
376,0.08451
377,0.08419
378,0.08388
379,0.08399
380,0.08482
381,0.08512
382,0.08491
383,0.08448
384,0.08413
385,0.08436
386,0.08461
387,0.08418
388,0.08423
389,0.08421
390,0.084
391,0.08401
392,0.08425
393,0.08435
394,0.08412
395,0.084
396,0.08388
397,0.08388
398,0.08411
399,0.08411
400,0.08382
401,0.0835
402,0.08376
403,0.08407
404,0.08423
405,0.0842
406,0.08427
407,0.08448
408,0.08474
409,0.08481
410,0.08485
411,0.08507
412,0.08551
413,0.08585
414,0.086
415,0.08602
416,0.08606
417,0.08627
418,0.08637
419,0.08636
420,0.08652
421,0.08659
422,0.08666
423,0.08682
424,0.08703
425,0.08715
426,0.08718
427,0.0872
428,0.08733
429,0.08729
430,0.08704
431,0.08701
432,0.08688
433,0.0867
434,0.08658
435,0.08659
436,0.08658
437,0.08664
438,0.08695
439,0.08718
440,0.08737
441,0.08759
442,0.08785
443,0.088
444,0.08809
445,0.08824
446,0.08828
447,0.08833
448,0.08843
449,0.08852
450,0.0886
451,0.08866
452,0.08869
453,0.08879
454,0.08885
455,0.08889
456,0.08896
457,0.08906
458,0.08913
459,0.08915
460,0.08916
461,0.08918
462,0.08922
463,0.0893
464,0.08927
465,0.08926
466,0.08929
467,0.08932
468,0.08936
469,0.08941
470,0.08946
471,0.08938
472,0.08942
473,0.08954
474,0.08957
475,0.08957
476,0.08957
477,0.08957
478,0.08962
479,0.08963
480,0.08962
481,0.08961
482,0.08951
483,0.08942
484,0.08937
485,0.08932
486,0.08933
487,0.08935
488,0.08935
489,0.08939
490,0.08945
491,0.08955
492,0.0897
493,0.08983
494,0.08998
495,0.09013
496,0.09024
497,0.09038
498,0.09055
499,0.09073
500,0.09095
501,0.09115
502,0.09132
503,0.09151
504,0.09168
505,0.09189
506,0.09213
507,0.09239
508,0.09264
509,0.0929
510,0.0932
511,0.0935
512,0.09385
513,0.09425
514,0.0947
515,0.09515
516,0.09564
517,0.09618
518,0.09672
519,0.09729
520,0.09794
521,0.09863
522,0.09931
523,0.09999
524,0.10067
525,0.10135
526,0.102
527,0.10264
528,0.10329
529,0.10394
530,0.10449
531,0.10495
532,0.10542
533,0.10585
534,0.10624
535,0.10659
536,0.1069
537,0.10708
538,0.10715
539,0.10719
540,0.10701
541,0.10664
542,0.10622
543,0.10595
544,0.10595
545,0.10623
546,0.10672
547,0.10734
548,0.1079
549,0.10828
550,0.1085
551,0.10868
552,0.10882
553,0.10892
554,0.10901
555,0.10906
556,0.10902
557,0.10888
558,0.10867
559,0.10843
560,0.10814
561,0.10778
562,0.10739
563,0.10699
564,0.10652
565,0.10606
566,0.10557
567,0.10506
568,0.10454
569,0.104
570,0.10347
571,0.10298
572,0.10253
573,0.10215
574,0.10186
575,0.10165
576,0.10147
577,0.10128
578,0.10106
579,0.10082
580,0.10057
581,0.10031
582,0.10005
583,0.09972
584,0.09943
585,0.09922
586,0.09899
587,0.09874
588,0.09853
589,0.09841
590,0.09843
591,0.09852
592,0.0986
593,0.09859
594,0.09858
595,0.09864
596,0.09873
597,0.09874
598,0.0987
599,0.09865
600,0.09864
601,0.09862
602,0.09858
603,0.09854
604,0.09847
605,0.09833
606,0.09816
607,0.09797
608,0.09773
609,0.09729
610,0.09657
611,0.09566
612,0.09548
613,0.09574
614,0.09605
615,0.09609
616,0.09609
617,0.09605
618,0.09592
619,0.09578
620,0.09563
621,0.09553
622,0.0955
623,0.09549
624,0.09547
625,0.09542
