wl,value
360,0.06157
361,0.06008
362,0.05808
363,0.05859
364,0.06017
365,0.06077
366,0.0609
367,0.061
368,0.06087
369,0.06004
370,0.06056
371,0.06071
372,0.05974
373,0.05949
374,0.06016
375,0.06116
376,0.06172
377,0.06187
378,0.06196
379,0.06178
380,0.06084
381,0.06156
382,0.0625
383,0.06249
384,0.06225
385,0.06313
386,0.06387
387,0.06286
388,0.06261
389,0.06306
390,0.0638
391,0.06421
392,0.0644
393,0.06437
394,0.06429
395,0.06474
396,0.06544
397,0.06622
398,0.06697
399,0.06753
400,0.0679
401,0.06823
402,0.06888
403,0.06934
404,0.06975
405,0.07034
406,0.0713
407,0.07211
408,0.07262
409,0.07299
410,0.07372
411,0.07462
412,0.07546
413,0.07607
414,0.07691
415,0.07762
416,0.07785
417,0.07863
418,0.07939
419,0.07993
420,0.08043
421,0.08118
422,0.08185
423,0.08228
424,0.08305
425,0.08364
426,0.08406
427,0.08453
428,0.08496
429,0.0854
430,0.08584
431,0.08621
432,0.08656
433,0.08679
434,0.08685
435,0.08717
436,0.08746
437,0.08771
438,0.08809
439,0.08826
440,0.08847
441,0.08885
442,0.08912
443,0.08927
444,0.08938
445,0.08953
446,0.08968
447,0.08981
448,0.08993
449,0.09016
450,0.0902
451,0.09024
452,0.09042
453,0.09058
454,0.09064
455,0.09069
456,0.09092
457,0.09102
458,0.09112
459,0.09127
460,0.09126
461,0.09125
462,0.09128
463,0.09132
464,0.09144
465,0.09152
466,0.09151
467,0.0915
468,0.09157
469,0.09162
470,0.09157
471,0.09158
472,0.09154
473,0.09149
474,0.09153
475,0.09151
476,0.09149
477,0.09149
478,0.09147
479,0.09156
480,0.09163
481,0.09158
482,0.09175
483,0.09176
484,0.09165
485,0.09184
486,0.09196
487,0.09194
488,0.09189
489,0.09213
490,0.09234
491,0.09249
492,0.09267
493,0.09276
494,0.09288
495,0.0931
496,0.0934
497,0.09363
498,0.09388
499,0.09426
500,0.09467
501,0.09506
502,0.09545
503,0.09596
504,0.09656
505,0.09726
506,0.09806
507,0.09887
508,0.09976
509,0.10076
510,0.10188
511,0.10313
512,0.10456
513,0.10615
514,0.10783
515,0.10967
516,0.11168
517,0.11382
518,0.11602
519,0.1184
520,0.1209
521,0.12337
522,0.12598
523,0.12864
524,0.13125
525,0.13383
526,0.13635
527,0.13878
528,0.14116
529,0.14339
530,0.14549
531,0.14745
532,0.1493
533,0.15106
534,0.15268
535,0.15412
536,0.15553
537,0.15685
538,0.15802
539,0.15902
540,0.16005
541,0.16105
542,0.16196
543,0.16281
544,0.16366
545,0.16448
546,0.16523
547,0.16597
548,0.16659
549,0.16709
550,0.16763
551,0.16803
552,0.16825
553,0.16831
554,0.16822
555,0.16796
556,0.16754
557,0.16691
558,0.16612
559,0.16523
560,0.16426
561,0.16314
562,0.16191
563,0.16058
564,0.15919
565,0.1578
566,0.15644
567,0.15505
568,0.1535
569,0.15181
570,0.15008
571,0.14843
572,0.14687
573,0.14528
574,0.14365
575,0.14205
576,0.14048
577,0.13899
578,0.13764
579,0.13643
580,0.13532
581,0.13429
582,0.13336
583,0.13257
584,0.13182
585,0.13108
586,0.13045
587,0.12987
588,0.12931
589,0.12874
590,0.12813
591,0.12758
592,0.12717
593,0.12693
594,0.12667
595,0.12643
596,0.12624
597,0.12601
598,0.12572
599,0.12542
600,0.12513
601,0.12476
602,0.12435
603,0.12389
604,0.12334
605,0.12266
606,0.12195
607,0.12126
608,0.12044
609,0.11959
610,0.11873
611,0.11784
612,0.11695
613,0.11609
614,0.1153
615,0.11452
616,0.11372
617,0.11299
618,0.1124
619,0.11175
620,0.11118
621,0.11073
622,0.11032
623,0.10995
624,0.10964
625,0.10941
626,0.10921
627,0.10903
628,0.10889
629,0.10882
630,0.1087
631,0.10859
632,0.1085
633,0.10841
634,0.10823
635,0.108
636,0.10773
637,0.10737
638,0.10692
639,0.10639
640,0.10584
641,0.10523
642,0.10456
643,0.10384
644,0.10312
645,0.10245
646,0.10177
647,0.10107
648,0.10043
649,0.0999
650,0.09943
651,0.09897
652,0.09856
653,0.0982
654,0.09784
655,0.0974
656,0.09696
657,0.09651
658,0.09599
659,0.09546
660,0.09497
661,0.09451
662,0.09403
663,0.09358
664,0.09319
665,0.09287
666,0.09259
667,0.09237
668,0.09221
669,0.09214
670,0.09205
671,0.09201
672,0.09203
673,0.09206
674,0.09213
675,0.09222
676,0.09232
677,0.0925
678,0.09267
679,0.09283
680,0.09307
681,0.09336
682,0.09371
683,0.09413
684,0.09458
685,0.09516
686,0.09589
687,0.09681
688,0.09799
689,0.09952
690,0.10147
691,0.10392
692,0.10702
693,0.11078
694,0.11523
695,0.12046
696,0.1264
697,0.13303
698,0.14036
699,0.14825
700,0.15669
701,0.16555
702,0.17462
703,0.18389
704,0.19329
705,0.2027
706,0.21209
707,0.22148
708,0.2308
709,0.24004
710,0.24927
711,0.25844
712,0.26754
713,0.27655
714,0.28548
715,0.2943
716,0.303
717,0.31163
718,0.32011
719,0.32843
720,0.33663
721,0.34463
722,0.3524
723,0.35994
724,0.36733
725,0.37437
726,0.38116
727,0.38777
728,0.39399
729,0.39995
730,0.40571
731,0.41125
732,0.4164
733,0.42123
734,0.42581
735,0.43015
736,0.43422
737,0.43806
738,0.44169
739,0.44512
740,0.44829
741,0.45123
742,0.45397
743,0.45648
744,0.45881
745,0.46101
746,0.46312
747,0.465
748,0.46671
749,0.4683
750,0.46989
751,0.47117
752,0.47227
753,0.47337
754,0.47447
755,0.47545
756,0.47632
757,0.47717
758,0.4779
759,0.47855
760,0.47918
761,0.47972
762,0.48024
763,0.4807
764,0.48107
765,0.48158
766,0.48198
767,0.48226
768,0.48256
769,0.48289
770,0.48325
771,0.4836
772,0.4838
773,0.48395
774,0.48416
775,0.48449
776,0.48477
777,0.48497
778,0.48513
779,0.48535
780,0.48551
781,0.48568
782,0.48586
783,0.48601
784,0.4862
785,0.4864
786,0.48656
787,0.48673
788,0.48683
789,0.48691
790,0.48704
791,0.48717
792,0.4873
793,0.48744
794,0.48756
795,0.48766
796,0.48775
797,0.48781
798,0.48775
799,0.48788
800,0.48798
801,0.48789
802,0.48808
803,0.48814
804,0.48806
805,0.48803
806,0.48808
807,0.48812
808,0.48809
809,0.48803
810,0.48795
811,0.48789
812,0.48786
813,0.48784
814,0.48784
815,0.48786
816,0.48785
817,0.48774
818,0.48766
819,0.4876
820,0.48751
821,0.48739
822,0.48732
823,0.48729
824,0.48731
825,0.48728
826,0.4872
827,0.48711
828,0.48701
829,0.48693
830,0.48685
