wl,value
360,0.04625
361,0.04647
362,0.04627
363,0.04609
364,0.0461
365,0.04637
366,0.04682
367,0.04662
368,0.04598
369,0.04581
370,0.04598
371,0.04601
372,0.04579
373,0.04604
374,0.04592
375,0.04579
376,0.04616
377,0.04609
378,0.0459
379,0.04575
380,0.04562
381,0.04586
382,0.04608
383,0.04599
384,0.04566
385,0.04544
386,0.04542
387,0.04557
388,0.04577
389,0.04595
390,0.04603
391,0.04589
392,0.04569
393,0.04566
394,0.0459
395,0.04604
396,0.04594
397,0.04576
398,0.0458
399,0.04612
400,0.04641
401,0.04653
402,0.04666
403,0.0466
404,0.04646
405,0.04642
406,0.04674
407,0.04712
408,0.04733
409,0.04723
410,0.0472
411,0.0473
412,0.04751
413,0.04767
414,0.04784
415,0.04799
416,0.0481
417,0.04822
418,0.04832
419,0.04841
420,0.04857
421,0.04869
422,0.0488
423,0.04892
424,0.04901
425,0.04922
426,0.04944
427,0.04946
428,0.04953
429,0.04971
430,0.04994
431,0.04999
432,0.05007
433,0.05023
434,0.0504
435,0.05048
436,0.05053
437,0.05057
438,0.05058
439,0.05061
440,0.05061
441,0.05058
442,0.05066
443,0.05071
444,0.05072
445,0.0507
446,0.05079
447,0.05085
448,0.05084
449,0.05095
450,0.05104
451,0.05109
452,0.05111
453,0.05117
454,0.05125
455,0.05129
456,0.05123
457,0.05123
458,0.05126
459,0.05128
460,0.05128
461,0.05131
462,0.05135
463,0.05135
464,0.05134
465,0.05136
466,0.05141
467,0.0514
468,0.05146
469,0.05149
470,0.05142
471,0.05142
472,0.05145
473,0.05149
474,0.05153
475,0.0515
476,0.05145
477,0.05143
478,0.05146
479,0.05145
480,0.05145
481,0.05152
482,0.0515
483,0.05151
484,0.05158
485,0.05159
486,0.05163
487,0.05171
488,0.0518
489,0.05177
490,0.05177
491,0.05181
492,0.05189
493,0.05192
494,0.05198
495,0.05208
496,0.05215
497,0.0522
498,0.05228
499,0.05242
500,0.05254
501,0.05267
502,0.05281
503,0.05299
504,0.05322
505,0.05346
506,0.05371
507,0.054
508,0.05434
