wl,value
360,0.05559
361,0.05605
362,0.0563
363,0.0564
364,0.05617
365,0.05567
366,0.0558
367,0.05597
368,0.05587
369,0.05544
370,0.05543
371,0.05571
372,0.05602
373,0.05605
374,0.05526
375,0.05466
376,0.05533
377,0.05601
378,0.05613
379,0.05585
380,0.05592
381,0.05572
382,0.05552
383,0.05552
384,0.05542
385,0.05578
386,0.05617
387,0.05588
388,0.05523
389,0.05517
390,0.05573
391,0.05596
392,0.05571
393,0.05549
394,0.05559
395,0.05533
396,0.05539
397,0.05579
398,0.05615
399,0.05597
400,0.05583
401,0.05591
402,0.05573
403,0.05594
404,0.0562
405,0.0562
406,0.05643
407,0.05655
408,0.05659
409,0.05685
410,0.05703
411,0.05709
412,0.05708
413,0.05724
414,0.0574
415,0.05754
416,0.05769
417,0.05794
418,0.05812
419,0.05819
420,0.05824
421,0.05839
422,0.05861
423,0.05887
424,0.05898
425,0.05914
426,0.05933
427,0.05939
428,0.0595
429,0.05966
430,0.05979
431,0.05975
432,0.05978
433,0.05988
434,0.06002
435,0.06002
436,0.06008
437,0.06022
438,0.06033
439,0.06064
440,0.06095
441,0.06112
442,0.06135
443,0.06145
444,0.06148
445,0.06156
446,0.06175
447,0.06195
448,0.06209
449,0.0622
450,0.06236
451,0.06251
452,0.06258
453,0.06281
454,0.06295
455,0.06297
456,0.06303
457,0.06312
458,0.06324
459,0.06335
460,0.0634
461,0.06345
462,0.06351
463,0.06353
464,0.06355
465,0.06361
466,0.06371
467,0.0638
468,0.06383
469,0.06387
470,0.06395
471,0.06399
472,0.064
473,0.06402
474,0.06407
475,0.0641
476,0.06417
477,0.06428
478,0.06435
479,0.06434
480,0.06433
481,0.0644
482,0.0645
483,0.06451
484,0.06445
485,0.06443
486,0.06449
487,0.06455
488,0.06458
489,0.06478
490,0.06493
491,0.06504
492,0.06519
493,0.06535
494,0.06554
495,0.06575
496,0.06592
497,0.06618
498,0.06643
499,0.06659
500,0.06683
501,0.06717
502,0.06753
503,0.06783
504,0.06813
505,0.06849
506,0.06892
507,0.06934
508,0.06979
509,0.07032
510,0.07092
511,0.0715
512,0.07215
513,0.07288
514,0.07368
515,0.07453
516,0.07543
517,0.07639
518,0.07737
519,0.07844
520,0.07961
521,0.08081
522,0.08203
523,0.08324
524,0.08441
525,0.08561
526,0.08676
527,0.08787
528,0.08898
529,0.09
530,0.09097
531,0.0919
532,0.09268
533,0.09347
