wl,value
360,0.06027
361,0.05999
362,0.06094
363,0.06109
364,0.06133
365,0.06243
366,0.06188
367,0.06107
368,0.06084
369,0.06141
370,0.06134
371,0.06057
372,0.05983
373,0.06104
374,0.06121
375,0.06035
376,0.0597
377,0.06131
378,0.06246
379,0.06181
380,0.05965
381,0.05997
382,0.06109
383,0.06142
384,0.0619
385,0.06148
386,0.06096
387,0.06138
388,0.06118
389,0.06131
390,0.06177
391,0.06147
392,0.06095
393,0.06065
394,0.06085
395,0.06168
396,0.06142
397,0.06084
398,0.06151
399,0.06157
400,0.06183
401,0.0623
402,0.06167
403,0.06142
404,0.0617
405,0.06214
406,0.06186
407,0.06187
408,0.06209
409,0.06185
410,0.06207
411,0.0622
412,0.06206
413,0.06242
414,0.06262
415,0.0629
416,0.0635
417,0.06329
418,0.06295
419,0.06298
420,0.06358
421,0.06359
422,0.06347
423,0.06373
424,0.06407
425,0.06434
426,0.0645
427,0.0646
428,0.06489
429,0.06514
430,0.06528
431,0.06545
432,0.06549
433,0.06549
434,0.06557
435,0.06574
436,0.06601
437,0.06634
438,0.06666
439,0.06662
440,0.06673
441,0.06721
442,0.06735
443,0.06744
444,0.06754
445,0.06765
446,0.06789
447,0.06825
448,0.06861
449,0.06871
450,0.06875
451,0.06882
452,0.06897
453,0.06924
454,0.06939
455,0.06948
456,0.06975
457,0.06972
458,0.06966
459,0.06976
460,0.06991
461,0.07006
462,0.07013
463,0.07007
464,0.07009
465,0.07023
466,0.07034
467,0.07015
468,0.07015
469,0.07022
470,0.07022
471,0.07042
472,0.0704
473,0.0703
474,0.07043
475,0.07032
476,0.07029
477,0.07048
478,0.07056
479,0.07042
480,0.07031
481,0.07047
482,0.07057
483,0.07061
484,0.07064
485,0.07079
486,0.07083
487,0.07096
488,0.07127
489,0.0713
490,0.07143
491,0.07167
492,0.0719
493,0.07212
494,0.07241
495,0.07276
496,0.07304
497,0.07342
498,0.07381
499,0.07413
500,0.07455
501,0.07504
502,0.07559
503,0.07618
504,0.07678
505,0.07744
506,0.07816
507,0.07887
508,0.07974
509,0.08071
510,0.08164
511,0.08277
512,0.08399
513,0.08525
514,0.08648
515,0.08794
516,0.08956
517,0.0912
518,0.09286
519,0.09461
520,0.09647
521,0.09844
522,0.10028
523,0.10213
524,0.10405
525,0.10586
526,0.10763
527,0.10931
528,0.11086
529,0.11235
530,0.11377
531,0.11509
532,0.11619
533,0.11723
534,0.11821
535,0.11912
536,0.11984
537,0.12053
538,0.1212
539,0.1217
540,0.12214
541,0.12253
542,0.12291
543,0.12341
544,0.12386
545,0.12428
546,0.12477
547,0.12516
548,0.12553
549,0.12591
550,0.12617
551,0.12636
552,0.12648
553,0.12651
554,0.12642
555,0.12618
556,0.12579
557,0.12526
558,0.12455
559,0.12374
560,0.12289
561,0.12197
562,0.12098
563,0.11993
564,0.11883
565,0.11769
566,0.11651
567,0.11529
568,0.11409
569,0.11281
570,0.11146
571,0.11011
572,0.10893
573,0.10781
574,0.10674
575,0.10578
576,0.10487
577,0.10408
578,0.10341
579,0.10268
580,0.10201
581,0.10139
582,0.10076
583,0.10018
584,0.09957
585,0.09896
586,0.0985
587,0.0981
588,0.0977
589,0.09733
590,0.09706
591,0.09682
592,0.09662
593,0.09646
594,0.09633
595,0.09619
596,0.09603
597,0.09583
598,0.09564
599,0.09546
600,0.09531
601,0.09509
602,0.0948
603,0.09448
604,0.09416
605,0.09382
606,0.09341
607,0.09291
608,0.0924
609,0.0918
610,0.09116
611,0.09054
612,0.09003
613,0.08955
614,0.08906
615,0.08861
616,0.08819
617,0.08776
618,0.08732
619,0.08697
620,0.08669
621,0.08643
622,0.08616
623,0.08595
624,0.0858
625,0.08568
626,0.08556
627,0.08546
628,0.08538
629,0.08532
630,0.08525
631,0.08521
632,0.08519
633,0.0851
634,0.08501
635,0.08486
636,0.0846
637,0.08431
638,0.084
639,0.08364
640,0.0832
641,0.08272
642,0.08224
643,0.08179
644,0.08136
645,0.08089
646,0.08039
647,0.0799
648,0.07944
649,0.07903
650,0.07871
651,0.07842
652,0.07814
653,0.07786
654,0.07754
655,0.07726
656,0.07694
657,0.07658
658,0.07623
659,0.07586
660,0.07542
661,0.07492
662,0.07449
663,0.07411
664,0.07376
665,0.07345
666,0.07315
667,0.07289
668,0.0727
669,0.07261
670,0.07252
671,0.07246
672,0.07247
673,0.07254
674,0.07262
675,0.07274
676,0.07294
677,0.07314
678,0.0734
679,0.07372
680,0.07408
681,0.07451
682,0.07501
683,0.07561
684,0.07638
685,0.07718
686,0.07808
687,0.07918
688,0.08046
689,0.08196
690,0.08369
691,0.08568
692,0.08808
693,0.09092
694,0.09424
695,0.09809
696,0.10251
697,0.10752
698,0.1131
699,0.11922
700,0.1259
701,0.13306
702,0.14057
703,0.14851
704,0.15674
705,0.16515
706,0.17376
707,0.18242
708,0.19119
709,0.20021
710,0.20923
711,0.21831
712,0.22745
713,0.23663
714,0.2458
715,0.25497
716,0.26413
717,0.2733
718,0.28232
719,0.29129
720,0.30032
721,0.30914
722,0.31781
723,0.32635
724,0.33464
725,0.34274
726,0.35061
727,0.35821
728,0.3655
729,0.37254
730,0.37928
731,0.38563
732,0.39175
733,0.39767
734,0.40332
735,0.40859
736,0.41352
737,0.41829
738,0.4229
739,0.42693
740,0.43076
741,0.43445
742,0.43793
743,0.44103
744,0.44395
745,0.4467
746,0.44907
747,0.45134
748,0.4535
749,0.45547
750,0.45725
751,0.45883
752,0.46023
753,0.46152
754,0.46278
755,0.46396
756,0.46499
757,0.46589
758,0.46666
759,0.46734
760,0.46796
761,0.46847
762,0.469
763,0.46945
764,0.46979
765,0.4703
766,0.47067
767,0.47087
768,0.47104
769,0.47123
770,0.47149
771,0.47176
772,0.47176
773,0.47197
774,0.47223
775,0.47233
776,0.47237
777,0.47256
778,0.47272
779,0.47261
780,0.47277
781,0.47288
782,0.47287
783,0.47293
784,0.47312
785,0.47326
786,0.47324
787,0.47314
788,0.47327
789,0.47343
790,0.47337
791,0.47347
792,0.47351
793,0.4735
794,0.47356
795,0.47359
796,0.47358
797,0.47355
798,0.47349
799,0.47363
800,0.4737
801,0.47353
802,0.47349
803,0.47361
804,0.47371
805,0.47362
806,0.47342
807,0.47345
808,0.4736
809,0.47344
810,0.47332
811,0.47326
812,0.47327
813,0.47337
814,0.47332
815,0.47315
816,0.47296
817,0.473
818,0.47305
819,0.47303
820,0.47297
821,0.47298
822,0.47298
823,0.47292
824,0.47276
825,0.47268
826,0.47269
827,0.47271
828,0.47264
829,0.47251
830,0.47241
