wl,value
360,0.0606
361,0.06084
362,0.06106
363,0.06076
364,0.06027
365,0.05995
366,0.05942
367,0.05951
368,0.05988
369,0.05953
370,0.05985
371,0.05997
372,0.05954
373,0.0596
374,0.05955
375,0.05915
376,0.05853
377,0.05907
378,0.05943
379,0.0594
380,0.05973
381,0.05921
382,0.05863
383,0.05876
384,0.05973
385,0.05983
386,0.05902
387,0.0581
388,0.05853
389,0.05899
390,0.0589
391,0.05868
392,0.05887
393,0.05908
394,0.05897
395,0.05881
396,0.05858
397,0.05846
398,0.05869
399,0.05866
400,0.05874
401,0.05898
402,0.05892
403,0.05894
404,0.05894
405,0.05885
406,0.05917
407,0.05932
408,0.05932
409,0.05961
410,0.05957
411,0.05946
412,0.05947
413,0.05946
414,0.05973
415,0.06002
416,0.06004
417,0.06013
418,0.06022
419,0.06032
420,0.06062
421,0.06086
422,0.06106
423,0.06123
424,0.06131
425,0.06147
426,0.06172
427,0.06201
428,0.06219
429,0.06232
430,0.06245
431,0.06262
432,0.06271
433,0.06276
434,0.06285
435,0.06306
436,0.06322
437,0.06336
438,0.06364
439,0.06393
440,0.06423
441,0.06453
442,0.06469
443,0.06478
444,0.06491
445,0.06513
446,0.06519
447,0.06526
448,0.06542
449,0.06565
450,0.06574
451,0.06578
452,0.06589
453,0.06605
454,0.06616
455,0.06623
456,0.06635
457,0.06637
458,0.06642
459,0.06657
460,0.06664
461,0.06674
462,0.06684
463,0.06687
464,0.06689
465,0.06694
466,0.06702
467,0.06706
468,0.06716
469,0.06726
470,0.06729
471,0.06729
472,0.06731
473,0.06736
474,0.06743
475,0.06748
476,0.06754
477,0.06761
478,0.06766
479,0.06773
480,0.06777
481,0.06774
482,0.06776
483,0.06781
484,0.06785
485,0.06785
486,0.06786
487,0.06791
488,0.068
489,0.06806
490,0.06823
491,0.06841
492,0.06841
493,0.06857
494,0.06873
495,0.06882
496,0.06899
497,0.06919
498,0.06941
499,0.06968
500,0.06984
501,0.07004
502,0.07034
503,0.07074
504,0.07108
505,0.07146
506,0.07194
507,0.0724
508,0.07292
509,0.07349
510,0.07408
511,0.07478
512,0.07557
513,0.07644
514,0.07733
515,0.07833
516,0.07943
517,0.08061
518,0.08183
519,0.0831
520,0.08446
521,0.08593
522,0.08741
523,0.0889
524,0.09038
525,0.09185
526,0.09327
527,0.09464
528,0.09597
529,0.09726
530,0.09848
531,0.09963
532,0.10073
533,0.10174
534,0.10266
535,0.10352
536,0.10438
537,0.10519
538,0.10591
539,0.10649
540,0.10701
541,0.1075
542,0.10796
543,0.1084
544,0.10891
545,0.10948
546,0.11008
547,0.11069
548,0.11125
549,0.11172
550,0.11209
551,0.11238
552,0.11258
553,0.11267
554,0.11272
555,0.11268
556,0.11251
557,0.11222
558,0.11179
559,0.11128
560,0.11073
561,0.11008
562,0.10935
563,0.10856
564,0.10773
565,0.10689
566,0.10601
