wl,value
360,0.07239
361,0.07181
362,0.07133
363,0.07121
364,0.07131
365,0.07138
366,0.07147
367,0.07091
368,0.07036
369,0.07112
370,0.07108
371,0.07073
372,0.07059
373,0.07057
374,0.07039
375,0.07
376,0.06955
377,0.0699
378,0.06993
379,0.0698
380,0.07063
381,0.07082
382,0.07045
383,0.06997
384,0.0701
385,0.06958
386,0.06917
387,0.06997
388,0.07036
389,0.07028
390,0.06993
391,0.06964
392,0.06943
393,0.06945
394,0.06972
395,0.07009
396,0.07016
397,0.06998
398,0.06987
399,0.07016
400,0.07036
401,0.07032
402,0.07036
403,0.07049
404,0.07061
405,0.0707
406,0.07087
407,0.07104
408,0.07116
409,0.07121
410,0.07133
411,0.07149
412,0.07168
413,0.07186
414,0.07204
415,0.07223
416,0.07243
417,0.07264
418,0.07282
419,0.07299
420,0.07318
421,0.07323
422,0.07329
423,0.07344
424,0.0735
425,0.07363
426,0.07376
427,0.07375
428,0.07389
429,0.07399
430,0.07397
431,0.07397
432,0.07387
433,0.07381
434,0.07391
435,0.07389
436,0.07389
437,0.07395
438,0.07403
439,0.07421
440,0.07441
441,0.07456
442,0.07471
443,0.07475
444,0.07474
445,0.07481
446,0.07494
447,0.07507
448,0.07514
449,0.07515
450,0.07522
451,0.07533
452,0.07541
453,0.07548
454,0.0755
455,0.07554
456,0.0757
457,0.07577
458,0.07578
459,0.07575
460,0.07578
461,0.07579
462,0.07579
463,0.07581
464,0.07587
465,0.07587
466,0.07582
467,0.07584
468,0.07585
469,0.07585
470,0.07583
471,0.07584
472,0.07591
473,0.07596
474,0.0759
475,0.07592
476,0.076
477,0.07606
478,0.07603
479,0.076
480,0.076
481,0.07598
482,0.07597
483,0.07602
484,0.07607
485,0.07599
486,0.07598
487,0.07601
488,0.07604
489,0.0761
490,0.07617
491,0.07626
492,0.07639
493,0.07652
494,0.07666
495,0.07682
496,0.07704
497,0.07719
498,0.07734
499,0.07755
500,0.07779
501,0.07809
502,0.07844
503,0.07879
504,0.07912
505,0.0795
506,0.07996
507,0.08045
508,0.08101
509,0.08164
510,0.08232
511,0.0831
512,0.08395
513,0.08488
514,0.0859
515,0.08701
516,0.08822
517,0.08952
518,0.09091
519,0.09237
520,0.09391
521,0.09554
522,0.09719
523,0.09886
524,0.10054
525,0.10217
526,0.10378
527,0.10534
528,0.10681
529,0.1082
530,0.10949
531,0.11066
532,0.11174
533,0.11274
534,0.11364
535,0.11441
536,0.11507
537,0.11564
538,0.11611
539,0.1165
540,0.11679
