wl,value
360,0.08626
361,0.08596
362,0.0858
363,0.0856
364,0.0855
365,0.08564
366,0.08577
367,0.0854
368,0.08491
369,0.08518
370,0.08488
371,0.08488
372,0.08542
373,0.08515
374,0.08486
375,0.08451
376,0.08401
377,0.08421
378,0.08426
379,0.08398
380,0.08386
381,0.08427
382,0.08444
383,0.08405
384,0.0843
385,0.08406
386,0.08371
387,0.08399
388,0.08423
389,0.08405
390,0.08359
391,0.08343
392,0.08374
393,0.08413
394,0.0842
395,0.0839
396,0.08363
397,0.08352
398,0.08355
399,0.0835
400,0.08351
401,0.0836
402,0.08362
403,0.08348
404,0.08343
405,0.08361
406,0.08363
407,0.08371
408,0.08386
409,0.08396
410,0.0841
411,0.08421
412,0.08427
413,0.08434
414,0.08455
415,0.08472
416,0.08464
417,0.08485
418,0.08497
419,0.08497
420,0.08513
421,0.0853
422,0.08539
423,0.08535
424,0.08543
425,0.08554
426,0.08564
427,0.0857
428,0.08584
429,0.08584
430,0.08568
431,0.08559
432,0.08546
433,0.08527
434,0.08502
435,0.0849
436,0.08497
437,0.08517
438,0.08538
439,0.08565
440,0.08595
441,0.08621
442,0.08641
443,0.08658
444,0.08666
445,0.08656
446,0.08661
447,0.08677
448,0.08693
449,0.08693
450,0.087
451,0.08712
452,0.08723
453,0.08726
454,0.08732
455,0.08741
456,0.0875
457,0.08755
458,0.08756
459,0.08755
460,0.08761
461,0.08765
462,0.08769
463,0.08775
464,0.08781
465,0.08786
466,0.08789
467,0.08787
468,0.08792
469,0.08796
470,0.08793
471,0.08799
472,0.08799
473,0.08796
474,0.08803
475,0.08802
476,0.088
477,0.088
478,0.088
479,0.088
480,0.088
481,0.08798
482,0.08798
483,0.08788
484,0.08772
485,0.08764
486,0.08766
487,0.08768
488,0.08767
489,0.08769
490,0.08787
491,0.0881
492,0.08823
493,0.08842
494,0.08862
495,0.08882
496,0.08908
497,0.0894
498,0.0897
499,0.08994
500,0.09029
501,0.09065
502,0.09099
503,0.09136
504,0.09177
505,0.09226
506,0.09281
507,0.09335
508,0.09395
509,0.09463
510,0.09533
511,0.09609
512,0.09699
513,0.09802
514,0.09903
515,0.10015
516,0.10139
517,0.1027
518,0.10408
519,0.10546
520,0.10689
521,0.10851
522,0.11007
523,0.11161
524,0.11321
525,0.11479
