wl,value
360,0.04627
361,0.0484
362,0.04409
363,0.04396
364,0.04654
365,0.04786
366,0.04755
367,0.04671
368,0.04612
369,0.04614
370,0.04536
371,0.04519
372,0.04611
373,0.04627
374,0.04646
375,0.04603
376,0.04452
377,0.04415
378,0.0451
379,0.04632
380,0.0459
381,0.04493
382,0.04493
383,0.04619
384,0.04644
385,0.04636
386,0.04616
387,0.04593
388,0.04544
389,0.04566
390,0.04631
391,0.04581
392,0.04598
393,0.04648
394,0.04654
395,0.04538
396,0.04566
397,0.04677
398,0.04674
399,0.04648
400,0.04669
401,0.04723
402,0.04689
403,0.04695
404,0.04727
405,0.04747
406,0.04752
407,0.04739
408,0.04731
409,0.04764
410,0.04769
411,0.04759
412,0.04753
413,0.04757
414,0.04794
415,0.04824
416,0.04806
417,0.04802
418,0.04776
419,0.04749
420,0.04789
421,0.04773
422,0.04758
423,0.04786
424,0.04774
425,0.0477
426,0.04778
427,0.04781
428,0.04788
429,0.04773
430,0.04742
431,0.04751
432,0.0476
433,0.0477
434,0.04784
435,0.04772
436,0.04771
437,0.04779
438,0.04767
439,0.04749
440,0.04733
441,0.04718
442,0.04679
443,0.04683
444,0.04709
445,0.04704
446,0.04709
447,0.04709
448,0.04703
449,0.0471
450,0.04721
451,0.04721
452,0.04705
453,0.0472
454,0.04731
455,0.04726
456,0.04717
457,0.04724
458,0.04735
459,0.04741
460,0.04738
461,0.04725
462,0.04708
463,0.04696
464,0.04702
465,0.04708
466,0.04702
467,0.04683
468,0.0469
469,0.04694
470,0.04672
471,0.04674
472,0.04661
473,0.0465
474,0.04678
475,0.04678
476,0.04674
477,0.04682
478,0.04689
479,0.0468
480,0.0467
481,0.04673
482,0.04648
483,0.04649
484,0.04679
485,0.04691
486,0.04703
487,0.04709
488,0.04707
489,0.04706
490,0.04715
491,0.04732
492,0.04753
493,0.04777
494,0.04796
495,0.04814
496,0.04841
497,0.04883
498,0.04924
499,0.04956
500,0.0502
501,0.0508
502,0.05134
503,0.0521
504,0.05305
505,0.05415
506,0.05536
507,0.05677
508,0.05822
509,0.05975
510,0.06149
511,0.06351
512,0.06574
513,0.06812
514,0.07062
515,0.07332
516,0.0762
517,0.07919
518,0.08237
519,0.08557
520,0.08877
521,0.09206
522,0.09524
523,0.0983
524,0.10124
525,0.10408
526,0.10675
527,0.10927
528,0.11164
529,0.11364
530,0.11542
531,0.1171
532,0.11866
533,0.12001
534,0.12113
535,0.12205
536,0.12297
537,0.12366
538,0.12418
539,0.1248
540,0.12529
541,0.12576
542,0.12629
543,0.1268
544,0.12732
545,0.1278
546,0.12814
547,0.12815
548,0.12802
549,0.12795
550,0.12809
551,0.12817
552,0.12808
553,0.12775
554,0.12732
555,0.12675
556,0.12602
557,0.12518
558,0.12419
559,0.12303
560,0.12173
561,0.12033
562,0.11884
563,0.11722
564,0.11544
565,0.11363
566,0.11175
567,0.10977
568,0.10776
569,0.10574
570,0.10371
571,0.10169
572,0.09974
573,0.09793
574,0.09624
575,0.09462
576,0.0932
577,0.09188
578,0.09059
579,0.08944
580,0.08832
581,0.08721
582,0.08609
583,0.08503
584,0.08407
585,0.08318
586,0.08231
587,0.08153
588,0.08078
589,0.08002
590,0.07941
