wl,value
360,0.05697
361,0.0567
362,0.05647
363,0.05646
364,0.0566
365,0.0567
366,0.05622
367,0.05587
368,0.05594
369,0.05636
370,0.0566
371,0.05666
372,0.05656
373,0.05629
374,0.05601
375,0.05571
376,0.05545
377,0.05575
378,0.05597
379,0.056
380,0.05615
381,0.05586
382,0.05564
383,0.05577
384,0.05584
385,0.05577
386,0.05573
387,0.05587
388,0.05553
389,0.0553
390,0.05534
391,0.05527
392,0.05547
393,0.05566
394,0.05559
395,0.05548
396,0.05552
397,0.05568
398,0.05578
399,0.05577
400,0.05562
401,0.05537
402,0.05508
403,0.05525
404,0.05546
405,0.05533
406,0.05544
407,0.05552
408,0.05558
409,0.05575
410,0.05578
411,0.05574
412,0.05573
413,0.05574
414,0.05562
415,0.0556
416,0.05587
417,0.05588
418,0.05589
419,0.05596
420,0.05593
421,0.05591
422,0.05596
423,0.05606
424,0.05612
425,0.05618
426,0.05621
427,0.05612
428,0.05604
429,0.05603
430,0.05609
431,0.05602
432,0.05591
433,0.05582
434,0.05579
435,0.05582
436,0.05584
437,0.05584
438,0.05584
439,0.05594
440,0.05607
441,0.05617
442,0.05621
443,0.05623
444,0.05624
445,0.05628
446,0.05635
447,0.05637
448,0.05638
449,0.05653
450,0.05665
451,0.05672
452,0.05675
453,0.05667
454,0.05672
455,0.05685
456,0.05689
457,0.05696
458,0.05699
459,0.05694
460,0.0569
461,0.05695
462,0.05703
463,0.05707
464,0.05702
465,0.05704
466,0.05711
467,0.05711
468,0.05708
469,0.05707
470,0.05708
471,0.05713
472,0.05714
473,0.05715
474,0.05719
475,0.05719
476,0.05721
477,0.05726
478,0.0573
479,0.05737
480,0.05738
481,0.05729
482,0.05727
483,0.05733
484,0.0574
485,0.05743
486,0.05747
487,0.05751
488,0.05756
489,0.05764
490,0.05775
491,0.05786
492,0.058
493,0.05819
494,0.0584
495,0.0586
496,0.05876
497,0.05894
498,0.0592
499,0.05956
500,0.05995
501,0.06032
502,0.06071
503,0.06117
504,0.06169
505,0.06229
506,0.06297
507,0.06366
508,0.06444
509,0.06534
510,0.06636
511,0.0675
512,0.06872
513,0.07001
514,0.07145
515,0.07304
516,0.07474
517,0.07655
518,0.07847
519,0.08049
520,0.08258
521,0.08475
522,0.08696
523,0.08916
524,0.09133
525,0.09344
526,0.09549
527,0.09746
528,0.09931
529,0.10103
530,0.10261
531,0.10406
532,0.10539
533,0.1066
534,0.10771
535,0.10868
536,0.1095
537,0.11021
538,0.11087
539,0.11148
540,0.112
541,0.1125
542,0.11299
543,0.11336
544,0.11371
545,0.11407
546,0.11442
547,0.11471
548,0.11496
549,0.11519
550,0.11539
551,0.11553
552,0.11555
553,0.11546
554,0.11527
555,0.11496
556,0.11449
557,0.11385
558,0.11308
559,0.11222
560,0.11125
561,0.11017
562,0.109
563,0.10779
564,0.10658
565,0.10534
566,0.10407
567,0.10277
568,0.10147
569,0.10011
570,0.09874
571,0.0974
572,0.09609
573,0.0948
574,0.09357
575,0.09241
576,0.0913
577,0.09024
578,0.08923
579,0.08827
580,0.08738
581,0.08658
582,0.08592
583,0.08536
584,0.08485
585,0.08434
586,0.08384
587,0.08335
588,0.08289
589,0.08248
590,0.08212
591,0.08176
592,0.0814
593,0.08108
594,0.0808
595,0.08054
596,0.08032
597,0.0801
598,0.07986
599,0.07962
600,0.07939
601,0.07913
602,0.07884
603,0.0785
604,0.07812
605,0.07769
606,0.07722
607,0.07671
608,0.07617
609,0.0756
610,0.07498
611,0.07432
612,0.07376
613,0.07324
614,0.07273
615,0.07221
616,0.07173
617,0.07126
618,0.07081
619,0.07039
620,0.07001
621,0.06968
622,0.0694
623,0.06915
624,0.06893
625,0.06877
626,0.06863
627,0.0685
628,0.06839
629,0.0683
630,0.0682
631,0.06809
632,0.06797
633,0.06785
634,0.06767
635,0.06744
636,0.06715
637,0.06679
638,0.0664
639,0.06598
640,0.06552
641,0.06503
642,0.06452
643,0.06401
644,0.06353
645,0.06307
646,0.06264
647,0.06222
648,0.06186
649,0.06155
650,0.06128
651,0.06108
652,0.0609
653,0.06073
654,0.06057
655,0.06045
656,0.06025
657,0.06002
658,0.0598
659,0.05956
660,0.05931
661,0.05905
662,0.05879
663,0.05857
664,0.05838
665,0.05822
666,0.05809
667,0.05799
668,0.05794
669,0.05794
670,0.05795
671,0.05798
672,0.05807
673,0.05821
674,0.05837
675,0.05852
676,0.05868
677,0.05892
678,0.05919
679,0.05948
680,0.05979
681,0.06014
682,0.06053
683,0.06096
684,0.06145
685,0.06203
686,0.06269
687,0.06347
688,0.06444
689,0.06567
690,0.0672
691,0.06911
692,0.07149
693,0.07439
