wl,value
360,0.03162
361,0.03081
362,0.03069
363,0.03072
364,0.03066
365,0.03053
366,0.03114
367,0.03154
368,0.0316
369,0.03178
370,0.03128
371,0.03083
372,0.03081
373,0.03055
374,0.03064
375,0.03076
376,0.03052
377,0.03048
378,0.03037
379,0.03038
380,0.03101
381,0.03144
382,0.0315
383,0.03127
384,0.03102
385,0.03116
386,0.03137
387,0.0312
388,0.03136
389,0.03165
390,0.03184
391,0.0318
392,0.03211
393,0.03233
394,0.03214
395,0.0321
396,0.03217
397,0.03236
398,0.03269
399,0.03312
400,0.03313
401,0.03287
402,0.03333
403,0.03368
404,0.0339
405,0.0341
406,0.03425
407,0.03455
408,0.03486
409,0.03485
410,0.03509
411,0.03545
412,0.0358
413,0.03625
414,0.03652
415,0.03671
416,0.03697
417,0.03718
418,0.03733
419,0.0375
420,0.03776
421,0.03793
422,0.03807
423,0.03829
424,0.03867
425,0.03892
426,0.03903
427,0.03919
428,0.03944
429,0.03958
430,0.03958
431,0.03972
432,0.03985
433,0.03998
434,0.04014
435,0.04028
436,0.04032
437,0.04035
438,0.04056
439,0.04064
440,0.04062
441,0.04061
442,0.0408
443,0.04096
444,0.0411
445,0.04129
446,0.0414
447,0.0415
448,0.04166
449,0.04185
450,0.04204
451,0.04217
452,0.04221
453,0.04233
454,0.04244
455,0.04254
456,0.0427
457,0.04279
458,0.04283
459,0.04286
460,0.04297
461,0.04302
462,0.04308
463,0.04319
464,0.04313
465,0.04311
466,0.04319
467,0.04323
468,0.04325
469,0.04329
470,0.04335
471,0.04329
472,0.04327
473,0.04331
474,0.04335
475,0.04333
476,0.04332
477,0.04333
478,0.04338
479,0.0434
480,0.0434
481,0.04341
482,0.04343
483,0.04348
484,0.04358
485,0.04373
486,0.04389
487,0.04405
488,0.04421
489,0.04441
490,0.0446
491,0.04485
492,0.04519
493,0.04548
494,0.0458
495,0.04624
496,0.04674
497,0.04727
498,0.04784
499,0.04847
500,0.04919
501,0.04997
502,0.0508
503,0.05169
504,0.05262
505,0.05366
506,0.05482
507,0.05604
508,0.05732
509,0.05867
510,0.06013
511,0.06165
512,0.06325
513,0.06495
514,0.06671
515,0.06851
516,0.07036
517,0.07226
518,0.07414
519,0.07605
520,0.07798
521,0.07989
522,0.08176
523,0.08358
524,0.08536
525,0.08701
526,0.08857
527,0.09005
528,0.09142
529,0.09275
530,0.09395
531,0.09502
532,0.09602
533,0.09692
534,0.09774
535,0.09849
536,0.09918
537,0.09978
538,0.10033
539,0.10092
540,0.10154
541,0.10224
542,0.10295
543,0.10352
544,0.10393
545,0.10419
546,0.10431
547,0.10433
548,0.10436
549,0.10448
550,0.10466
551,0.10481
552,0.10488
553,0.10486
554,0.10475
555,0.10457
556,0.10431
557,0.10394
558,0.10351
559,0.10303
560,0.10248
561,0.10184
562,0.10121
563,0.10053
564,0.09977
565,0.09899
566,0.09816
567,0.09726
568,0.09634
569,0.09538
570,0.09441
571,0.09343
572,0.09245
573,0.09154
574,0.09069
575,0.08991
576,0.08917
577,0.08843
578,0.0877
579,0.08707
580,0.08648
581,0.08592
582,0.08539
583,0.08486
584,0.08435
585,0.08385
586,0.0834
587,0.08301
588,0.08262
589,0.08221
590,0.08185
591,0.08156
592,0.0813
593,0.08101
594,0.08072
595,0.08047
596,0.0803
597,0.08016
598,0.07999
599,0.07979
600,0.07961
601,0.07937
602,0.07911
603,0.07882
604,0.07846
605,0.07808
606,0.07766
607,0.0772
608,0.07671
609,0.07626
610,0.0759
611,0.07561
612,0.07507
613,0.07436
614,0.07362
615,0.07299
616,0.07242
617,0.07189
618,0.07138
619,0.07095
620,0.07057
621,0.07024
622,0.06995
623,0.0697
624,0.06949
625,0.0693
626,0.06916
