wl,value
360,0.04547
361,0.04499
362,0.04461
363,0.04432
364,0.04428
365,0.04448
366,0.04428
367,0.04381
368,0.04344
369,0.04363
370,0.0436
371,0.04364
372,0.04388
373,0.04379
374,0.04342
375,0.04297
376,0.04269
377,0.0429
378,0.0429
379,0.04284
380,0.04351
381,0.04352
382,0.0431
383,0.04272
384,0.04294
385,0.04244
386,0.04201
387,0.04274
388,0.04287
389,0.04253
390,0.04212
391,0.04211
392,0.04193
393,0.04162
394,0.04144
395,0.04192
396,0.04211
397,0.04198
398,0.04192
399,0.0422
400,0.04224
401,0.04197
402,0.04209
403,0.04229
404,0.04239
405,0.04233
406,0.04227
407,0.04243
408,0.04271
409,0.04282
410,0.04282
411,0.04283
412,0.04295
413,0.04324
414,0.0435
415,0.04367
416,0.0438
417,0.04416
418,0.0445
419,0.04471
420,0.04489
421,0.04509
422,0.04537
423,0.0457
424,0.04595
425,0.04622
426,0.0465
427,0.04675
428,0.04707
429,0.04734
430,0.04754
431,0.04779
432,0.04802
433,0.04825
434,0.04852
435,0.04867
436,0.04883
437,0.04901
438,0.0491
439,0.04922
440,0.04932
441,0.04935
442,0.04945
443,0.04952
444,0.04958
445,0.04971
446,0.04984
447,0.04998
448,0.05012
449,0.05019
450,0.05031
451,0.05044
452,0.05056
453,0.05069
454,0.05075
455,0.05082
456,0.05102
457,0.05108
458,0.05109
459,0.0511
460,0.05113
461,0.05117
462,0.05121
463,0.05124
464,0.05128
465,0.05127
466,0.05122
467,0.05122
468,0.05124
469,0.05124
470,0.05122
471,0.05116
472,0.05115
473,0.05114
474,0.05104
475,0.05098
476,0.05097
477,0.05099
478,0.05091
479,0.05087
480,0.05086
481,0.05081
482,0.05083
483,0.05093
484,0.05106
485,0.05109
486,0.05115
487,0.05121
488,0.05126
489,0.05143
490,0.05156
491,0.05168
492,0.05184
493,0.05198
494,0.05216
495,0.0524
496,0.05263
497,0.05286
498,0.05311
499,0.05341
500,0.05375
501,0.05413
502,0.05454
503,0.05499
504,0.05543
505,0.05594
506,0.05653
507,0.05713
508,0.05783
509,0.05861
510,0.0594
511,0.06027
512,0.0612
513,0.06217
514,0.06326
515,0.06442
516,0.06568
517,0.06701
518,0.06842
519,0.0699
520,0.07145
521,0.07307
522,0.0747
523,0.07635
524,0.07802
525,0.07968
526,0.08131
527,0.08289
528,0.08441
529,0.08586
530,0.08723
531,0.0885
532,0.08971
533,0.09084
534,0.09187
535,0.09282
536,0.09364
537,0.0944
538,0.09512
539,0.09581
540,0.09654
541,0.09731
542,0.09808
543,0.09875
544,0.09921
545,0.09947
546,0.0996
547,0.09962
548,0.09964
549,0.09972
550,0.09986
551,0.09994
552,0.09991
553,0.09976
554,0.09951
555,0.09911
556,0.09859
557,0.098
558,0.09729
559,0.0965
560,0.09566
561,0.09473
562,0.09379
563,0.09284
564,0.09182
565,0.09079
566,0.08974
567,0.08867
568,0.08753
569,0.08637
570,0.0852
571,0.08403
572,0.08291
573,0.08182
574,0.08077
575,0.07975
576,0.07882
577,0.07796
578,0.07717
579,0.07644
580,0.0758
581,0.0752
582,0.0746
583,0.07405
584,0.07355
585,0.07306
586,0.07258
587,0.07214
588,0.07173
589,0.07136
590,0.07098
591,0.07064
592,0.07034
593,0.07007
594,0.06982
595,0.0696
596,0.06939
597,0.0692
598,0.06901
599,0.0688
600,0.06858
601,0.06832
602,0.06801
603,0.06765
604,0.06727
605,0.06685
606,0.06638
607,0.0659
608,0.06539
609,0.06493
610,0.06457
611,0.06427
612,0.06374
613,0.06302
614,0.06225
615,0.06164
616,0.06107
617,0.06055
618,0.06011
619,0.05972
620,0.05937
621,0.05905
622,0.05876
623,0.05849
624,0.05824
625,0.05802
626,0.05787
627,0.05772
628,0.0576
629,0.05751
630,0.05743
631,0.05735
632,0.05724
633,0.05712
634,0.05698
635,0.05682
636,0.05663
637,0.05639
638,0.05611
639,0.0558
640,0.05547
641,0.05515
642,0.05479
643,0.05441
644,0.05403
645,0.05364
646,0.05326
647,0.05289
648,0.05249
649,0.05213
650,0.05181
651,0.05149
652,0.05117
653,0.05087
654,0.0506
655,0.0503
656,0.04996
657,0.0496
658,0.04921
659,0.0488
660,0.04838
661,0.04796
662,0.04756
663,0.04719
664,0.04686
665,0.04656
666,0.04631
667,0.0461
