wl,value
360,0.03334
361,0.03162
362,0.03264
363,0.03224
364,0.03203
365,0.03362
366,0.03279
367,0.03235
368,0.03302
369,0.03391
370,0.03416
371,0.03351
372,0.03243
373,0.03244
374,0.03265
375,0.03235
376,0.03143
377,0.03231
378,0.03226
379,0.03137
380,0.03207
381,0.03268
382,0.03292
383,0.03281
384,0.03223
385,0.0322
386,0.03245
387,0.03241
388,0.03346
389,0.03315
390,0.03165
391,0.03182
392,0.03258
393,0.03286
394,0.03237
395,0.03283
396,0.03299
397,0.03279
398,0.03268
399,0.03256
400,0.03279
401,0.03332
402,0.03356
403,0.03344
404,0.03332
405,0.0335
406,0.03368
407,0.034
408,0.03436
409,0.03453
410,0.03405
411,0.03407
412,0.03485
413,0.03481
414,0.03478
415,0.03514
416,0.03582
417,0.03539
418,0.03532
419,0.03586
420,0.03604
421,0.03612
422,0.03616
423,0.0362
424,0.03623
425,0.03642
426,0.03658
427,0.03647
428,0.03678
429,0.03688
430,0.03665
431,0.03681
432,0.03691
433,0.03689
434,0.03683
435,0.03694
436,0.03709
437,0.03723
438,0.03745
439,0.03749
440,0.03733
441,0.03711
442,0.03735
443,0.03744
444,0.03742
445,0.03749
446,0.03745
447,0.03746
448,0.03755
449,0.03757
450,0.03766
451,0.03778
452,0.0379
453,0.03809
454,0.03808
455,0.03799
456,0.03819
457,0.03825
458,0.03815
459,0.03802
460,0.03826
461,0.03833
462,0.0383
463,0.03839
464,0.03835
465,0.03842
466,0.03857
467,0.0385
468,0.03857
469,0.0387
470,0.03874
471,0.03864
472,0.03853
473,0.03846
474,0.03843
475,0.03856
476,0.03863
477,0.03858
478,0.03858
479,0.03863
480,0.03876
481,0.03893
482,0.0389
483,0.0389
484,0.03901
485,0.03912
486,0.03903
487,0.039
488,0.03917
489,0.03922
490,0.03931
491,0.03948
492,0.03968
493,0.03973
494,0.03977
495,0.03991
496,0.04012
497,0.04036
498,0.04055
499,0.04068
500,0.04092
501,0.04124
502,0.04164
503,0.04212
504,0.04251
505,0.04291
506,0.04342
507,0.0441
508,0.04485
509,0.0456
510,0.04633
511,0.04726
512,0.04836
513,0.04954
514,0.05072
515,0.05205
516,0.05346
517,0.05489
518,0.05647
519,0.05811
520,0.05978
521,0.06145
522,0.06315
523,0.06476
524,0.06625
525,0.06777
526,0.06924
527,0.07059
528,0.07174
529,0.07283
530,0.07384
531,0.07474
532,0.07545
533,0.07611
534,0.07674
535,0.07733
536,0.07768
537,0.07799
538,0.07835
539,0.07868
540,0.07893
541,0.07916
542,0.07942
543,0.07974
544,0.08004
545,0.0803
546,0.08052
547,0.08063
548,0.08074
549,0.0809
550,0.08101
551,0.08111
552,0.08113
553,0.08105
554,0.08092
555,0.08063
556,0.08018
557,0.07968
558,0.07907
559,0.07839
560,0.07765
561,0.07684
562,0.07601
563,0.07515
564,0.07424
565,0.07331
566,0.07227
567,0.07116
568,0.07016
569,0.069
570,0.06783
571,0.06678
572,0.06574
573,0.06483
574,0.06402
575,0.06322
576,0.06254
577,0.06194
578,0.06135
579,0.0608
580,0.06029
581,0.0598
582,0.05931
583,0.0588
584,0.05832
585,0.05789
586,0.05748
587,0.05703
588,0.05663
589,0.05636
590,0.05609
591,0.05593
592,0.05582
593,0.05567
594,0.05552
595,0.05538
596,0.05526
597,0.05511
598,0.05494
599,0.05475
600,0.05454
601,0.05438
602,0.05421
603,0.05401
604,0.0538
605,0.0535
606,0.0532
607,0.05295
608,0.05264
609,0.05231
610,0.05201
611,0.05175
612,0.05138
613,0.051
614,0.05067
615,0.05034
616,0.05003
617,0.04976
618,0.0495
619,0.04927
620,0.04906
621,0.04889
622,0.04877
623,0.04861
624,0.04849
625,0.04845
626,0.04837
627,0.04833
628,0.0483
629,0.04827
630,0.04823
631,0.0482
632,0.04815
633,0.04809
634,0.04798
635,0.04784
636,0.04765
637,0.04739
638,0.04709
639,0.04679
640,0.04653
641,0.0462
642,0.04585
643,0.04554
644,0.04526
645,0.04497
646,0.04468
647,0.04444
648,0.04425
649,0.04408
650,0.04393
651,0.04378
652,0.04368
653,0.04359
654,0.04349
655,0.04343
656,0.04339
657,0.04331
658,0.04314
659,0.043
660,0.0429
661,0.04281
662,0.04269
663,0.04255
664,0.04246
665,0.04244
666,0.04237
667,0.04231
668,0.0423
669,0.04235
670,0.04242
671,0.04252
672,0.04262
673,0.04276
674,0.0429
675,0.04307
676,0.04331
677,0.04351
678,0.04373
679,0.04402
680,0.04438
681,0.04467
682,0.04502
683,0.04548
684,0.04587
685,0.04633
686,0.04687
687,0.04748
688,0.0482
689,0.04911
690,0.05027
691,0.05171
692,0.05355
693,0.05578
694,0.05844
695,0.06172
696,0.06557
697,0.07001
698,0.07502
699,0.0806
700,0.08674
701,0.09338
702,0.10045
703,0.10792
704,0.11577
705,0.12395
706,0.1324
707,0.14117
708,0.15015
709,0.15926
710,0.16872
711,0.17831
712,0.18801
713,0.19799
714,0.20794
715,0.21801
716,0.22829
717,0.23852
718,0.2488
719,0.25911
720,0.2694
721,0.27963
722,0.28974
723,0.29974
724,0.30959
725,0.31925
726,0.32869
727,0.33788
728,0.34677
729,0.35533
730,0.36361
731,0.37163
732,0.37926
733,0.38654
734,0.3935
735,0.40016
736,0.40641
737,0.41233
738,0.41797
739,0.42328
740,0.4283
741,0.43295
742,0.4372
743,0.44143
744,0.44522
745,0.44854
746,0.45171
747,0.45483
748,0.45766
749,0.46008
750,0.46241
751,0.46447
752,0.46638
753,0.4683
754,0.46992
755,0.47124
756,0.47239
757,0.47362
758,0.47476
759,0.47575
760,0.47661
761,0.47738
762,0.47817
763,0.47892
764,0.47951
765,0.47986
766,0.48031
767,0.48083
768,0.48117
769,0.48143
770,0.48174
771,0.48214
772,0.48249
773,0.48283
774,0.48308
775,0.48323
776,0.48351
777,0.48357
778,0.4836
779,0.48397
780,0.48431
781,0.48449
782,0.48459
783,0.48485
784,0.48511
785,0.48529
786,0.4854
787,0.48558
788,0.48575
789,0.4859
790,0.48606
791,0.48642
792,0.48649
793,0.48641
794,0.48674
795,0.48695
796,0.48701
797,0.48707
798,0.48737
799,0.4876
800,0.48765
801,0.48762
802,0.48792
803,0.48817
804,0.48831
805,0.48841
806,0.48842
807,0.4884
808,0.48844
809,0.48857
810,0.48863
811,0.48871
812,0.48885
813,0.48902
