wl,value
360,0.04311
361,0.04317
362,0.04323
363,0.043295
364,0.04336
365,0.04342
366,0.04348
367,0.043545
368,0.04361
369,0.04367
370,0.04373
371,0.043795
372,0.04386
373,0.04392
374,0.04398
375,0.044045
376,0.04411
377,0.04417
378,0.04423
379,0.044295
380,0.04436
381,0.04442
382,0.04448
383,0.044545
384,0.04461
385,0.04467
386,0.04473
387,0.044795
388,0.04486
389,0.04492
390,0.04498
391,0.045045
392,0.04511
393,0.04517
394,0.04523
395,0.045295
396,0.04536
397,0.04542
398,0.04548
399,0.045545
400,0.04561
401,0.04567
402,0.04573
403,0.04579
404,0.04585
405,0.04591
406,0.04597
407,0.04603
408,0.04609
409,0.04615
410,0.04621
411,0.046275
412,0.04634
413,0.046395
414,0.04645
415,0.046515
416,0.04658
417,0.046635
418,0.04669
419,0.046755
420,0.04682
421,0.04688
422,0.04694
423,0.047
424,0.04706
425,0.04712
426,0.04718
427,0.047235
428,0.04729
429,0.047355
430,0.04742
431,0.04748
432,0.04754
433,0.0476
434,0.04766
435,0.04772
436,0.04778
437,0.04784
438,0.0479
439,0.04796
440,0.04802
441,0.04808
442,0.04814
443,0.0482
444,0.04826
445,0.04832
446,0.04838
447,0.04844
448,0.0485
449,0.04856
450,0.04862
451,0.04868
452,0.04874
453,0.0488
454,0.04886
455,0.048925
456,0.04899
457,0.04905
458,0.04911
459,0.04917
460,0.04923
461,0.04929
462,0.04935
463,0.04941
464,0.04947
465,0.04953
466,0.04959
467,0.04965
468,0.04971
469,0.04977
470,0.04983
471,0.04989
472,0.04995
473,0.050015
474,0.05008
475,0.050135
476,0.05019
477,0.050255
478,0.05032
479,0.05038
480,0.05044
481,0.0505
482,0.05056
483,0.05062
484,0.05068
485,0.05079
486,0.0509
487,0.051095
488,0.05129
489,0.051555
490,0.05182
491,0.052155
492,0.05249
493,0.0529
494,0.05331
495,0.05373
496,0.05415
497,0.05467
498,0.05519
499,0.055845
500,0.0565
501,0.05736
502,0.05822
503,0.059255
504,0.06029
505,0.061495
506,0.0627
507,0.064405
508,0.06611
