wl,value
360,0.05311
361,0.05317
362,0.05323
363,0.053295
364,0.05336
365,0.05342
366,0.05348
367,0.053545
368,0.05361
369,0.05367
370,0.05373
371,0.053795
372,0.05386
373,0.05392
374,0.05398
375,0.054045
376,0.05411
377,0.05417
378,0.05423
379,0.054295
380,0.05436
381,0.05442
382,0.05448
383,0.054545
384,0.05461
385,0.05467
386,0.05473
387,0.054795
388,0.05486
389,0.05492
390,0.05498
391,0.055045
392,0.05511
393,0.05517
394,0.05523
395,0.055295
396,0.05536
397,0.05542
398,0.05548
399,0.055545
400,0.05561
401,0.05567
402,0.05573
403,0.05579
404,0.05585
405,0.055915
406,0.05598
407,0.056035
408,0.05609
409,0.05615
410,0.05621
411,0.056275
412,0.05634
413,0.056395
414,0.05645
415,0.056515
416,0.05658
417,0.056635
418,0.05669
419,0.056755
420,0.05682
421,0.05688
422,0.05694
423,0.057
424,0.05706
425,0.05712
426,0.05718
427,0.057235
428,0.05729
429,0.057355
430,0.05742
431,0.05748
432,0.05754
433,0.0576
434,0.05766
435,0.05772
436,0.05778
437,0.05784
438,0.0579
439,0.05796
440,0.05802
441,0.05808
442,0.05814
443,0.0582
444,0.05826
445,0.05832
446,0.05838
447,0.05844
448,0.0585
449,0.05856
450,0.05862
451,0.05868
452,0.05874
453,0.0588
454,0.05886
455,0.058925
456,0.05899
457,0.05905
458,0.05911
459,0.05917
460,0.05923
461,0.05929
462,0.05935
463,0.05941
464,0.05947
465,0.05953
466,0.05959
467,0.05965
468,0.05971
469,0.05977
470,0.05983
471,0.05989
472,0.05995
473,0.060015
474,0.06008
475,0.060135
476,0.06019
477,0.060255
478,0.06032
479,0.06038
480,0.06044
481,0.0605
482,0.06056
483,0.06062
484,0.06068
485,0.06079
486,0.0609
487,0.061095
488,0.06129
489,0.061555
490,0.06182
491,0.062155
492,0.06249
493,0.0629
494,0.06331
495,0.063715
496,0.06412
497,0.06427
498,0.06442
499,0.06481
500,0.0652
501,0.065735
502,0.06627
503,0.066325
504,0.06638
505,0.066925
506,0.06747
507,0.068015
508,0.06856
509,0.06903
510,0.0695
511,0.07055
512,0.0716
513,0.07309
514,0.07458
515,0.075965
516,0.07735
517,0.07899
518,0.08063
519,0.08224
520,0.08385
521,0.08541
522,0.08697
523,0.08911
524,0.09125
525,0.09317
526,0.09509
527,0.09705
528,0.09901
529,0.10041
530,0.10181
531,0.10277
532,0.10373
533,0.104385
534,0.10504
535,0.105625
536,0.10621
537,0.106635
538,0.10706
539,0.10697
540,0.10688
541,0.106955
542,0.10703
543,0.107715
544,0.1084
545,0.108795
546,0.10919
547,0.109235
548,0.10928
549,0.10932
550,0.10936
551,0.10917
552,0.10898
553,0.10843
554,0.10788
555,0.107205
556,0.10653
557,0.105485
558,0.10444
559,0.10308
560,0.10172
561,0.100545
562,0.09937
563,0.09812
564,0.09687
565,0.095335
566,0.0938
567,0.092495
568,0.09119
569,0.089825
570,0.08846
571,0.08698
572,0.0855
573,0.08437
574,0.08324
575,0.082275
576,0.08131
577,0.080165
578,0.07902
579,0.078385
580,0.07775
581,0.07714
582,0.07653
583,0.07584
584,0.07515
585,0.074965
