wl,value
360,0.01882
361,0.02156
362,0.0181
363,0.01817
364,0.02003
365,0.02022
366,0.02081
367,0.02042
368,0.01942
369,0.01933
370,0.01893
371,0.01891
372,0.01951
373,0.01971
374,0.01977
375,0.0194
376,0.0185
377,0.01833
378,0.0191
379,0.02002
380,0.0197
381,0.01866
382,0.01846
383,0.01961
384,0.02019
385,0.02005
386,0.02004
387,0.02087
388,0.01974
389,0.0194
390,0.02024
391,0.01993
392,0.02071
393,0.02153
394,0.02128
395,0.02006
396,0.02039
397,0.02156
398,0.02152
399,0.02138
400,0.02187
401,0.02264
402,0.02204
403,0.02205
404,0.02249
405,0.02279
406,0.02304
407,0.02309
408,0.02319
409,0.02372
410,0.02377
411,0.02372
412,0.02383
413,0.02389
414,0.02424
415,0.02467
416,0.02482
417,0.02479
418,0.02459
419,0.02446
420,0.02477
421,0.02455
422,0.02455
423,0.02516
424,0.02512
425,0.02509
426,0.0252
427,0.02531
428,0.02546
429,0.02539
430,0.02516
431,0.02538
432,0.02555
433,0.02567
434,0.02579
435,0.02577
436,0.02581
437,0.02587
438,0.02578
439,0.0257
440,0.0256
441,0.02546
442,0.02533
443,0.02544
444,0.02564
445,0.02565
446,0.02567
447,0.02575
448,0.02589
449,0.02606
450,0.0261
451,0.02605
452,0.02602
453,0.02622
454,0.02638
455,0.02637
456,0.02626
457,0.02634
458,0.0265
459,0.02664
460,0.02676
461,0.02666
462,0.02647
463,0.02639
464,0.02646
465,0.02651
466,0.02648
467,0.02639
468,0.02642
469,0.02643
470,0.02634
471,0.02641
472,0.02637
473,0.0263
474,0.02642
475,0.02644
476,0.02649
477,0.02662
478,0.02661
479,0.02653
480,0.02649
481,0.02657
482,0.02647
483,0.02652
484,0.02674
485,0.02687
486,0.02705
487,0.0272
488,0.02724
489,0.02725
490,0.02736
491,0.02756
492,0.02782
493,0.0281
494,0.02835
495,0.02859
496,0.02895
497,0.02934
498,0.02973
499,0.03015
500,0.03077
501,0.03144
502,0.03207
503,0.03275
504,0.03363
505,0.03463
506,0.03567
507,0.03688
508,0.03818
509,0.03952
510,0.04091
511,0.04253
512,0.04429
513,0.04613
514,0.04807
515,0.05016
516,0.05237
517,0.05465
518,0.05703
519,0.05946
520,0.06192
521,0.0644
522,0.06686
523,0.06923
524,0.07148
525,0.07368
526,0.07579
527,0.0778
528,0.07974
529,0.08137
530,0.08286
531,0.08429
532,0.08566
533,0.08679
534,0.08774
535,0.08861
536,0.0895
537,0.09017
538,0.09071
539,0.09139
540,0.09201
541,0.09266
542,0.09339
543,0.09409
544,0.0946
545,0.0949
546,0.09502
547,0.09479
548,0.09448
549,0.09431
550,0.09442
551,0.09447
552,0.09438
553,0.09413
554,0.09382
555,0.09339
556,0.09285
557,0.09228
558,0.09154
559,0.09069
560,0.08979
561,0.08879
562,0.08774
563,0.08657
564,0.08523
565,0.08395
566,0.08259
567,0.08107
568,0.07948
569,0.07797
570,0.0765
571,0.075
572,0.07351
573,0.07212
574,0.07084
575,0.06966
576,0.0686
577,0.06758
578,0.0666
579,0.06573
580,0.06487
581,0.06398
582,0.06308
583,0.06229
584,0.06155
585,0.06082
586,0.0601
587,0.05948
588,0.05888
589,0.05825
590,0.05769
591,0.05723
592,0.05679
593,0.05628
594,0.05591
595,0.05556
596,0.05518
597,0.05488
598,0.0545
599,0.05411
600,0.05382
601,0.05344
602,0.05304
603,0.05263
604,0.05218
605,0.05177
606,0.05134
607,0.05086
608,0.0504
609,0.04998
610,0.04966
611,0.04945
612,0.04882
613,0.04801
614,0.04722
615,0.04653
616,0.04586
617,0.04523
618,0.04469
619,0.04422
620,0.04383
621,0.04349
622,0.04316
623,0.04285
624,0.0426
625,0.04242
626,0.0422
627,0.04209
628,0.04203
629,0.0419
630,0.04178
631,0.04164
632,0.04142
633,0.04109
634,0.04076
635,0.04035
636,0.03979
637,0.03921
638,0.03847
639,0.03763
640,0.03684
641,0.03602
642,0.03515
643,0.03425
644,0.03346
645,0.03266
646,0.03193
647,0.03135
648,0.03077
649,0.03028
650,0.02989
651,0.02955
652,0.02934
653,0.02916
654,0.02895
655,0.02871
656,0.02846
657,0.02819
658,0.02789
659,0.02756
660,0.02721
661,0.02683
662,0.02646
663,0.02613
664,0.02583
665,0.02553
666,0.02528
667,0.0251
668,0.02498
669,0.02492
670,0.02486
671,0.02487
672,0.02497
673,0.02501
674,0.02512
675,0.02532
676,0.02554
677,0.02573
678,0.02602
679,0.0264
680,0.02677
681,0.02723
682,0.02771
683,0.02823
684,0.02891
685,0.02978
686,0.03082
687,0.03205
688,0.03361
689,0.03559
690,0.03804
691,0.04103
692,0.04459
693,0.04871
694,0.05341
695,0.05873
696,0.06455
697,0.07079
698,0.07741
699,0.08442
700,0.09166
701,0.09901
702,0.10644
703,0.11381
704,0.12108
705,0.12824
706,0.13526
707,0.14218
708,0.14898
709,0.15562
710,0.16217
711,0.16865
712,0.17508
713,0.18147
714,0.18772
715,0.19391
716,0.20011
717,0.20628
718,0.21241
719,0.21844
720,0.22434
721,0.23018
722,0.23602
723,0.24175
724,0.24716
725,0.25247
726,0.25771
727,0.26285
728,0.26786
729,0.27248
730,0.27687
731,0.28127
732,0.28543
733,0.28935
734,0.2931
735,0.29669
736,0.30009
737,0.30326
738,0.30618
739,0.30894
740,0.31154
741,0.31398
742,0.31627
743,0.31836
744,0.32026
745,0.322
746,0.32355
747,0.325
748,0.32634
749,0.32751
750,0.32847
751,0.32943
752,0.33037
753,0.33116
754,0.33174
755,0.3323
756,0.3329
757,0.33342
758,0.33378
759,0.33406
760,0.33437
761,0.33475
762,0.33497
763,0.3351
764,0.33527
765,0.33548
766,0.33555
767,0.33555
768,0.33564
769,0.33566
770,0.33563
771,0.33562
772,0.33572
773,0.33571
774,0.3357
775,0.33577
