wl,value
360,0.99192
361,0.991936
362,0.991952
363,0.991968
364,0.991984
365,0.992
366,0.992016
367,0.992032
368,0.992048
369,0.992064
370,0.99208
371,0.992122
372,0.992164
373,0.992206
374,0.992248
375,0.99229
376,0.992332
377,0.992374
378,0.992416
379,0.992458
380,0.9925
381,0.992502
382,0.992504
383,0.992506
384,0.992508
385,0.99251
386,0.992512
387,0.992514
388,0.992516
389,0.992518
390,0.99252
391,0.992512
392,0.992504
393,0.992496
394,0.992488
395,0.99248
396,0.992472
397,0.992464
398,0.992456
399,0.992448
400,0.99244
401,0.992546
402,0.992652
403,0.992758
404,0.992864
405,0.99297
406,0.993076
407,0.993182
408,0.993288
409,0.993394
410,0.9935
411,0.993434
412,0.993368
413,0.993302
414,0.993236
415,0.99317
416,0.993104
417,0.993038
418,0.992972
419,0.992906
420,0.99284
421,0.992974
422,0.993108
423,0.993242
424,0.993376
425,0.99351
426,0.993644
427,0.993778
428,0.993912
429,0.994046
430,0.99418
431,0.994126
432,0.994072
433,0.994018
434,0.993964
435,0.99391
436,0.993856
437,0.993802
438,0.993748
439,0.993694
440,0.99364
441,0.993768
442,0.993896
443,0.994024
444,0.994152
445,0.99428
446,0.994408
447,0.994536
448,0.994664
449,0.994792
450,0.99492
451,0.99491
452,0.9949
453,0.99489
454,0.99488
455,0.99487
456,0.99486
457,0.99485
458,0.99484
459,0.99483
460,0.99482
461,0.994854
462,0.994888
463,0.994922
464,0.994956
465,0.99499
466,0.995024
467,0.995058
468,0.995092
469,0.995126
470,0.99516
471,0.995128
472,0.995096
473,0.995064
474,0.995032
475,0.995
476,0.994968
477,0.994936
478,0.994904
479,0.994872
480,0.99484
481,0.994802
482,0.994764
483,0.994726
484,0.994688
485,0.99465
486,0.994612
487,0.994574
488,0.994536
489,0.994498
490,0.99446
491,0.994462
492,0.994464
493,0.994466
494,0.994468
495,0.99447
496,0.994472
497,0.994474
498,0.994476
499,0.994478
500,0.99448
501,0.994478
502,0.994476
503,0.994474
504,0.994472
505,0.99447
506,0.994468
507,0.994466
508,0.994464
509,0.994462
510,0.99446
511,0.994408
512,0.994356
513,0.994304
514,0.994252
515,0.9942
516,0.994148
517,0.994096
518,0.994044
519,0.993992
520,0.99394
521,0.994002
522,0.994064
523,0.994126
524,0.994188
525,0.99425
526,0.994312
527,0.994374
528,0.994436
529,0.994498
530,0.99456
531,0.994432
532,0.994304
533,0.994176
534,0.994048
535,0.99392
536,0.993792
537,0.993664
538,0.993536
539,0.993408
540,0.99328
541,0.993332
542,0.993384
543,0.993436
544,0.993488
