wl,value
360,0.96423
361,0.964356
362,0.964482
363,0.964608
364,0.964734
365,0.96486
366,0.964986
367,0.965112
368,0.965238
369,0.965364
370,0.96549
371,0.965668
372,0.965846
373,0.966024
374,0.966202
375,0.96638
376,0.966558
377,0.966736
378,0.966914
379,0.967092
380,0.96727
381,0.967386
382,0.967502
383,0.967618
384,0.967734
385,0.96785
386,0.967966
387,0.968082
388,0.968198
389,0.968314
390,0.96843
391,0.968574
392,0.968718
393,0.968862
394,0.969006
395,0.96915
396,0.969294
397,0.969438
398,0.969582
399,0.969726
400,0.96987
401,0.970035
402,0.9702
403,0.970365
404,0.97053
405,0.970695
406,0.97086
407,0.971025
408,0.97119
409,0.971355
410,0.97152
411,0.971633
412,0.971746
413,0.971859
414,0.971972
415,0.972085
416,0.972198
417,0.972311
418,0.972424
419,0.972537
420,0.97265
421,0.97283
422,0.97301
423,0.97319
424,0.97337
425,0.97355
426,0.97373
427,0.97391
428,0.97409
429,0.97427
430,0.97445
431,0.97451
432,0.97457
433,0.97463
434,0.97469
435,0.97475
436,0.97481
437,0.97487
438,0.97493
439,0.97499
440,0.97505
441,0.975394
442,0.975738
443,0.976082
444,0.976426
445,0.97677
446,0.977114
447,0.977458
448,0.977802
449,0.978146
450,0.97849
451,0.978549
452,0.978608
453,0.978667
454,0.978726
455,0.978785
456,0.978844
457,0.978903
458,0.978962
459,0.979021
460,0.97908
461,0.979045
462,0.97901
463,0.978975
464,0.97894
465,0.978905
466,0.97887
467,0.978835
468,0.9788
469,0.978765
470,0.97873
471,0.978638
472,0.978546
473,0.978454
474,0.978362
475,0.97827
476,0.978178
477,0.978086
478,0.977994
479,0.977902
480,0.97781
481,0.977765
482,0.97772
483,0.977675
484,0.97763
485,0.977585
486,0.97754
487,0.977495
488,0.97745
489,0.977405
490,0.97736
491,0.977258
492,0.977156
493,0.977054
494,0.976952
495,0.97685
496,0.976748
497,0.976646
498,0.976544
499,0.976442
500,0.97634
501,0.976288
502,0.976236
503,0.976184
504,0.976132
505,0.97608
506,0.976028
507,0.975976
508,0.975924
509,0.975872
510,0.97582
511,0.975766
512,0.975712
513,0.975658
514,0.975604
515,0.97555
516,0.975496
517,0.975442
518,0.975388
519,0.975334
520,0.97528
521,0.975214
522,0.975148
523,0.975082
524,0.975016
525,0.97495
526,0.974884
527,0.974818
528,0.974752
529,0.974686
530,0.97462
531,0.974454
532,0.974288
533,0.974122
534,0.973956
535,0.97379
536,0.973624
537,0.973458
538,0.973292
539,0.973126
540,0.97296
541,0.972827
542,0.972694
543,0.972561
544,0.972428
545,0.972295
546,0.972162
547,0.972029
548,0.971896
549,0.971763
550,0.97163
551,0.97159
552,0.97155
553,0.97151
554,0.97147
555,0.97143
556,0.97139
557,0.97135
558,0.97131
559,0.97127
560,0.97123
561,0.971166
562,0.971102
563,0.971038
564,0.970974
565,0.97091
566,0.970846
567,0.970782
568,0.970718
569,0.970654
570,0.97059
571,0.970429
572,0.970268
573,0.970107
574,0.969946
575,0.969785
576,0.969624
577,0.969463
578,0.969302
579,0.969141
580,0.96898
581,0.968805
582,0.96863
583,0.968455
584,0.96828
585,0.968105
586,0.96793
587,0.967755
588,0.96758
589,0.967405
590,0.96723
591,0.966864
592,0.966498
593,0.966132
594,0.965766
595,0.9654
596,0.965034
597,0.964668
598,0.964302
599,0.963936
600,0.96357
601,0.962721
602,0.961872
603,0.961023
604,0.960174
605,0.959325
606,0.958476
607,0.957627
608,0.956778
609,0.955929
610,0.95508
611,0.955263
612,0.955446
613,0.955629
614,0.955812
615,0.955995
616,0.956178
617,0.956361
618,0.956544
619,0.956727
620,0.95691
621,0.956518
622,0.956126
623,0.955734
624,0.955342
625,0.95495
626,0.954558
627,0.954166
628,0.953774
629,0.953382
630,0.95299
631,0.952591
632,0.952192
633,0.951793
634,0.951394
635,0.950995
636,0.950596
