wl,value
360,0.9867
361,0.986742
362,0.986784
363,0.986826
364,0.986868
365,0.98691
366,0.986952
367,0.986994
368,0.987036
369,0.987078
370,0.98712
371,0.987187
372,0.987254
373,0.987321
374,0.987388
375,0.987455
376,0.987522
377,0.987589
378,0.987656
379,0.987723
380,0.98779
381,0.987879
382,0.987968
383,0.988057
384,0.988146
385,0.988235
386,0.988324
387,0.988413
388,0.988502
389,0.988591
390,0.98868
391,0.988657
392,0.988634
393,0.988611
394,0.988588
395,0.988565
396,0.988542
397,0.988519
398,0.988496
399,0.988473
400,0.98845
401,0.988559
402,0.988668
403,0.988777
404,0.988886
405,0.988995
406,0.989104
407,0.989213
408,0.989322
409,0.989431
410,0.98954
411,0.989547
412,0.989554
413,0.989561
414,0.989568
415,0.989575
416,0.989582
417,0.989589
418,0.989596
419,0.989603
420,0.98961
421,0.989699
422,0.989788
423,0.989877
424,0.989966
425,0.990055
426,0.990144
427,0.990233
428,0.990322
429,0.990411
430,0.9905
431,0.990575
432,0.99065
433,0.990725
434,0.9908
435,0.990875
436,0.99095
437,0.991025
438,0.9911
439,0.991175
440,0.99125
441,0.991332
442,0.991414
443,0.991496
444,0.991578
445,0.99166
446,0.991742
447,0.991824
448,0.991906
449,0.991988
450,0.99207
451,0.992145
452,0.99222
453,0.992295
454,0.99237
455,0.992445
456,0.99252
457,0.992595
458,0.99267
459,0.992745
460,0.99282
461,0.992763
462,0.992706
463,0.992649
464,0.992592
465,0.992535
466,0.992478
467,0.992421
468,0.992364
469,0.992307
470,0.99225
471,0.992213
472,0.992176
473,0.992139
474,0.992102
475,0.992065
476,0.992028
477,0.991991
478,0.991954
479,0.991917
480,0.99188
481,0.991929
482,0.991978
483,0.992027
484,0.992076
485,0.992125
486,0.992174
487,0.992223
488,0.992272
489,0.992321
490,0.99237
491,0.992232
492,0.992094
493,0.991956
494,0.991818
495,0.99168
496,0.991542
497,0.991404
498,0.991266
499,0.991128
500,0.99099
501,0.990994
502,0.990998
503,0.991002
504,0.991006
505,0.99101
506,0.991014
507,0.991018
508,0.991022
509,0.991026
510,0.99103
511,0.991029
512,0.991028
513,0.991027
514,0.991026
515,0.991025
516,0.991024
517,0.991023
518,0.991022
519,0.991021
520,0.99102
521,0.991034
522,0.991048
523,0.991062
524,0.991076
525,0.99109
526,0.991104
527,0.991118
528,0.991132
529,0.991146
530,0.99116
531,0.991035
532,0.99091
533,0.990785
