wl,value
360,0.97542
361,0.975514
362,0.975608
363,0.975702
364,0.975796
365,0.97589
366,0.975984
367,0.976078
368,0.976172
369,0.976266
370,0.97636
371,0.976537
372,0.976714
373,0.976891
374,0.977068
375,0.977245
376,0.977422
377,0.977599
378,0.977776
379,0.977953
380,0.97813
381,0.978153
382,0.978176
383,0.978199
384,0.978222
385,0.978245
386,0.978268
387,0.978291
388,0.978314
389,0.978337
390,0.97836
391,0.978498
392,0.978636
393,0.978774
394,0.978912
395,0.97905
396,0.979188
397,0.979326
398,0.979464
399,0.979602
400,0.97974
401,0.979825
402,0.97991
403,0.979995
404,0.98008
405,0.980165
406,0.98025
407,0.980335
408,0.98042
409,0.980505
410,0.98059
411,0.980739
412,0.980888
413,0.981037
414,0.981186
415,0.981335
416,0.981484
417,0.981633
418,0.981782
419,0.981931
420,0.98208
421,0.982162
422,0.982244
423,0.982326
424,0.982408
425,0.98249
426,0.982572
427,0.982654
428,0.982736
429,0.982818
430,0.9829
431,0.982989
432,0.983078
433,0.983167
434,0.983256
435,0.983345
436,0.983434
437,0.983523
438,0.983612
439,0.983701
440,0.98379
441,0.983949
442,0.984108
443,0.984267
444,0.984426
445,0.984585
446,0.984744
447,0.984903
448,0.985062
449,0.985221
450,0.98538
451,0.985378
452,0.985376
453,0.985374
454,0.985372
455,0.98537
456,0.985368
457,0.985366
458,0.985364
459,0.985362
460,0.98536
461,0.985402
462,0.985444
463,0.985486
464,0.985528
465,0.98557
466,0.985612
467,0.985654
468,0.985696
469,0.985738
470,0.98578
471,0.985767
472,0.985754
473,0.985741
474,0.985728
475,0.985715
476,0.985702
477,0.985689
478,0.985676
479,0.985663
480,0.98565
481,0.985607
482,0.985564
483,0.985521
484,0.985478
485,0.985435
486,0.985392
487,0.985349
488,0.985306
489,0.985263
490,0.98522
491,0.985147
492,0.985074
493,0.985001
494,0.984928
495,0.984855
496,0.984782
497,0.984709
498,0.984636
499,0.984563
500,0.98449
501,0.9844
502,0.98431
503,0.98422
504,0.98413
505,0.98404
506,0.98395
507,0.98386
508,0.98377
509,0.98368
510,0.98359
511,0.983555
512,0.98352
513,0.983485
514,0.98345
515,0.983415
516,0.98338
517,0.983345
518,0.98331
519,0.983275
520,0.98324
521,0.98315
522,0.98306
523,0.98297
524,0.98288
525,0.98279
526,0.9827
527,0.98261
528,0.98252
529,0.98243
530,0.98234
531,0.982217
532,0.982094
533,0.981971
534,0.981848
535,0.981725
536,0.981602
537,0.981479
538,0.981356
539,0.981233
540,0.98111
541,0.98115
542,0.98119
543,0.98123
544,0.98127
545,0.98131
546,0.98135
547,0.98139
548,0.98143
549,0.98147
550,0.98151
551,0.981456
552,0.981402
553,0.981348
554,0.981294
555,0.98124
556,0.981186
557,0.981132
558,0.981078
559,0.981024
560,0.98097
561,0.980886
562,0.980802
563,0.980718
564,0.980634
565,0.98055
566,0.980466
567,0.980382
568,0.980298
569,0.980214
570,0.98013
571,0.980018
572,0.979906
573,0.979794
574,0.979682
575,0.97957
576,0.979458
577,0.979346
578,0.979234
579,0.979122
580,0.97901
581,0.978801
582,0.978592
583,0.978383
584,0.978174
585,0.977965
586,0.977756
587,0.977547
588,0.977338
589,0.977129
590,0.97692
591,0.976753
592,0.976586
593,0.976419
594,0.976252
595,0.976085
596,0.975918
597,0.975751
598,0.975584
599,0.975417
600,0.97525
601,0.975022
602,0.974794
603,0.974566
604,0.974338
605,0.97411
606,0.973882
607,0.973654
608,0.973426
609,0.973198
610,0.97297
611,0.972749
612,0.972528
613,0.972307
614,0.972086
615,0.971865
616,0.971644
617,0.971423
618,0.971202
619,0.970981
620,0.97076
621,0.970493
622,0.970226
623,0.969959
624,0.969692
625,0.969425
626,0.969158
627,0.968891
628,0.968624
629,0.968357
630,0.96809
631,0.967866
632,0.967642
633,0.967418
634,0.967194
635,0.96697
636,0.966746
637,0.966522
638,0.966298
639,0.966074
640,0.96585
641,0.96524
642,0.96463
643,0.96402
644,0.96341
645,0.9628
646,0.96219
647,0.96158
648,0.96097
649,0.96036
650,0.95975
651,0.9598
652,0.95985
653,0.9599
654,0.95995
655,0.96
656,0.96005
657,0.9601
658,0.96015
659,0.9602
660,0.96025
661,0.960018
662,0.959786
663,0.959554
664,0.959322
665,0.95909
666,0.958858
667,0.958626
668,0.958394
669,0.958162
670,0.95793
671,0.957752
672,0.957574
673,0.957396
674,0.957218
675,0.95704
676,0.956862
677,0.956684
678,0.956506
679,0.956328
680,0.95615
681,0.955864
682,0.955578
683,0.955292
684,0.955006
685,0.95472
686,0.954434
687,0.954148
688,0.953862
689,0.953576
690,0.95329
691,0.95291
692,0.95253
693,0.95215
694,0.95177
695,0.95139
696,0.95101
697,0.95063
698,0.95025
699,0.94987
700,0.94949
701,0.949093
702,0.948696
703,0.948299
704,0.947902
705,0.947505
706,0.947108
707,0.946711
708,0.946314
709,0.945917
710,0.94552
711,0.945138
712,0.944756
713,0.944374
714,0.943992
715,0.94361
716,0.943228
717,0.942846
718,0.942464
719,0.942082
720,0.9417
721,0.941502
722,0.941304
723,0.941106
724,0.940908
725,0.94071
726,0.940512
727,0.940314
728,0.940116
729,0.939918
730,0.93972
731,0.939365
732,0.93901
733,0.938655
734,0.9383
735,0.937945
736,0.93759
737,0.937235
738,0.93688
739,0.936525
740,0.93617
741,0.935613
742,0.935056
743,0.934499
744,0.933942
745,0.933385
746,0.932828
747,0.932271
748,0.931714
749,0.931157
750,0.9306
751,0.930039
752,0.929478
753,0.928917
754,0.928356
755,0.927795
756,0.927234
757,0.926673
758,0.926112
759,0.925551
760,0.92499
761,0.924345
762,0.9237
763,0.923055
764,0.92241
765,0.921765
766,0.92112
767,0.920475
768,0.91983
769,0.919185
770,0.91854
771,0.917877
772,0.917214
773,0.916551
774,0.915888
775,0.915225
776,0.914562
777,0.913899
778,0.913236
779,0.912573
780,0.91191
781,0.911108
782,0.910306
783,0.909504
784,0.908702
785,0.9079
786,0.907098
787,0.906296
788,0.905494
789,0.904692
790,0.90389
791,0.903567
792,0.903244
793,0.902921
794,0.902598
795,0.902275
796,0.901952
797,0.901629
798,0.901306
799,0.900983
800,0.90066
801,0.900578
802,0.900496
803,0.900414
804,0.900332
805,0.90025
806,0.900168
807,0.900086
808,0.900004
809,0.899922
810,0.89984
811,0.899758
812,0.899676
813,0.899594
814,0.899512
815,0.89943
816,0.899348
817,0.899266
818,0.899184
819,0.899102
820,0.89902
821,0.8989525
822,0.898885
823,0.8988175
824,0.89875
825,0.8986825
826,0.898615
827,0.8985475
828,0.89848
829,0.8984125
830,0.898345
